id,simbolo,nombre,fecha_genesis,porcentaje_votos_positivos,porcentaje_votos_negativos,usuarios_lista_seguimiento,ranking_cap_mercado,ranking_coingecko,puntuacion_coingecko,puntuacion_desarrollador,puntuacion_comunidad,puntuacion_liquidez,puntuacion_interes_publico,precio_actual_usd,precio_maximo_historico_usd,precio_minimo_historico_usd,capitalizacion_mercado_usd,valoracion_total_diluida_usd,volumen_total_usd,alto_24h_usd,bajo_24h_usd,cambio_precio_24h_usd,oferta_total,oferta_maxima,oferta_circulante
bitcoin,btc,Bitcoin,2009-01-03,62.64,37.36,1332576,1,1,83.151,99.241,83.341,100.011,0.073,25974.0,69045.0,67.81,505030574172,544783224467,11974189042,26200.0,25820.0,-73.9719192947232,21000000.0,21000000.0,19467637.0
ethereum,eth,Ethereum,2015-07-30,64.24,35.76,1194497,2,2,78.783,97.494,72.746,95.183,0.236,1646.72,4878.26,0.432979,197849580349,197849580349,7668853299,1664.66,1639.7,-1.065531119444131,120216444.295051,Sin Dato,120216444.295051
tether,usdt,Tether,Sin Dato,58.82,41.18,284376,3,150,41.416,0.0,10.685,101.651,0.029,0.999936,1.32,0.572521,82796042091,82796042091,18890240113,1.002,0.997937,-0.000754496165147223,82849133565.976,Sin Dato,82849133565.976
binancecoin,bnb,BNB,2017-07-08,61.11,38.89,642990,4,5,65.446,73.082,61.771,73.073,11.364,217.15,686.31,0.0398177,33408710562,43428501964,389985536,219.05,214.12,-0.2895418925762101,153856150.0,200000000.0,153856150.0
ripple,xrp,XRP,Sin Dato,71.34,28.66,569532,5,3,66.223,83.005,51.794,81.07,0.022,0.516559,3.4,0.00268621,27309653511,51611206141,876955466,0.521617,0.508245,0.00074859,99988485729.0,100000000000.0,52914193551.0
usd-coin,usdc,USD Coin,Sin Dato,64.29,35.71,109857,6,28,53.898,63.076,9.747,87.41,0.033,1.0,1.17,0.877647,25858060864,25860644208,4228341284,1.003,0.997858,0.00046753,25864510511.065,Sin Dato,25861926780.0446
staked-ether,steth,Lido Staked Ether,Sin Dato,50.0,50.0,13119,7,253,34.763,0.0,33.667,52.515,0.023,1645.42,4829.57,482.9,13767754578,13767754578,8099196,1661.59,1635.27,-2.1216135936015235,8377331.88779935,8377331.88779935,8377331.88779935
cardano,ada,Cardano,Sin Dato,75.28,24.72,724993,8,7,62.536,70.27,58.753,72.124,0.023,0.26051,3.09,0.01925275,9117212644,11707071626,225880745,0.269557,0.259564,-0.004599891664795019,45000000000.0,45000000000.0,35045020830.3234
dogecoin,doge,Dogecoin,2013-12-08,56.6,43.4,506468,9,6,65.012,75.114,71.666,66.788,0.01,0.062388,0.731578,8.69e-05,8768456377,8768438309,236883449,0.06303,0.061847,-0.00033757329094701,140736456383.705,Sin Dato,140736746383.705
solana,sol,Solana,Sin Dato,56.76,43.24,554139,10,4,65.857,89.605,50.646,74.593,0.104,20.39,259.96,0.500801,8305621520,11316593747,289121126,21.04,20.29,-0.5613674163723452,555818668.137339,Sin Dato,407933658.716479
tron,trx,TRON,2017-08-28,52.17,47.83,227878,11,13,60.859,79.56,47.88,67.924,0.02,0.076736,0.231673,0.00180434,6853620904,6853638449,197909900,0.077328,0.076247,4.607e-05,89377565806.9236,Sin Dato,89377336996.1416
polkadot,dot,Polkadot,Sin Dato,71.74,28.26,514028,12,9,62.064,87.35,44.057,67.345,0.013,4.45,54.98,2.7,5646382365,6006848289,100811187,4.48,4.36,0.04435807,1348810432.41202,Sin Dato,1267869450.48384
matic-network,matic,Polygon,Sin Dato,74.32,25.68,545756,13,66,48.86,62.496,12.154,68.532,0.053,0.541948,2.92,0.00314376,5044980095,5413377154,247389497,0.55144,0.536517,-0.002641338459896559,10000000000.0,10000000000.0,9319469069.28493
