Fecha,Precio,Cap_de_mercado,24h_Volumen,Volatilidad_a_30_dias
17-09-16,0.107,10725062.437,1.051,0
17-09-17,0.154,15404129.091,14.679,0
17-09-18,0.173,17349123.907,6.002,0
17-09-19,0.168,16833419.058,3.879,0
17-09-20,0.167,16662792.486,40.688,0
17-09-21,0.096,9581702.730,20.568,0
17-09-22,0.094,9421298.085,135.880,0
17-09-23,0.088,8828963.159,0.793,0
17-09-24,0.085,8545453.921,0.769,0
17-09-25,0.103,10250635.360,9.106,0
17-09-26,0.090,8965780.222,18.193,0
17-09-27,0.115,11505513.151,59.554,0
17-09-28,0.140,13955236.709,305.186,0
17-09-29,0.132,13217328.787,2.620,0
17-09-30,0.172,17191164.680,204.642,0
17-10-01,0.101,10116815.717,123.591,0
17-10-02,0.108,10787364.049,14.443,0
17-10-03,0.124,12443238.401,42.085,0
17-10-04,0.129,12880576.985,7.216,0
17-10-05,0.131,13059917.951,3.087,0
17-10-06,0.136,13564347.387,3.130,0
17-10-07,0.129,12937532.581,0.718,0
17-10-08,0.130,12993885.110,0.721,0
17-10-10,0.140,14007954.967,8.465,0
17-10-11,0.216,21645282.379,183.741,0
17-10-12,0.240,23970960.382,3266.917,0
17-10-13,0.230,22988972.433,55.335,0
17-10-14,0.112,11216452.038,22.472,0
17-10-15,0.110,10973221.368,1.865,0
17-10-16,0.184,18386163.398,1302.893,1.375
17-10-17,0.109,10929078.577,27.432,1.389
17-10-18,0.108,10849999.581,5.968,1.385
17-10-19,0.040,3981769.719,57.418,1.530
17-10-20,0.101,10014036.879,0.809,2.172
17-10-21,0.099,9754528.347,0.887,2.118
17-10-22,0.044,4357149.810,16.388,2.205
17-10-23,0.060,5907118.825,20.270,2.223
17-10-25,0.087,8614152.730,27.945,2.256
17-10-26,0.046,4549361.145,9.402,2.317
17-10-27,0.047,4626323.187,4.159,2.310
17-10-28,0.047,4628094.610,3.693,2.299
17-10-29,0.049,4888738.900,2.362,2.293
17-10-30,1.299,128621027.052,2366136.909,25.351
17-10-31,1.289,127642112.835,3364798.053,25.361
17-11-01,1.256,124362891.800,2105110.864,25.343
17-11-02,1.297,128415994.131,3545674.601,25.344
