Fecha,Precio,Cap_de_mercado,24h_Volumen,Volatilidad_a_30_dias
13-08-28,123.020,1429111038.000,0.000,0
13-08-29,123.440,1434594992.000,0.000,0
13-08-30,129.200,1502172870.000,0.000,0
13-08-31,137.760,1602407100.000,0.000,0
13-09-01,138.170,1607960283.000,0.000,0
13-09-02,137.170,1597132036.000,0.000,0
13-09-03,137.510,1601702729.000,0.000,0
13-09-04,135.210,1575534525.000,0.000,0
13-09-05,129.960,1514888487.000,0.000,0
13-09-06,126.130,1470861842.000,0.000,0
13-09-07,123.730,1443353756.000,0.000,0
13-09-08,121.770,1420952396.000,0.000,0
13-09-09,126.400,1475596760.000,0.000,0
13-09-10,127.780,1492304286.000,0.000,0
13-09-11,131.650,1538132775.000,0.000,0
13-09-12,134.220,1568874092.000,0.000,0
13-09-13,135.050,1579271324.000,0.000,0
13-09-14,131.390,1537187451.000,0.000,0
13-09-15,129.950,1520967287.000,0.000,0
13-09-16,131.480,1539430293.000,0.000,0
13-09-17,131.310,1538014334.000,0.000,0
13-09-18,132.060,1547280990.000,0.000,0
13-09-19,130.230,1526484433.000,0.000,0
13-09-20,128.570,1507618248.000,0.000,0
13-09-21,126.780,1487211807.000,0.000,0
13-09-22,128.370,1506534274.000,0.000,0
13-09-23,126.730,1487984454.000,0.000,0
13-09-24,126.090,1481135098.000,0.000,0
13-09-25,127.990,1504122481.000,0.000,0
13-09-26,128.020,1505025524.000,0.000,0.124
13-09-27,131.840,1550524096.000,0.000,0.127
13-09-28,133.930,1575663012.000,0.000,0.120
13-09-29,140.280,1650965841.000,0.000,0.110
13-09-30,131.650,1549941780.000,0.000,0.127
13-10-01,132.550,1561200410.000,0.000,0.127
13-10-02,132.040,1555751397.000,0.000,0.127
13-10-03,123.070,1450746083.000,0.000,0.143
13-10-04,128.260,1512486811.000,0.000,0.144
13-10-05,129.570,1528611793.000,0.000,0.141
13-10-06,127.560,1505549223.000,0.000,0.141
13-10-07,128.380,1515724889.000,0.000,0.140
