Fecha,Precio,Cap_de_mercado,24h_Volumen,Volatilidad_a_30_dias
13-12-15,0.001,3488670.000,0.000,0
13-12-17,0.000,1619159.000,0.000,0
13-12-18,0.000,2191987.000,0.000,0
13-12-19,0.000,4299422.000,0.000,0
13-12-20,0.001,9866232.000,0.000,0
13-12-21,0.000,4686300.000,0.000,0
13-12-22,0.000,4639566.000,0.000,0
13-12-23,0.000,4022744.000,0.000,0
13-12-24,0.001,9213651.000,0.000,0
13-12-25,0.001,7955874.000,0.000,0
13-12-26,0.001,8014774.000,0.000,0
13-12-27,0.001,8200082.000,408643.000,0
13-12-28,0.001,8419861.000,478134.000,0
13-12-29,0.000,6793938.000,316038.000,0
13-12-30,0.000,7575229.000,327022.000,0
13-12-31,0.000,7902574.000,307971.000,0
14-01-01,0.000,8079013.000,307264.000,0
14-01-02,0.000,6838442.000,284156.000,0
14-01-03,0.000,6394233.000,329196.000,0
14-01-04,0.000,5924617.000,277419.000,0
14-01-05,0.000,5888961.000,266031.000,0
14-01-06,0.000,5672127.000,263267.000,0
14-01-07,0.000,5332465.000,217425.000,0
14-01-08,0.000,4956517.000,162084.000,0
14-01-09,0.000,6103020.000,310963.000,0
14-01-11,0.000,9161328.000,566763.000,0
14-01-12,0.000,9393689.000,988125.000,0
14-01-13,0.000,8809476.000,285017.000,0
14-01-14,0.000,7871125.000,407551.000,0
14-01-15,0.000,9844536.000,609000.000,2.112
14-01-16,0.000,11997265.000,1233290.000,2.004
14-01-17,0.000,11615577.000,505645.000,2.001
14-01-18,0.000,12991064.000,728832.000,1.862
14-01-19,0.001,18232457.000,2988120.000,1.561
14-01-20,0.001,24753515.000,4130400.000,1.472
14-01-21,0.002,59764011.000,15755000.000,1.965
14-01-22,0.002,60441653.000,8429050.000,1.947
14-01-23,0.002,52823305.000,5292870.000,1.624
14-01-24,0.002,58319935.000,5455430.000,1.605
14-01-25,0.002,64615426.000,4218540.000,1.601
14-01-26,0.002,64416612.000,2999100.000,1.601
14-01-27,0.002,60497921.000,4380960.000,1.606
14-01-28,0.001,50833265.000,2342040.000,1.597
14-01-29,0.001,53584322.000,1655470.000,1.597
14-01-30,0.001,58009736.000,2315200.000,1.596
14-01-31,0.002,61487388.000,1761990.000,1.593
14-02-01,0.002,61902236.000,942077.000,1.574
14-02-02,0.001,58739687.000,1078910.000,1.570
14-02-03,0.001,56370074.000,2666580.000,1.565
14-02-04,0.001,48276114.000,2153020.000,1.579
14-02-05,0.001,57354911.000,2776340.000,1.574
14-02-06,0.001,58191338.000,2558690.000,1.567
14-02-07,0.001,50710726.000,1300450.000,1.573
14-02-08,0.001,51960473.000,920436.000,1.571
14-02-09,0.001,56642006.000,1606290.000,1.522
14-02-10,0.001,56505334.000,3879580.000,1.522
14-02-11,0.002,77721495.000,5329270.000,1.540
14-02-12,0.002,91985568.000,9410190.000,1.527
14-02-13,0.002,87092095.000,6483360.000,1.529
14-02-14,0.002,80883284.000,6790370.000,1.533
14-02-15,0.001,73684156.000,5157380.000,1.537
14-02-16,0.001,72529881.000,2040190.000,1.540
14-02-17,0.001,70512004.000,2677330.000,1.512
14-02-18,0.001,69890414.000,1810460.000,1.487
14-02-19,0.001,71588924.000,2543810.000,0.595
14-02-20,0.001,65287124.000,2579030.000,0.602
14-02-21,0.001,62877221.000,2244760.000,0.586
14-02-22,0.001,67073436.000,1357950.000,0.584
14-02-23,0.001,64053895.000,2717000.000,0.578
14-02-24,0.001,58917535.000,2002070.000,0.583
14-02-25,0.001,51982138.000,4562050.000,0.590
14-02-26,0.001,61087354.000,2828610.000,0.591
14-02-27,0.001,63692978.000,1653380.000,0.591
14-02-28,0.001,59450344.000,1520760.000,0.592
14-03-01,0.001,59278150.000,1287020.000,0.590
14-03-02,0.001,53577174.000,1462920.000,0.597
14-03-03,0.001,59694304.000,3500170.000,0.606
14-03-04,0.001,61657718.000,3702770.000,0.604
14-03-05,0.001,59207958.000,3751760.000,0.584
14-03-06,0.001,61116646.000,1201690.000,0.559
14-03-07,0.001,57991280.000,1115930.000,0.562
14-03-08,0.001,54008283.000,1561350.000,0.548
14-03-09,0.001,48839229.000,1392230.000,0.557
14-03-10,0.001,51069728.000,1410540.000,0.553
14-03-11,0.001,46340580.000,1512960.000,0.560
14-03-12,0.001,44534499.000,3095220.000,0.415
14-03-13,0.001,54779607.000,4802550.000,0.444
14-03-14,0.001,52422609.000,2034310.000,0.443
14-03-15,0.001,52259118.000,981617.000,0.438
14-03-16,0.001,50648515.000,842284.000,0.432
14-03-17,0.001,48997905.000,826392.000,0.432
14-03-18,0.001,47120892.000,1440580.000,0.433
14-03-19,0.001,48558380.000,1404530.000,0.435
14-03-20,0.001,47329483.000,1344220.000,0.434
14-03-21,0.001,44814533.000,851266.000,0.428
14-03-22,0.001,43367973.000,2159120.000,0.428
14-03-23,0.001,43003981.000,721895.000,0.421
14-03-24,0.001,44283791.000,1106710.000,0.422
14-03-25,0.001,42927920.000,1058880.000,0.416
14-03-26,0.001,41293182.000,825569.000,0.401
14-03-27,0.001,35187414.000,1466000.000,0.381
14-03-28,0.001,34284337.000,2656380.000,0.377
14-03-29,0.001,40068061.000,1535000.000,0.416
14-03-30,0.001,34786463.000,1425080.000,0.433
14-03-31,0.001,33070834.000,1380130.000,0.426
14-04-01,0.001,35541929.000,845770.000,0.416
14-04-02,0.000,28556987.000,1385560.000,0.422
14-04-03,0.000,29951047.000,1151820.000,0.424
14-04-04,0.000,29974151.000,1043010.000,0.429
14-04-05,0.000,31746605.000,473934.000,0.430
14-04-06,0.000,31183539.000,701008.000,0.427
14-04-07,0.000,31320075.000,781320.000,0.419
14-04-08,0.000,30860750.000,667073.000,0.415
14-04-09,0.000,30351834.000,440661.000,0.407
14-04-10,0.000,23987961.000,862264.000,0.471
14-04-11,0.000,30552384.000,1096790.000,0.530
14-04-12,0.000,29299432.000,503227.000,0.529
14-04-13,0.000,27278892.000,512104.000,0.533
14-04-14,0.000,32477779.000,1416560.000,0.569
14-04-15,0.001,41542471.000,2503670.000,0.650
14-04-16,0.001,50283291.000,6425170.000,0.686
14-04-17,0.001,45929096.000,3792830.000,0.696
14-04-18,0.001,44239279.000,1511350.000,0.697
14-04-19,0.001,46564361.000,1622690.000,0.700
14-04-20,0.001,45497406.000,1089990.000,0.699
14-04-21,0.001,45192977.000,1021950.000,0.699
14-04-22,0.001,42961351.000,301520.976,0.701
14-04-23,0.001,41808110.000,382004.416,0.701
14-04-24,0.001,43173805.000,457138.683,0.699
14-04-25,0.001,35272015.000,1530049.617,0.692
14-04-26,0.000,35093997.000,461904.295,0.694
14-04-27,0.000,32876233.000,379467.392,0.676
14-04-28,0.000,36034287.000,909066.664,0.665
14-04-29,0.000,37188481.000,689680.711,0.663
14-04-30,0.001,37748840.000,584361.866,0.660
14-05-01,0.001,38085604.000,250601.955,0.649
14-05-02,0.000,36481503.000,260767.762,0.647
14-05-03,0.000,35050657.000,242558.581,0.649
14-05-04,0.000,35579321.000,278299.459,0.649
14-05-05,0.000,34591071.000,267164.900,0.650
14-05-06,0.000,34843339.000,366207.104,0.650
14-05-07,0.000,36156076.000,320111.217,0.651
14-05-08,0.000,36077040.000,244134.366,0.649
14-05-09,0.000,37938150.000,338134.609,0.590
14-05-10,0.000,36809591.000,249835.761,0.501
14-05-11,0.000,35195735.000,206683.932,0.504
14-05-12,0.000,35073822.000,270484.637,0.496
14-05-13,0.000,34818974.000,197555.781,0.465
14-05-14,0.000,35409145.000,235677.488,0.350
14-05-15,0.000,35383915.000,321964.643,0.261
14-05-16,0.000,35142038.000,281078.494,0.239
14-05-17,0.000,35383996.000,137637.597,0.235
14-05-18,0.000,35125194.000,181465.136,0.215
14-05-19,0.000,34833347.000,194345.635,0.216
14-05-20,0.000,36598880.000,330817.429,0.220
14-05-21,0.000,35936516.000,352556.690,0.214
14-05-22,0.000,33310883.000,647432.555,0.220
14-05-23,0.000,32665535.000,579951.439,0.221
14-05-24,0.000,33798589.000,293324.401,0.194
14-05-25,0.000,33755004.000,604761.786,0.188
14-05-26,0.000,32078558.000,388456.337,0.188
14-05-27,0.000,31669883.000,305845.049,0.178
14-05-28,0.000,31844196.000,236380.434,0.171
14-05-29,0.000,31206563.000,166719.158,0.168
14-05-30,0.000,27802927.000,516748.703,0.194
14-05-31,0.000,27234154.000,357018.862,0.192
14-06-01,0.000,32411547.000,796888.779,0.313
14-06-02,0.000,31889394.000,400827.728,0.314
14-06-03,0.000,31208320.000,318497.345,0.313
14-06-04,0.000,29311664.000,284503.585,0.317
14-06-05,0.000,29228511.000,226241.294,0.312
14-06-06,0.000,29429677.000,219138.742,0.312
14-06-07,0.000,29872119.000,170187.798,0.308
14-06-08,0.000,29346443.000,143386.704,0.309
14-06-09,0.000,29472140.672,169154.209,0.303
14-06-10,0.000,31363339.265,256310.829,0.311
14-06-11,0.000,34122257.586,596746.156,0.324
14-06-12,0.000,29845231.743,371718.142,0.347
14-06-13,0.000,30861816.827,209232.926,0.349
14-06-14,0.000,29636678.879,152848.586,0.351
14-06-15,0.000,30392093.421,139572.228,0.352
14-06-16,0.000,28959580.434,230593.126,0.354
14-06-17,0.000,29735750.299,93801.619,0.355
14-06-18,0.000,29142504.774,121916.226,0.353
14-06-19,0.000,29182525.025,176623.784,0.353
14-06-20,0.000,28995201.978,153990.786,0.350
14-06-21,0.000,28424220.237,141662.333,0.349
14-06-22,0.000,27905750.125,190192.170,0.347
14-06-23,0.000,27389246.581,413141.793,0.346
14-06-24,0.000,25850701.969,337499.241,0.347
14-06-25,0.000,21927030.880,440148.508,0.377
14-06-26,0.000,24915858.846,260341.251,0.404
14-06-27,0.000,24562856.204,197491.242,0.404
14-06-28,0.000,23039319.001,172882.873,0.394
14-06-29,0.000,22469065.959,167112.001,0.394
14-06-30,0.000,22620058.224,227941.484,0.300
14-07-01,0.000,22049863.029,281008.075,0.297
14-07-02,0.000,18899707.802,308134.768,0.325
14-07-03,0.000,18442890.217,217146.337,0.323
14-07-04,0.000,19833573.506,225473.828,0.335
14-07-05,0.000,18984206.856,146895.740,0.336
14-07-06,0.000,19997229.482,165087.156,0.342
14-07-07,0.000,19241382.331,112643.631,0.342
14-07-08,0.000,22440947.301,258465.781,0.386
14-07-09,0.000,24232594.762,582491.048,0.390
14-07-10,0.000,23029734.652,307369.697,0.379
14-07-11,0.000,23292991.117,161189.678,0.361
14-07-12,0.000,23501158.791,100272.056,0.359
14-07-13,0.000,23064290.947,119564.091,0.358
14-07-14,0.000,22019142.152,131658.515,0.358
14-07-15,0.000,21606348.892,137313.948,0.356
14-07-16,0.000,20218320.699,187919.633,0.358
14-07-17,0.000,22235631.037,174218.504,0.375
14-07-18,0.000,21484416.764,148123.381,0.377
14-07-19,0.000,20941969.284,84045.554,0.377
14-07-20,0.000,20763507.880,104139.770,0.377
14-07-21,0.000,20387629.428,70796.744,0.377
14-07-22,0.000,19055250.478,216786.447,0.381
14-07-23,0.000,19566096.594,112857.891,0.380
14-07-24,0.000,18709466.901,103790.670,0.352
14-07-25,0.000,18697564.276,72785.153,0.321
14-07-26,0.000,18011671.362,62372.993,0.322
14-07-27,0.000,19205604.427,117616.923,0.326
14-07-28,0.000,18011604.836,124108.531,0.330
14-07-29,0.000,18538389.517,73476.185,0.332
14-07-30,0.000,17358588.553,81071.422,0.336
14-07-31,0.000,18351207.314,73056.813,0.311
14-08-01,0.000,18579709.397,85695.670,0.310
14-08-02,0.000,18327458.505,49681.369,0.301
14-08-03,0.000,17817819.157,73882.227,0.299
14-08-04,0.000,17843687.454,118385.737,0.294
14-08-05,0.000,16590025.742,135289.856,0.299
14-08-06,0.000,15977080.800,120635.700,0.244
14-08-07,0.000,15927072.229,116049.931,0.226
14-08-08,0.000,14900588.463,80292.716,0.229
14-08-09,0.000,14875053.752,56476.791,0.227
14-08-10,0.000,13368539.966,72934.210,0.242
14-08-11,0.000,12680094.369,92772.940,0.244
14-08-12,0.000,13220554.680,99766.108,0.250
