Fecha,Precio,Cap_de_mercado,24h_Volumen,Volatilidad_a_30_dias
15-08-07,2.832,0.000,90622.000,0
15-08-08,1.331,80339475.000,368070.000,0
15-08-10,0.688,41556309.211,400464.075,0
15-08-11,1.067,64539006.306,1518998.205,0
15-08-12,1.257,76013261.054,2073893.345,0
15-08-13,1.825,110468836.224,4380142.704,0
15-08-14,1.826,110555313.260,4355618.379,0
15-08-15,1.671,101215246.378,2519633.271,0
15-08-16,1.477,89480939.240,3032657.656,0
15-08-17,1.204,87313387.945,1880092.215,0
15-08-18,1.281,92957858.062,1696013.472,0
15-08-19,1.253,90920695.865,1537200.841,0
15-08-20,1.484,107749185.841,2967730.502,0
15-08-21,1.406,102131022.828,1742881.808,0
15-08-22,1.381,100308763.782,914588.654,0
15-08-23,1.355,98488001.445,1610695.873,0
15-08-24,1.247,90625948.318,696476.555,0
15-08-25,1.161,84423109.081,1053169.386,0
15-08-26,1.120,81454879.470,1151700.042,0
15-08-27,1.134,82504022.823,681460.239,0
15-08-28,1.189,86549490.633,715178.790,0
15-08-29,1.174,85515599.874,607200.891,0
15-08-30,1.322,96321049.692,1045589.321,0
15-08-31,1.353,98608290.540,1197102.049,0
15-09-01,1.351,98446826.494,610368.243,0
15-09-02,1.279,93224371.259,629746.119,0
15-09-03,1.263,92075482.633,583923.745,0
15-09-04,1.270,92596631.553,333502.661,0
15-09-05,1.335,97402782.619,350815.467,0
15-09-06,1.299,94801706.705,317470.094,1.110
15-09-07,1.256,91718481.318,487005.203,0.968
15-09-08,1.236,90274690.399,419148.802,0.821
15-09-09,1.207,88150718.669,367774.332,0.619
15-09-10,1.167,85308945.823,639527.917,0.595
15-09-11,0.977,71394234.950,1901710.695,0.400
15-09-12,1.038,75931677.013,800623.300,0.408
15-09-13,0.939,68673818.801,658895.196,0.410
15-09-14,0.874,63965969.211,739213.726,0.401
15-09-15,0.942,68951445.230,725816.471,0.370
15-09-16,0.903,66147947.580,629370.085,0.365
15-09-17,0.883,64693831.079,910704.951,0.365
15-09-18,0.846,62003275.121,478606.397,0.305
15-09-19,0.882,64666306.230,387803.617,0.309
15-09-20,0.936,68666556.125,514836.109,0.318
15-09-21,0.901,66105164.812,429253.504,0.319
15-09-22,0.897,65835322.779,485738.955,0.311
15-09-23,0.894,65633959.755,204065.406,0.305
15-09-24,0.816,59927327.714,818263.068,0.314
15-09-25,0.741,54400658.247,901151.619,0.324
15-09-26,0.778,57158415.438,379124.186,0.324
15-09-27,0.721,53028193.823,408380.639,0.330
15-09-28,0.583,42874816.973,1214056.212,0.342
15-09-29,0.658,48389042.903,936630.330,0.372
15-09-30,0.735,54065419.508,640217.623,0.397
15-10-01,0.686,50481342.529,588839.782,0.398
15-10-02,0.676,49792779.289,220969.485,0.398
15-10-03,0.687,50638684.015,163820.853,0.399
15-10-04,0.668,49187272.350,104370.451,0.393
15-10-05,0.628,46307572.652,221647.207,0.395
15-10-06,0.646,47605896.394,268523.038,0.398
15-10-07,0.610,44984157.191,216715.507,0.399
15-10-08,0.623,45977519.799,310876.144,0.401
15-10-09,0.651,47989631.253,379233.122,0.406
15-10-10,0.630,46490996.550,145554.938,0.377
15-10-11,0.637,47026115.242,87074.800,0.370
15-10-12,0.629,46416611.842,108895.529,0.360
15-10-13,0.603,44485499.299,297117.077,0.357
15-10-14,0.518,38272635.021,944847.805,0.368
15-10-15,0.561,41527413.544,376563.072,0.381
15-10-16,0.533,39443831.317,247071.247,0.383
15-10-17,0.549,40632190.617,317377.762,0.384
15-10-18,0.518,38382124.417,133661.670,0.382
15-10-19,0.487,36070935.311,240250.377,0.376
15-10-20,0.433,32076052.632,352361.062,0.387
15-10-21,0.440,32590298.008,599041.013,0.388
15-10-22,0.565,41918540.783,979304.072,0.495
15-10-23,0.541,40100107.014,866798.489,0.490
15-10-24,0.569,42179070.758,259157.662,0.486
15-10-25,0.632,46895926.257,476617.739,0.497
15-10-26,0.744,55226993.789,1174026.819,0.523
15-10-27,0.854,63451496.574,1887568.906,0.500
15-10-28,1.010,75057962.813,2447633.798,0.516
15-10-29,1.164,86478981.552,2236842.210,0.523
