Fecha,Precio,Cap_de_mercado,24h_Volumen,Volatilidad_a_30_dias
19-04-27,0.005,11597995.599,43158348.367,0
19-04-28,0.005,11038517.246,9750768.054,0
19-04-29,0.004,9288212.331,8388214.177,0
19-04-30,0.004,7477597.705,8206899.938,0
19-05-01,0.004,9332879.031,23996173.170,0
19-05-02,0.004,9280224.873,9648802.460,0
19-05-03,0.004,8891333.309,5967466.561,0
19-05-04,0.004,8955629.304,4828733.418,0
19-05-05,0.004,8350998.167,2373076.009,0
19-05-06,0.004,7910188.375,2646003.171,0
19-05-07,0.004,8147697.347,4031985.293,0
19-05-08,0.003,7512418.501,2950832.609,0
19-05-09,0.003,7116084.669,2146002.828,0
19-05-10,0.003,6796234.573,3816858.127,0
19-05-11,0.004,8118766.839,7771947.106,0
19-05-12,0.005,10168666.005,12644633.505,0
19-05-13,0.005,11260147.515,17282002.998,0
19-05-14,0.009,18947310.456,72534590.540,0
19-05-15,0.008,16665799.203,98251438.749,0
19-05-16,0.010,20738305.298,48234032.898,0
19-05-17,0.011,23552487.138,58419125.852,0
19-05-18,0.015,31299208.079,168823052.563,0
19-05-19,0.012,26678408.347,56237389.240,0
19-05-20,0.020,41681357.744,139262475.840,0
19-05-21,0.030,66604903.121,392858767.161,0
19-05-22,0.029,62459642.038,696647294.905,0
19-05-23,0.022,46878984.715,288364882.817,0
19-05-24,0.027,57629891.399,416431723.613,0
19-05-25,0.026,54996274.328,151057259.371,0
19-05-26,0.025,54013343.754,147967215.625,1.264
19-05-27,0.024,52600982.411,95178261.241,1.262
19-05-28,0.022,48249663.523,77853505.575,1.250
19-05-29,0.024,50823040.714,92800163.636,1.218
19-05-30,0.022,47821537.806,3988206.429,1.216
19-05-31,0.020,42600957.270,49505071.824,1.227
19-06-01,0.023,49723944.582,57155721.044,1.225
19-06-02,0.021,46228763.969,55810055.026,1.233
19-06-03,0.020,43550002.735,30773342.052,1.231
19-06-04,0.020,42881156.968,30733193.141,1.228
19-06-05,0.021,45295451.674,81555692.633,1.226
19-06-06,0.023,49638985.776,91943585.657,1.215
19-06-07,0.023,50499381.987,92096248.461,1.209
19-06-08,0.024,52893272.322,38703199.065,1.202
19-06-09,0.026,56724814.597,63273397.976,1.197
19-06-10,0.026,55710274.595,71404139.274,1.191
19-06-11,0.027,59107812.905,53479139.981,1.190
19-06-12,0.024,51420080.141,44491000.902,1.031
19-06-13,0.024,51535963.686,45489808.026,1.017
19-06-14,0.023,49975244.829,57059260.539,1.001
19-06-15,0.021,45637339.241,45609709.025,1.005
19-06-16,0.023,48117850.639,41376359.448,0.958
19-06-17,0.023,50240871.932,39432554.459,0.940
19-06-18,0.022,46777411.149,33740043.096,0.709
