Fecha,Precio,Cap_de_mercado,24h_Volumen,Volatilidad_a_30_dias
20-04-11,0.958,7827651.893,92672667.434,0
20-04-12,0.785,6173607.678,49458692.875,0
20-04-13,0.876,7269680.447,37821009.956,0
20-04-14,0.787,6302364.151,19579214.893,0
20-04-15,0.667,5306221.066,17523533.050,0
20-04-16,0.638,5114653.933,12659541.408,0
20-04-17,0.692,5505929.487,23132895.910,0
20-04-18,0.657,5348323.975,10227034.752,0
20-04-19,0.677,5423066.286,10199318.163,0
20-04-20,0.609,4844617.211,9789186.731,0
20-04-21,0.535,4285479.155,8763891.031,0
20-04-22,0.573,4591546.761,9610841.993,0
20-04-23,0.685,5446538.174,18146790.144,0
20-04-24,0.622,4909586.999,13659849.486,0
20-04-25,0.623,5027193.620,8959427.140,0
20-04-26,0.647,5173619.233,7324961.274,0
20-04-27,0.640,5137791.331,8493459.048,0
20-04-28,0.568,4616001.375,7534010.521,0
20-04-29,0.657,5283691.351,7387289.032,0
20-04-30,0.741,5897415.537,8964597.271,0
20-05-01,0.693,5635423.506,5182978.538,0
20-05-02,0.717,5735879.900,4174109.643,0
20-05-03,0.712,5669404.170,3457574.557,0
20-05-04,0.687,5486412.386,3375393.730,0
20-05-05,0.673,5354861.584,3467483.257,0
20-05-06,0.650,5195811.629,2903980.857,0
20-05-07,0.619,5010066.055,2715223.288,0
20-05-08,0.609,4874818.722,3385522.017,0
20-05-09,0.609,4827334.908,2493703.559,0
20-05-10,0.602,4816707.909,2126230.152,0.489
20-05-11,0.542,4324416.949,2370841.723,0.466
20-05-12,0.514,4171226.299,2113480.526,0.449
20-05-13,0.533,4266741.231,2182277.412,0.443
20-05-14,0.553,4413742.898,2337721.383,0.420
20-05-15,0.574,4570789.918,548910.111,0.420
20-05-16,0.556,4432087.509,1837728.915,0.411
20-05-17,0.599,4752035.386,2286736.275,0.416
20-05-18,0.616,4898008.358,2950437.821,0.416
20-05-19,0.648,5213969.634,3280890.996,0.406
20-05-20,0.622,4996233.199,2375972.614,0.387
20-05-21,0.580,4629608.830,2306268.656,0.388
20-05-22,0.606,4853042.595,2791803.411,0.337
20-05-23,0.615,4919865.807,3449950.870,0.324
20-05-24,0.608,4866957.615,2624526.458,0.324
20-05-25,0.547,4374843.160,2831384.624,0.337
20-05-26,0.602,4809730.180,4453912.365,0.353
20-05-27,0.573,4598505.351,2703457.584,0.338
20-05-28,0.588,4715158.090,2545885.094,0.299
20-05-29,0.572,9366383.784,2654599.497,0.268
20-05-30,0.577,9427078.266,2051249.650,0.262
20-05-31,0.586,9591470.336,2439529.329,0.259
20-06-01,0.576,9399234.951,1936502.361,0.260
20-06-02,0.579,9424972.586,2232352.347,0.258
20-06-03,0.566,9310563.109,1384105.150,0.258
20-06-04,0.586,9614805.947,888236.665,0.260
20-06-05,0.587,9543805.262,863889.776,0.255
20-06-06,0.657,10747702.956,4253926.368,0.282
20-06-07,0.625,10180036.835,1644975.948,0.286
20-06-08,0.619,10138083.794,778127.933,0.286
20-06-09,0.668,10913789.387,1450401.051,0.276
20-06-10,0.655,10726797.093,934660.151,0.270
20-06-11,0.650,10648020.654,1145633.287,0.269
20-06-12,0.572,9341515.406,1164520.214,0.296
20-06-13,0.593,9722321.602,962192.202,0.296
20-06-14,0.609,9955797.605,753788.263,0.295
20-06-15,0.586,9583560.125,915552.326,0.288
20-06-16,0.570,9320494.001,1052111.259,0.288
20-06-17,0.585,9519846.389,679085.216,0.284
20-06-18,0.582,9549958.355,704810.189,0.281
20-06-19,0.620,10224928.436,1372641.020,0.280
20-06-20,0.686,11247343.894,7055205.213,0.296
20-06-21,0.645,10673766.043,1745226.986,0.303
20-06-22,0.673,11086240.793,2287434.979,0.305
20-06-23,0.727,11996277.113,1654719.033,0.294
20-06-24,0.707,11646898.983,1383543.515,0.280
20-06-25,0.736,12150092.542,2827321.032,0.277
20-06-26,0.713,11741625.190,1804323.659,0.279
20-06-27,0.741,12079079.145,1673667.392,0.278
20-06-28,0.713,11750514.840,1710200.376,0.282
20-06-29,0.799,13136127.952,3419777.193,0.303
20-06-30,0.853,14062849.975,2179078.502,0.307
20-07-01,0.859,14164459.014,4200596.311,0.307
20-07-02,0.832,13737840.609,1840101.231,0.308
20-07-03,0.775,12783903.735,1796842.528,0.318
20-07-04,0.767,12672163.175,1136961.546,0.319
20-07-05,0.781,12892264.593,1683516.107,0.299
20-07-06,0.692,11423393.474,3820984.230,0.318
20-07-07,0.708,11691026.181,1164528.516,0.318
20-07-08,0.753,12435090.742,1711217.874,0.315
20-07-09,0.796,13138366.724,2258517.814,0.318
20-07-10,0.850,14045120.423,2615952.924,0.323
20-07-11,0.914,15112460.370,1871221.382,0.299
20-07-12,0.922,15255277.058,1733700.484,0.298
20-07-13,1.018,16696748.622,4779890.405,0.310
20-07-14,1.179,20428062.235,4064986.859,0.334
20-07-15,1.148,19972946.844,2236363.062,0.334
20-07-16,1.294,24362181.927,3361791.927,0.349
20-07-17,0.869,17274473.462,9296866.060,0.499
20-07-18,0.982,20917439.756,11550958.719,0.509
20-07-19,0.967,20602905.143,2951092.759,0.503
20-07-20,0.922,19624140.865,2231346.893,0.501
20-07-21,0.873,18811046.939,3041235.989,0.505
20-07-22,0.976,20859692.480,4296502.832,0.511
20-07-23,1.045,23288212.438,5381567.012,0.512
20-07-24,1.056,23621340.967,3051275.671,0.512
20-07-25,0.996,22240716.375,2030487.649,0.515
