Fecha,Precio,Cap_de_mercado,24h_Volumen,Volatilidad_a_30_dias
15-02-25,1.210,304476.000,5.000,0
15-03-02,0.573,144046.000,2.000,0
15-03-06,1.000,251600.000,50.000,0
15-03-07,1.000,251600.000,58196.000,0
15-03-08,1.000,251600.000,31.000,0
15-03-09,1.000,251600.000,137.000,0
15-03-10,1.000,251600.000,50006.000,0
15-03-11,1.000,251600.000,46.000,0
15-03-12,1.000,251600.000,80421.000,0
15-03-13,1.000,251600.000,75.000,0
15-03-14,1.000,251600.000,17706.000,0
15-03-15,1.000,251600.000,15124.000,0
15-03-16,1.000,251600.000,49631.000,0
15-03-17,1.000,251600.000,4284.000,0
15-03-18,1.000,251600.000,58.000,0
15-03-19,1.000,251600.000,857.000,0
15-03-20,1.000,251600.000,132.000,0
15-03-21,1.000,251600.000,206.000,0
15-03-22,1.000,251600.000,66.000,0
15-03-23,1.000,251600.000,65.000,0
15-03-24,1.000,251600.000,1179.000,0
15-03-25,1.000,251600.000,93.000,0
15-03-26,1.000,251600.000,2.000,0
15-03-27,1.000,251600.000,4.000,0
15-03-28,1.000,251600.000,10.000,0
15-03-29,1.000,251600.000,27.000,0
15-03-30,1.000,251600.000,494.000,0
15-03-31,1.000,251600.000,37.000,0
15-04-02,1.000,251600.000,12864.000,0
15-04-03,1.000,251600.000,79969.000,0.929
15-04-04,1.000,251600.000,8887.000,0.746
15-04-05,1.000,251600.000,2018.000,0.000
15-04-06,1.000,251600.000,3137.000,0.000
15-04-07,1.000,251600.000,4.000,0.000
15-04-08,1.000,251600.000,19191.000,0.000
15-04-09,1.000,251600.000,1016.000,0.000
15-04-10,1.000,251600.000,100940.000,0.000
15-04-11,1.000,251600.000,1031.000,0.000
15-04-12,1.000,251600.000,3177.000,0.000
15-04-13,1.000,251600.000,1228.000,0.000
15-04-14,1.000,251600.000,46015.000,0.000
15-04-15,1.000,251600.000,50290.000,0.000
15-04-16,1.000,251600.000,40941.000,0.000
15-04-17,1.000,251600.000,46909.000,0.000
15-04-18,1.000,251600.000,50.000,0.000
15-04-19,1.000,251600.000,44.000,0.000
15-04-20,1.000,251600.000,21.000,0.000
15-04-21,1.000,251600.000,16.000,0.000
15-04-22,1.000,251600.000,85933.000,0.000
15-04-23,1.000,251600.000,40294.000,0.000
15-04-24,1.000,251600.000,21625.000,0.000
15-04-25,1.000,251600.000,205.000,0.000
15-04-26,1.000,251600.000,82.000,0.000
15-04-27,1.000,251600.000,2045.000,0.000
15-04-28,1.000,251600.000,22881.000,0.000
15-04-29,1.000,251600.000,30237.000,0.000
15-04-30,1.000,251600.000,47.000,0.000
15-05-01,1.000,251600.000,617.000,0.000
15-05-02,1.000,251600.000,3.000,0.000
15-05-03,1.000,251600.000,12.000,0.000
15-05-04,1.000,251600.000,1547.000,0.000
15-05-05,1.000,251600.000,83139.000,0.000
15-05-06,1.000,251600.000,23.000,0.000
15-05-07,1.000,251600.000,11.000,0.000
15-05-08,1.000,251600.000,119.000,0.000
15-05-09,1.000,251600.000,707.000,0.000
15-05-10,1.000,251600.000,2518.000,0.000
15-05-11,1.000,251600.000,100.000,0.000
15-05-12,1.000,251600.000,484.000,0.000
15-05-13,1.000,251600.000,4.000,0.000
15-05-14,1.000,251600.000,879.000,0.000
