Fecha,Precio,MarketCap,Volumen24h,Volatilidad30Dias
2020-08-20,0.003,430662605.568,156615204.077,0.0
2020-08-21,0.003,433986248.276,173128139.120,0.0
2020-08-22,0.003,426368126.732,175010652.255,0.0
2020-08-23,0.003,433687186.866,159336753.374,0.0
2020-08-24,0.003,429382341.731,137749412.282,0.0
2020-08-25,0.003,427299861.994,155243881.132,0.0
2020-08-26,0.003,414344678.957,156830695.328,0.0
2020-08-27,0.003,414322072.148,170734081.220,0.0
2020-08-28,0.003,402012074.813,169144169.740,0.0
2020-08-29,0.003,411882061.833,183848935.595,0.0
2020-08-30,0.003,413541572.638,193821341.126,0.0
2020-08-31,0.003,414616017.249,176682135.609,0.0
2020-09-01,0.003,405652921.382,184353787.466,0.0
2020-09-02,0.003,410342291.906,188077468.071,0.0
2020-09-03,0.003,389604298.362,119362426.631,0.0
2020-09-04,0.003,351549697.711,138600098.460,0.0
2020-09-05,0.003,366711396.710,141872359.200,0.0
2020-09-06,0.003,346063586.937,138532132.685,0.0
2020-09-07,0.003,349731791.615,160023366.510,0.0
2020-09-08,0.003,356752788.760,169336090.827,0.0
2020-09-09,0.003,348215107.451,152411543.573,0.0
2020-09-10,0.003,350661184.769,115436169.988,0.0
2020-09-11,0.003,354979160.440,163488674.721,0.0
2020-09-12,0.003,352758323.589,150887311.423,0.0
2020-09-13,0.003,355632828.287,134048169.566,0.0
2020-09-14,0.003,350719443.040,132954529.999,0.0
2020-09-15,0.003,353129088.148,146588554.093,0.0
2020-09-16,0.003,357370626.054,130436953.489,0.0
2020-09-17,0.003,356002618.952,155392568.248,0.0
2020-09-18,0.003,355887623.246,170633292.341,0.146
2020-09-19,0.003,351370413.658,155984975.186,0.146
2020-09-20,0.003,352026916.756,157760533.215,0.146
2020-09-21,0.003,350172659.255,165563595.523,0.144
2020-09-22,0.003,332685818.345,129491987.074,0.151
2020-09-23,0.003,333107659.334,109840858.139,0.152
2020-09-24,0.003,321232114.943,87446068.038,0.153
2020-09-25,0.003,333546263.357,122307586.184,0.160
2020-09-26,0.003,340940106.614,133860798.522,0.161
2020-09-27,0.003,341467884.018,116122723.580,0.158
2020-09-28,0.003,342050718.059,85237003.642,0.158
2020-09-29,0.003,335439035.239,108007301.810,0.158
2020-09-30,0.003,337793589.392,117696788.016,0.158
2020-10-01,0.003,333197389.766,113949670.580,0.157
2020-10-02,0.003,332691524.263,125254206.496,0.153
2020-10-03,0.003,326849474.335,137496941.345,0.119
2020-10-04,0.003,328320976.944,127186814.301,0.112
2020-10-05,0.003,333330546.642,103115065.462,0.101
2020-10-06,0.003,330997825.177,141202488.907,0.100
2020-10-07,0.003,329890404.191,116780007.821,0.098
2020-10-08,0.003,327397083.314,126750694.876,0.096
2020-10-09,0.003,328086240.921,108287118.304,0.096
2020-10-10,0.003,335713884.671,102421984.713,0.100
2020-10-11,0.003,336574307.322,98879401.700,0.099
2020-10-12,0.003,337894411.071,105760362.354,0.098
2020-10-13,0.003,339394535.620,98587197.652,0.098
2020-10-14,0.003,334010355.155,81979158.312,0.098
2020-10-15,0.003,335281826.076,92411042.539,0.097
2020-10-16,0.003,328138628.769,83563068.909,0.099
2020-10-17,0.003,330748499.550,114388487.423,0.099
2020-10-18,0.003,328237703.802,129773084.687,0.099
2020-10-19,0.003,329291126.355,74475416.650,0.099
2020-10-20,0.003,329815560.673,89163323.219,0.099
2020-10-21,0.003,328009972.914,59221115.130,0.083
2020-10-22,0.003,331735170.667,41535361.100,0.083
2020-10-23,0.003,336635193.731,44994737.564,0.073
2020-10-24,0.003,336385839.294,46544309.456,0.063
2020-10-25,0.003,334863453.181,46390496.956,0.058
2020-10-26,0.003,336656207.197,55959552.675,0.058
2020-10-27,0.003,339025558.384,102845432.316,0.059
2020-10-28,0.003,339492203.499,73738233.193,0.056
2020-10-29,0.003,328654738.805,74612874.149,0.064
2020-10-30,0.003,328650433.632,66466906.619,0.062
2020-10-31,0.003,328568259.103,59934492.547,0.062
2020-11-01,0.003,325251670.117,59252178.201,0.061
2020-11-02,0.003,326802903.106,53350848.387,0.061
2020-11-03,0.003,320474308.660,55521138.654,0.060
2020-11-04,0.003,319863845.113,68660359.682,0.060
2020-11-05,0.003,319758149.095,69983438.675,0.060
2020-11-06,0.003,336504090.411,70147423.333,0.081
2020-11-07,0.003,350155278.824,90412509.793,0.089
2020-11-08,0.003,336953267.099,69340167.160,0.091
2020-11-09,0.003,345344778.945,46106797.067,0.091
2020-11-10,0.003,339595729.991,54172574.139,0.091
2020-11-11,0.003,351265740.471,62506709.226,0.097
2020-11-12,0.003,351348658.446,55166842.777,0.096
2020-11-13,0.003,354103512.565,42492330.170,0.096
2020-11-14,0.003,360686896.262,49101076.276,0.094
2020-11-15,0.003,349939417.552,49169560.313,0.099
2020-11-16,0.003,353448378.850,43634951.135,0.099
2020-11-17,0.003,368108023.491,65269355.511,0.107
2020-11-18,0.003,374357159.729,66560629.126,0.107
2020-11-19,0.003,371288621.360,62937646.137,0.108
2020-11-20,0.003,369373741.702,74924639.185,0.108
2020-11-21,0.003,380219646.053,81530241.223,0.111
2020-11-22,0.004,446351399.565,185253838.177,0.202
2020-11-23,0.003,430016060.342,156220975.866,0.210
2020-11-24,0.004,456754683.772,132541741.028,0.219
2020-11-25,0.004,528521952.248,274092977.659,0.263
2020-11-26,0.004,473486067.788,188627821.478,0.289
2020-11-27,0.003,413451233.047,175112452.391,0.319
2020-11-28,0.003,417659896.279,113629477.967,0.318
2020-11-29,0.003,434604524.087,97440479.405,0.320
2020-11-30,0.003,434295427.589,84050075.994,0.319
2020-12-01,0.004,453349206.105,99796545.001,0.319
2020-12-02,0.003,427180904.972,109457481.315,0.326
2020-12-03,0.003,430431470.508,84065260.304,0.325
2020-12-04,0.003,436200080.265,79865143.696,0.325
2020-12-05,0.003,421462226.406,73957627.447,0.325
