Fecha,Precio,MarketCap,Volumen24h,Volatilidad30Dias
2020-08-20,406.574,45642757811.591,12854733824.946,0.0
2020-08-21,416.470,46754739209.416,10564357237.822,0.0
2020-08-22,386.824,43434501400.188,12518435194.162,0.0
2020-08-23,395.885,44454504740.730,10612983427.484,0.0
2020-08-24,390.789,44021875258.788,9775318835.218,0.0
2020-08-25,408.269,45914782850.884,11007565809.594,0.0
2020-08-26,383.662,43097616381.473,12857413913.191,0.0
2020-08-27,385.752,43337732292.523,10454041361.377,0.0
2020-08-28,381.838,42903096293.901,10466849103.532,0.0
2020-08-29,395.138,44402928843.010,10196208352.394,0.0
2020-08-30,399.375,44884412904.618,9631959320.391,0.0
2020-08-31,428.296,48092923342.649,12945668314.960,0.0
2020-09-01,435.693,49098776608.154,14228693735.747,0.0
2020-09-02,475.685,54146717970.585,18804560687.281,0.0
2020-09-03,439.354,49401551509.000,19315593282.634,0.0
2020-09-04,383.692,43135808902.690,17364384113.173,0.0
2020-09-05,387.904,43627087090.329,10260946593.268,0.0
2020-09-06,334.469,37655618254.051,22254663654.420,0.0
2020-09-07,352.993,39710363028.212,21920007828.961,0.0
2020-09-08,351.878,39639961273.341,14769191933.858,0.0
2020-09-09,337.845,37835807856.342,14799132842.839,0.0
2020-09-10,351.232,39580368571.360,13120851004.434,0.0
2020-09-11,367.639,41300327191.464,74747424441.397,0.0
2020-09-12,373.915,42135842526.321,12937594458.735,0.0
2020-09-13,387.724,43393172173.541,11465259432.879,0.0
2020-09-14,365.696,41170490544.065,13172306578.938,0.0
2020-09-15,376.395,42353184458.585,14124838468.355,0.0
2020-09-16,364.690,41019180031.930,12209389923.087,0.0
2020-09-17,365.131,41136175614.141,13298202038.469,0.0
2020-09-18,388.797,43828530075.491,16748693289.537,0.301
2020-09-19,383.173,43009572687.416,9883257470.927,0.301
2020-09-20,385.472,43455110863.069,11046298234.187,0.292
2020-09-21,370.968,41929980576.653,11369621273.059,0.293
2020-09-22,341.277,38695806846.977,14837815989.717,0.304
2020-09-23,343.918,38679912764.294,11967106210.546,0.300
2020-09-24,321.077,36239170986.342,9839917613.109,0.301
2020-09-25,348.821,39314719146.843,12209550797.233,0.315
2020-09-26,351.332,39598389061.566,10740036294.329,0.315
2020-09-27,354.262,39946698187.610,10859942552.211,0.312
2020-09-28,357.066,40273903426.082,9973839924.612,0.312
2020-09-29,354.430,39794887269.461,9818467156.628,0.303
2020-09-30,359.426,40574256067.825,9708794838.846,0.302
2020-10-01,359.599,40586538615.955,8037484324.981,0.286
2020-10-02,353.198,39782583382.891,11835729247.852,0.277
2020-10-03,345.913,39005631807.605,12194440257.524,0.248
2020-10-04,345.992,39098719406.982,8933121301.407,0.248
2020-10-05,352.459,39758373727.614,8905022839.295,0.205
2020-10-06,353.604,39890007481.293,9285381014.804,0.198
2020-10-07,340.616,38419834420.755,10280978397.300,0.201
2020-10-08,341.444,38556379197.918,8044228155.820,0.197
2020-10-09,350.056,39539898845.291,9330978624.154,0.195
2020-10-10,365.339,41261693685.499,11301702589.431,0.194
2020-10-11,370.472,41919449520.128,10673988207.879,0.194
2020-10-12,374.497,42273071872.950,8000631027.644,0.190
2020-10-13,387.256,43787622889.793,12458841248.930,0.184
2020-10-14,381.169,43068111158.109,9741612768.030,0.183
2020-10-15,379.210,42827891085.951,10673398919.618,0.180
2020-10-16,377.159,42625398559.364,10155629419.116,0.180
2020-10-17,365.991,41424753265.121,9375570544.204,0.170
2020-10-18,368.650,41654901940.043,8087278469.474,0.170
2020-10-19,378.049,42730815492.786,7527761590.194,0.172
2020-10-20,379.639,42919073937.741,8995049004.811,0.167
2020-10-21,368.227,41623179886.798,7492023938.776,0.149
2020-10-22,391.167,44137912522.425,12728437763.917,0.160
2020-10-23,413.202,46776265907.292,12229478488.702,0.150
