time,prices,market_cap,total_volumes
2020-08-19,2.94,0.0,82413981.29681122
2020-08-20,2.94,0.0,82413981.29681122
2020-08-21,2.9,0.0,49511744.88463916
2020-08-22,2.87,0.0,51233752.827103466
2020-08-23,4.48,4028277492.3881054,473920951.2911821
2020-08-24,3.97,3630430965.6868463,335685225.4482104
2020-08-25,4.58,4162344881.7015166,395502571.8989607
2020-08-26,5.49,4910960800.05402,729611892.217292
2020-08-27,6.07,5508438431.636099,853376793.3117362
2020-08-28,5.64,5147685413.841153,995432623.197182
2020-08-29,6.16,5563188700.133332,584978197.1298553
2020-08-30,6.15,5580674883.763024,407313299.8601509
2020-08-31,5.9,5350103716.769489,366896197.48982257
2020-09-01,6.3,5712939724.608923,430398059.7192618
2020-09-02,6.23,5693335995.934683,472601408.55368245
2020-09-03,6.16,5597505846.232816,485766767.0734896
2020-09-04,5.68,5294708814.664548,630783985.0451007
2020-09-05,5.13,4675680671.656081,676657581.6459368
2020-09-06,4.13,3750820473.971468,595268790.8541288
2020-09-07,4.79,4394131227.7377405,511543436.75403696
2020-09-08,4.59,4190737575.784357,365705934.9831117
2020-09-09,4.28,3891004373.7933345,234920666.902606
2020-09-10,4.7,4298181268.775718,274399152.6284701
2020-09-11,4.58,4177237545.060083,254092704.72602594
2020-09-12,4.63,4216287873.46031,212155209.23847777
2020-09-13,5.14,4663414090.094169,317307477.3197743
2020-09-14,5.29,4819470920.9595585,413410119.80475265
2020-09-15,5.34,4874640596.625649,368584203.1748962
2020-09-16,5.11,4673343463.456086,301361216.948819
2020-09-17,5.08,4634502327.79378,272070780.6235744
2020-09-18,5.32,4871310608.622429,299530704.44409996
2020-09-19,5.24,4771593286.01857,218845784.12899387
2020-09-20,4.92,4511663057.978728,180793689.67015743
2020-09-21,4.67,4287331139.3953447,277405320.53644466
2020-09-22,4.09,3770969365.206551,376122862.04748017
2020-09-23,4.17,3807699809.7726593,207312314.25066918
2020-09-24,4.02,3701917991.0629163,208272484.1319433
2020-09-25,4.39,4024415210.879658,212165515.13304597
2020-09-26,4.41,4036996777.5289283,176573807.95552978
2020-09-27,4.34,3981431937.9363737,124028159.47280042
2020-09-28,4.31,3966805487.8693743,123873259.31149642
2020-09-29,4.42,4015168631.8723865,192688341.9893024
2020-09-30,4.49,4123709369.6045084,200465046.6652287
2020-10-01,4.35,3998481295.7904816,131549097.16661954
2020-10-02,4.34,3982054342.146103,185800897.37967393
2020-10-03,4.12,3786983100.945344,205627933.56633562
2020-10-04,4.07,3739978579.4404645,104601491.58937459
2020-10-05,4.18,3849818336.1017737,89731299.09326749
2020-10-06,4.16,3833319535.2399874,132019868.42462733
2020-10-07,3.75,3440251736.5558577,210625817.43183962
2020-10-08,3.85,3541978347.8554893,216001362.39253852
2020-10-09,4.1,3769762007.0828257,214716289.57457
2020-10-10,4.26,3921415690.922872,182371173.03073755
2020-10-11,4.25,3919459351.7433486,163446062.4110077
2020-10-12,4.25,3916199449.3647904,124735788.70912461
2020-10-13,4.32,3977129133.2757235,188455914.277421
2020-10-14,4.25,3915494879.7760305,155609893.3297254
2020-10-15,4.19,3867261708.4269414,168709011.56224796
2020-10-16,4.09,3777390476.4718733,143464781.4780979
2020-10-17,3.9,3609407515.0339217,161294195.66031703
2020-10-18,3.96,3658072954.9526196,69398889.68866682
2020-10-19,4.11,3790640346.1402893,84816935.22137997
2020-10-20,3.99,3671134189.284116,95007120.32225177
2020-10-21,3.91,3604225667.8517904,148089643.50211453
2020-10-22,4.13,3812512446.0483255,174236165.96079922
2020-10-23,4.26,3939180404.081174,146291489.18888167
2020-10-24,4.26,3933812312.373021,164831205.4380136
2020-10-25,4.35,4020658006.777102,120332452.89074594
2020-10-26,4.33,4012939180.8089256,108292827.394825
2020-10-27,4.69,4329655077.1763115,274074972.02018064
2020-10-28,4.68,4340749573.937261,265898434.61678487
2020-10-29,4.36,4034473421.2102537,202108505.00692162
2020-10-30,4.05,3764515251.518611,200320469.3863818
2020-10-31,4.09,3791580626.3780184,159228530.14780968
2020-11-01,4.18,3874741303.6816278,91136861.76934384
2020-11-02,4.2,3895006456.472724,81646034.91053519
2020-11-03,4.02,3739887980.0737333,140951326.24756223
2020-11-04,4.03,3734301175.4767933,122070013.90305401
2020-11-05,4.08,3787360078.116946,167238369.00696442
2020-11-06,4.23,3937088642.1498547,147107170.64734727
2020-11-07,4.57,4258511485.891999,189796195.46608785
2020-11-08,4.24,3945482202.1835647,278868817.51144844
2020-11-09,4.36,4078246608.5763006,128160233.80415396
2020-11-10,4.34,4036915102.2553153,140530467.26834425
2020-11-11,4.41,4109275213.3344407,127503833.19442774
