time,prices,market_cap,total_volumes
2020-04-11,0.96,7827651.892659198,92672667.43447028
2020-04-12,0.78,6173607.678345317,49458692.875223994
2020-04-13,0.88,7269680.447445141,37821009.955602355
2020-04-14,0.79,6302364.150584625,19579214.89293177
2020-04-15,0.67,5306221.06575891,17523533.049867075
2020-04-16,0.64,5114653.932636794,12659541.408408837
2020-04-17,0.69,5505929.486978686,23132895.9095158
2020-04-18,0.66,5348323.975349362,10227034.752456626
2020-04-19,0.68,5423066.285864263,10199318.163159857
2020-04-20,0.61,4844617.211182358,9789186.730548004
2020-04-21,0.53,4285479.154681022,8763891.031037511
2020-04-22,0.57,4591546.761226098,9610841.993019182
2020-04-23,0.68,5446538.173850838,18146790.14448149
2020-04-24,0.62,4909586.999036558,13659849.485801896
2020-04-25,0.62,5027193.620409137,8959427.13964603
2020-04-26,0.65,5173619.233465031,7324961.274114759
2020-04-27,0.64,5137791.330825961,8493459.048447348
2020-04-28,0.57,4616001.375155629,7534010.521157354
2020-04-29,0.66,5283691.351331575,7387289.032147021
2020-04-30,0.74,5897415.537215416,8964597.270530097
2020-05-01,0.69,5635423.505964131,5182978.537733341
2020-05-02,0.72,5735879.899599453,4174109.6429038513
2020-05-03,0.71,5669404.169981707,3457574.5570013877
2020-05-04,0.69,5486412.385664286,3375393.730010124
2020-05-05,0.67,5354861.583908894,3467483.256730908
2020-05-06,0.65,5195811.6286706,2903980.8568524625
2020-05-07,0.62,5010066.054780242,2715223.2877061805
2020-05-08,0.61,4874818.721855924,3385522.0174709754
2020-05-09,0.61,4827334.908169065,2493703.55942783
2020-05-10,0.6,4816707.909418276,2126230.1519960337
2020-05-11,0.54,4324416.949285259,2370841.7230691817
2020-05-12,0.51,4171226.2991002905,2113480.526002199
2020-05-13,0.53,4266741.231304909,2182277.4116870984
2020-05-14,0.55,4413742.897500913,2337721.3827509126
2020-05-15,0.57,4570789.918376839,548910.1111122454
2020-05-16,0.56,4432087.508991812,1837728.914580343
2020-05-17,0.6,4752035.386171752,2286736.274938201
2020-05-18,0.62,4898008.357759836,2950437.821089827
2020-05-19,0.65,5213969.633802138,3280890.995949265
2020-05-20,0.62,4996233.199332481,2375972.6144311675
2020-05-21,0.58,4629608.829738474,2306268.656301432
2020-05-22,0.61,4853042.594897839,2791803.410911919
2020-05-23,0.61,4919865.806567834,3449950.8698416166
2020-05-24,0.61,4866957.615424991,2624526.4581755586
2020-05-25,0.55,4374843.160369413,2831384.6236669393
2020-05-26,0.6,4809730.17960867,4453912.36455054
2020-05-27,0.57,4598505.351008801,2703457.5841550757
2020-05-28,0.59,4715158.090275346,2545885.09382515
2020-05-29,0.57,9366383.783941554,2654599.496858454
2020-05-30,0.58,9427078.266084636,2051249.6504508469
2020-05-31,0.59,9591470.33610501,2439529.3289575824
2020-06-01,0.58,9399234.951485896,1936502.3610925872
2020-06-02,0.58,9424972.586161828,2232352.346863049
2020-06-03,0.57,9310563.109433705,1384105.1497734163
2020-06-04,0.59,9614805.94741188,888236.6647254211
2020-06-05,0.59,9543805.262487222,863889.7763493777
2020-06-06,0.66,10747702.95638117,4253926.368138953
2020-06-07,0.63,10180036.835310562,1644975.9479360643
2020-06-08,0.62,10138083.793723866,778127.9330190483
2020-06-09,0.67,10913789.386770498,1450401.0511809927
2020-06-10,0.66,10726797.093153996,934660.1510810163
2020-06-11,0.65,10648020.65447342,1145633.2872963657
2020-06-12,0.57,9341515.406268213,1164520.213589104
2020-06-13,0.59,9722321.601662131,962192.2023448921
2020-06-14,0.61,9955797.604756866,753788.2633049818
2020-06-15,0.59,9583560.125035353,915552.325663399
2020-06-16,0.57,9320494.000741212,1052111.2592694547
2020-06-17,0.59,9519846.38912149,679085.216200979
2020-06-18,0.58,9549958.35463254,704810.1888912406
2020-06-19,0.62,10224928.435807472,1372641.01989903
2020-06-20,0.69,11247343.894203106,7055205.212782311
2020-06-21,0.64,10673766.043338617,1745226.9861953105
2020-06-22,0.67,11086240.79289364,2287434.9791924166
2020-06-23,0.73,11996277.112687156,1654719.03275172
2020-06-24,0.71,11646898.982503338,1383543.515394181
2020-06-25,0.74,12150092.54225176,2827321.0318965996
2020-06-26,0.71,11741625.189942881,1804323.6591062366
2020-06-27,0.74,12079079.145186102,1673667.3915581722
2020-06-28,0.71,11750514.839677684,1710200.3756398568
2020-06-29,0.8,13136127.952360291,3419777.1925617917
2020-06-30,0.85,14062849.974509096,2179078.5022104667
2020-07-01,0.86,14164459.013979025,4200596.310608971
2020-07-02,0.83,13737840.609279668,1840101.230846373
2020-07-03,0.77,12783903.734507758,1796842.5276823917
2020-07-04,0.77,12672163.175031388,1136961.5458983239
2020-07-05,0.78,12892264.592707587,1683516.1067310176
2020-07-06,0.69,11423393.474284139,3820984.230135418
2020-07-07,0.71,11691026.180906912,1164528.5162276954
