time,prices,market_cap,total_volumes
2020-09-17,3.44,219913212.47869825,1802085330.293668
2020-09-18,3.44,219913212.47869825,1802085330.293668
2020-09-19,7.1,732822061.0330778,5688408416.882498
2020-09-20,5.7,647208421.0707141,2050756493.492213
2020-09-21,5.26,632421347.516945,1316669226.584856
2020-09-22,4.29,526520586.45950305,1074198632.0904953
2020-09-23,3.91,487186362.8207511,697928916.822781
2020-09-24,4.34,558449301.5904285,976430280.4460803
2020-09-25,5.14,670712373.8758416,776760499.8672208
2020-09-26,4.91,646853075.535181,626823584.8121408
2020-09-27,4.87,691125372.1503159,363925152.74854934
2020-09-28,4.84,689402232.077857,341577705.09212464
2020-09-29,4.25,622352706.2677807,335772345.2750809
2020-09-30,4.34,641030584.1185127,279012123.5261533
2020-10-01,4.15,620840802.3152523,215900631.37764022
2020-10-02,4.24,636514926.1406465,370977286.8729862
2020-10-03,3.9,643770085.9726512,326043384.3933095
2020-10-04,3.89,704073930.1747521,212356215.25192958
2020-10-05,3.72,676286308.1652026,244544989.9204514
2020-10-06,3.32,604064456.4319453,298746894.4948947
2020-10-07,2.69,484435475.7614607,384108414.06590426
2020-10-08,2.96,540709193.0312451,438926126.0949557
2020-10-09,3.31,603384806.4011482,487646893.72824025
2020-10-10,3.41,624766817.7307591,377780662.24262124
2020-10-11,3.3,605086419.1414492,285868091.8782006
2020-10-12,3.37,620284007.0059217,198779007.34591478
2020-10-13,3.45,636858098.7676747,262845150.32599124
2020-10-14,3.35,619474718.5315651,156290894.7283672
2020-10-15,3.12,577560863.213238,260812435.53290272
2020-10-16,3.08,573329621.3129594,223937288.66708416
2020-10-17,3.04,568053942.0466825,311404752.2546533
2020-10-18,3.07,573608919.3394606,158485458.09938937
2020-10-19,3.27,658475452.6602299,153578565.9021965
2020-10-20,3.17,638986846.1577828,177367219.185632
2020-10-21,2.85,574630017.2192171,267899120.4802981
2020-10-22,2.93,590704390.9094771,242609502.30000964
2020-10-23,3.03,613902134.4513645,179057034.57620853
2020-10-24,3.01,608790596.9414719,157171970.1050009
2020-10-25,2.94,594863487.4925164,114649947.17601904
2020-10-26,2.77,582236710.6524885,138696963.62674186
2020-10-27,2.71,569460992.1533448,186029316.91562256
2020-10-28,2.82,595487146.8850842,188714502.28583327
2020-10-29,2.67,563330287.0275949,147809519.0275576
2020-10-30,2.54,536652174.1634711,130705348.51051356
2020-10-31,2.41,509800102.67010105,219373066.75671974
2020-11-01,2.26,479933274.3121692,112447743.3022698
2020-11-02,2.37,505102350.9126218,123598089.32183826
2020-11-03,2.25,482105416.860576,129313651.14587164
2020-11-04,2.14,459013051.13185984,106587850.41473934
2020-11-05,1.93,411540818.446762,118641534.8189223
2020-11-06,2.21,472797950.4393272,344459948.36912775
2020-11-07,2.55,546090935.4543844,407112159.3484543
2020-11-08,2.48,535529641.5250265,491671462.8606986
2020-11-09,2.88,620585818.9074469,278969229.5601973
2020-11-10,2.67,573849148.3657682,262312751.12296724
2020-11-11,3.05,656695052.9585853,285676579.766339
2020-11-12,2.94,630203163.1012877,290189822.8639477
2020-11-13,2.96,638318912.7352413,266553988.6727794
2020-11-14,3.89,837054899.1487976,476124356.87531024
