Date,Open,High,Low,Close,Volume
10/04/2022,426.6,429.5,417.0,418.1,386650.883
11/04/2022,418.1,419.7,391.2,394.6,856354.224
12/04/2022,394.6,417.1,392.4,413.6,729790.918
13/04/2022,413.7,424.6,410.3,423.4,630077.277
14/04/2022,423.4,426.9,411.3,414.7,464220.208
15/04/2022,414.7,420.0,412.5,417.3,331730.773
16/04/2022,417.3,419.0,411.6,417.3,237289.02
17/04/2022,417.3,418.2,405.5,406.6,302390.726
18/04/2022,406.7,418.0,396.2,416.8,628747.772
19/04/2022,416.9,424.7,414.6,422.3,567586.931
20/04/2022,422.3,431.4,414.9,418.4,677255.09
21/04/2022,418.4,426.0,401.2,404.9,771718.154
22/04/2022,404.9,413.9,403.3,406.6,563521.049
23/04/2022,406.6,408.1,397.3,401.1,339347.45
24/04/2022,401.2,405.5,397.1,398.8,322889.805
25/04/2022,398.8,405.7,382.3,404.3,849798.678
26/04/2022,404.4,407.5,380.8,385.9,629808.812
27/04/2022,386.0,394.8,383.3,391.3,567371.495
28/04/2022,391.4,408.6,388.5,407.1,946336.334
29/04/2022,407.2,410.7,389.7,393.0,694888.526
30/04/2022,393.0,399.9,376.3,377.1,574905.822
01/05/2022,377.1,391.4,375.5,389.9,564144.673
02/05/2022,389.9,392.6,382.1,389.5,454918.112
03/05/2022,389.5,392.3,379.8,383.9,388317.42
04/05/2022,383.9,403.1,382.7,402.6,599066.682
05/05/2022,402.6,413.6,370.7,378.4,1224114.512
06/05/2022,378.5,383.3,370.6,379.1,702441.419
07/05/2022,379.1,380.6,360.1,365.5,554852.531
08/05/2022,365.5,367.0,349.5,355.9,785184.087
09/05/2022,355.9,359.3,295.4,296.1,2137566.8702
10/05/2022,296.1,332.8,289.0,319.1,2160654.1754
11/05/2022,319.1,323.0,260.8,271.5,3387753.9826
12/05/2022,271.4,285.0,218.8,269.0,4499625.6033
13/05/2022,269.0,313.5,265.4,290.6,1912387.361
14/05/2022,290.7,299.5,272.1,296.9,1092874.023
15/05/2022,296.9,312.6,285.7,312.4,774709.231
16/05/2022,312.4,312.5,290.3,297.2,967622.834
17/05/2022,297.3,310.7,295.8,306.2,702265.607
18/05/2022,306.2,308.6,286.8,287.7,731091.091
19/05/2022,287.8,308.9,286.8,307.1,685238.844
20/05/2022,307.1,316.1,294.1,302.2,918118.177
21/05/2022,302.3,314.2,299.3,312.4,470778.483
22/05/2022,312.5,323.7,311.5,319.4,640675.573
23/05/2022,319.3,337.0,315.3,317.2,1016212.871
24/05/2022,317.1,330.4,312.1,328.3,1087140.698
25/05/2022,328.3,337.9,324.0,325.7,1057736.755
26/05/2022,325.7,331.8,296.7,303.0,1539437.598
27/05/2022,303.0,309.8,290.6,301.6,1460549.008
