Date,Open,High,Low,Close,Volume
10/04/2022,0.1442,0.1578,0.1435,0.1482,2653381549.0
11/04/2022,0.1482,0.1515,0.1329,0.1341,2077944539.0
12/04/2022,0.134,0.1446,0.1332,0.138,1432968065.0
13/04/2022,0.138,0.1435,0.1362,0.1399,982887318.0
14/04/2022,0.14,0.1478,0.1368,0.1441,2218098250.0
15/04/2022,0.1442,0.1498,0.1418,0.1458,1414074566.0
16/04/2022,0.1458,0.148,0.1414,0.1435,747201976.0
17/04/2022,0.1435,0.145,0.1383,0.1392,693196715.0
18/04/2022,0.1392,0.1405,0.1327,0.1402,1219207335.0
19/04/2022,0.1401,0.1446,0.1391,0.1425,811386437.0
20/04/2022,0.1425,0.1468,0.1389,0.1407,1387121991.0
21/04/2022,0.1407,0.143,0.134,0.1362,873720271.0
22/04/2022,0.1362,0.1382,0.1346,0.1363,572175737.0
23/04/2022,0.1363,0.1368,0.1331,0.1339,337691149.0
24/04/2022,0.1338,0.1348,0.1309,0.1317,521764787.0
25/04/2022,0.1318,0.1711,0.1224,0.1581,7687212862.0
26/04/2022,0.1582,0.1668,0.1354,0.1376,6993892003.0
27/04/2022,0.1376,0.1456,0.135,0.14,2395315272.0
28/04/2022,0.1399,0.1433,0.1352,0.1375,1507644481.0
29/04/2022,0.1375,0.1451,0.1331,0.1349,2002962085.0
30/04/2022,0.135,0.1368,0.1238,0.1274,1256533034.0
01/05/2022,0.1273,0.1366,0.126,0.1327,1208220038.0
02/05/2022,0.1327,0.134,0.1276,0.1308,791121203.0
03/05/2022,0.1308,0.132,0.1264,0.1295,602983927.0
04/05/2022,0.1294,0.1363,0.129,0.1359,999925457.0
05/05/2022,0.136,0.1378,0.125,0.1282,1663729207.0
06/05/2022,0.1281,0.1299,0.1234,0.1278,919219399.0
07/05/2022,0.1277,0.1324,0.1245,0.1275,913433603.0
08/05/2022,0.1274,0.1283,0.1226,0.1241,770287457.0
09/05/2022,0.1241,0.1253,0.1001,0.1019,2102771008.3
10/05/2022,0.1018,0.1184,0.0992,0.108,1929997320.5
11/05/2022,0.108,0.1109,0.0711,0.0853,4698607567.9
12/05/2022,0.0852,0.0899,0.0689,0.0826,4099690301.0
13/05/2022,0.0826,0.0964,0.082,0.0881,2571346706.0
14/05/2022,0.0881,0.092,0.0836,0.0894,1212363074.0
15/05/2022,0.0895,0.0933,0.0864,0.0932,799028070.0
16/05/2022,0.0932,0.0932,0.0858,0.088,674846170.0
17/05/2022,0.088,0.0914,0.0869,0.0903,632579482.0
18/05/2022,0.0903,0.091,0.0831,0.0833,552003943.0
19/05/2022,0.0834,0.0876,0.0814,0.0866,537654022.0
20/05/2022,0.0866,0.088,0.0825,0.084,494642225.0
21/05/2022,0.084,0.0855,0.0824,0.0845,200173227.0
22/05/2022,0.0844,0.0867,0.0838,0.0859,212040160.0
23/05/2022,0.0859,0.0884,0.0821,0.0833,491119625.0
24/05/2022,0.0833,0.0844,0.0801,0.0837,359716178.0
25/05/2022,0.0837,0.0845,0.0821,0.083,417147590.0
26/05/2022,0.0829,0.0837,0.075,0.0779,863761845.0
27/05/2022,0.0779,0.09,0.076,0.0816,1955445636.0
28/05/2022,0.0815,0.0834,0.0808,0.0818,539169761.0
29/05/2022,0.0818,0.0833,0.0798,0.0827,368598200.0
30/05/2022,0.0827,0.08857,0.0821,0.088,1210365782.0
31/05/2022,0.088,0.0885,0.08308,0.08591,1380975219.0
01/06/2022,0.0859,0.08952,0.07872,0.08105,2111914425.0
02/06/2022,0.08106,0.08313,0.08001,0.08277,950935239.0
03/06/2022,0.08279,0.08296,0.07936,0.08029,719704158.0
04/06/2022,0.08033,0.08252,0.07932,0.08187,508858133.0
05/06/2022,0.08188,0.08225,0.0806,0.08107,372318514.0
06/06/2022,0.08108,0.08473,0.08089,0.0825,810064865.0
07/06/2022,0.0825,0.08258,0.07769,0.08039,733934095.0
08/06/2022,0.08039,0.0816,0.0788,0.07927,536757669.0
09/06/2022,0.07927,0.08105,0.07893,0.07937,322805496.0
10/06/2022,0.07937,0.07974,0.07423,0.07539,584554571.0
11/06/2022,0.07538,0.07649,0.06793,0.06993,750865386.0
12/06/2022,0.06994,0.07037,0.06344,0.06353,1339377069.7
13/06/2022,0.06352,0.06627,0.05234,0.0542,3222482666.2
14/06/2022,0.05418,0.05842,0.04978,0.05555,2292552206.0
15/06/2022,0.05556,0.06394,0.05041,0.06285,2340963490.0
16/06/2022,0.06285,0.06285,0.05421,0.05523,1635504912.0
17/06/2022,0.05523,0.05814,0.05463,0.05689,694665887.0
18/06/2022,0.0569,0.05787,0.04914,0.0529,1478029999.0
19/06/2022,0.05289,0.0629,0.05116,0.06047,2339917678.0
20/06/2022,0.06046,0.06152,0.05744,0.06002,963247514.0
21/06/2022,0.06002,0.06993,0.05896,0.06581,2221434344.0
22/06/2022,0.06583,0.06583,0.06105,0.0617,1245199586.0
23/06/2022,0.06172,0.06476,0.06155,0.06398,826794075.0
24/06/2022,0.06398,0.06854,0.06391,0.06694,897806951.0
25/06/2022,0.06694,0.06934,0.0651,0.06852,767798491.0
26/06/2022,0.06852,0.07759,0.06719,0.07296,1762543405.0
27/06/2022,0.07297,0.0788,0.0705,0.07216,1823287836.0
28/06/2022,0.07218,0.0734,0.0654,0.0661,1134861583.0
29/06/2022,0.0661,0.07159,0.06409,0.06956,1112315068.0
30/06/2022,0.06958,0.06973,0.06227,0.06644,1057005992.0
01/07/2022,0.06642,0.06846,0.06386,0.06644,872749922.0
02/07/2022,0.06645,0.068,0.0655,0.06667,618971181.0
03/07/2022,0.06667,0.0675,0.06482,0.06721,437895956.0
04/07/2022,0.06721,0.06981,0.06566,0.06938,647421086.0
05/07/2022,0.06937,0.07002,0.0655,0.06716,634033746.0
06/07/2022,0.06716,0.0693,0.06616,0.06844,643845555.0
07/07/2022,0.06843,0.07122,0.06786,0.07055,698711394.0
08/07/2022,0.07056,0.0735,0.06823,0.06906,767634396.0
09/07/2022,0.06906,0.07019,0.06881,0.06947,356555177.0
10/07/2022,0.06947,0.0695,0.06626,0.06728,500345310.0
11/07/2022,0.06728,0.06729,0.06119,0.06175,567740257.0
12/07/2022,0.06175,0.06316,0.05972,0.05982,490698646.0
13/07/2022,0.05981,0.06235,0.05754,0.06194,765623144.0
14/07/2022,0.06194,0.06282,0.05946,0.06246,619370560.0
15/07/2022,0.06247,0.06443,0.06162,0.06294,651264714.0
16/07/2022,0.06293,0.06484,0.06176,0.06439,450542104.0
17/07/2022,0.06437,0.06552,0.06289,0.06306,413264543.0
18/07/2022,0.06306,0.06897,0.06299,0.06756,1153131436.0
19/07/2022,0.06755,0.07025,0.06539,0.06901,1049353576.0
20/07/2022,0.06902,0.07695,0.06769,0.07014,1879167633.0
21/07/2022,0.07012,0.07091,0.06691,0.06998,831525229.0
22/07/2022,0.06997,0.07141,0.0667,0.06743,698239065.0
23/07/2022,0.06743,0.0695,0.06594,0.06804,574830361.0
24/07/2022,0.06802,0.06893,0.06721,0.06755,422181889.0
25/07/2022,0.06755,0.06799,0.06175,0.06193,699294463.0
26/07/2022,0.06194,0.06267,0.06011,0.06252,598070119.0
27/07/2022,0.06253,0.06722,0.06178,0.06721,722135201.0
28/07/2022,0.06722,0.07089,0.06518,0.06909,947954323.0
29/07/2022,0.06912,0.07244,0.06723,0.06877,1006131726.0
30/07/2022,0.06879,0.07454,0.06788,0.06965,1305533142.0
31/07/2022,0.06966,0.07225,0.06771,0.06807,789967033.0
01/08/2022,0.06809,0.07128,0.06682,0.06845,770509779.0
02/08/2022,0.06845,0.06913,0.06546,0.06652,571786789.0
03/08/2022,0.06652,0.06842,0.06509,0.06621,475501306.0
04/08/2022,0.06621,0.06767,0.06574,0.06725,417953599.0
05/08/2022,0.06725,0.07028,0.06717,0.06981,655343802.0
06/08/2022,0.06981,0.07133,0.0684,0.06863,515275101.0
07/08/2022,0.06863,0.07,0.06735,0.06897,334443472.0
08/08/2022,0.06896,0.07258,0.06881,0.07011,791973876.0
