Date,Open,High,Low,Close,Volume
10/04/2022,19.76,20.25,19.16,19.22,3716291.3
11/04/2022,19.23,19.29,17.0,17.2,7676575.11
12/04/2022,17.2,18.04,17.16,17.77,5075204.98
13/04/2022,17.77,18.3,17.37,18.2,3723536.86
14/04/2022,18.2,18.48,17.47,17.91,3580226.26
15/04/2022,17.91,18.43,17.78,18.34,2489380.26
16/04/2022,18.35,18.7,18.17,18.61,2340391.42
17/04/2022,18.61,18.81,17.65,17.74,2796505.88
18/04/2022,17.74,18.36,17.1,18.15,4831063.54
19/04/2022,18.16,18.96,18.04,18.88,3242472.57
20/04/2022,18.89,19.54,18.54,19.09,5373410.27
21/04/2022,19.1,19.68,18.03,18.18,4574629.37
22/04/2022,18.17,18.53,18.07,18.28,3634735.07
23/04/2022,18.28,19.27,17.96,18.69,3583194.77
24/04/2022,18.69,19.16,18.07,18.17,3027438.28
25/04/2022,18.17,18.25,17.12,18.1,5316099.45
26/04/2022,18.11,18.34,16.4,16.68,5792628.08
27/04/2022,16.68,17.27,16.48,16.94,3781290.25
28/04/2022,16.94,17.43,16.75,16.99,4260939.1
29/04/2022,16.99,17.07,15.99,16.19,4036404.24
30/04/2022,16.19,16.45,14.18,14.5,6047042.51
01/05/2022,14.5,15.53,14.48,15.36,5066643.89
02/05/2022,15.36,15.6,14.56,14.96,5385162.38
03/05/2022,14.97,15.23,14.52,14.72,3404204.43
04/05/2022,14.73,16.35,14.66,16.34,6243464.14
05/05/2022,16.34,16.45,14.02,14.58,9116577.82
06/05/2022,14.58,14.67,13.81,14.32,6781078.5
07/05/2022,14.33,14.38,13.36,13.75,4305832.068
08/05/2022,13.75,13.88,13.03,13.25,7019382.931
09/05/2022,13.26,13.49,10.51,10.62,19395824.829
10/05/2022,10.63,12.44,10.31,11.36,18906768.511
11/05/2022,11.35,11.66,8.06,9.09,31995073.859
12/05/2022,9.07,9.52,7.3,8.71,25729345.375
13/05/2022,8.7,11.79,8.56,10.46,25890493.66
14/05/2022,10.45,11.56,9.76,11.3,15902710.63
15/05/2022,11.31,11.87,10.57,11.81,11082707.18
16/05/2022,11.81,11.81,10.37,10.63,10051194.44
17/05/2022,10.62,11.34,10.43,11.04,8641438.95
18/05/2022,11.03,11.17,9.43,9.49,10809076.66
19/05/2022,9.49,10.41,9.22,10.03,10352256.32
20/05/2022,10.04,10.26,9.45,9.67,8304278.67
21/05/2022,9.67,10.1,9.46,10.0,4106354.74
22/05/2022,10.0,10.34,9.87,10.16,4485374.89
23/05/2022,10.16,10.8,9.8,9.88,9534059.79
24/05/2022,9.88,10.27,9.56,10.19,6933332.57
25/05/2022,10.19,10.34,9.77,9.87,6770708.75
26/05/2022,9.87,10.0,8.82,9.14,13610458.18
27/05/2022,9.14,10.0,8.56,9.12,15631681.11
28/05/2022,9.12,9.8,8.95,9.65,5955686.38
29/05/2022,9.66,10.04,9.33,9.98,5865314.46
30/05/2022,9.99,10.79,9.91,10.47,8473368.99
31/05/2022,10.47,10.65,9.94,10.35,8792549.01
01/06/2022,10.36,10.75,9.26,9.46,10157569.75
02/06/2022,9.45,10.13,9.29,9.89,5917176.47
03/06/2022,9.88,9.93,9.2,9.37,5185222.06
