Date,Open,High,Low,Close,Volume
10/04/2022,10.05,10.32,9.83,9.88,928829.63
11/04/2022,9.89,9.89,8.9,8.99,1608656.52
12/04/2022,8.99,9.49,8.94,9.32,1052819.76
13/04/2022,9.32,9.74,9.26,9.65,1235317.71
14/04/2022,9.66,9.75,9.32,9.48,927401.63
15/04/2022,9.48,9.98,9.45,9.77,1105710.14
16/04/2022,9.77,9.83,9.49,9.67,604301.21
17/04/2022,9.67,9.72,9.19,9.24,679734.11
18/04/2022,9.24,9.41,8.85,9.38,1295324.11
19/04/2022,9.39,9.62,9.21,9.55,876687.55
20/04/2022,9.55,9.7,9.1,9.32,1389404.39
21/04/2022,9.33,9.72,8.61,8.85,1951981.2
22/04/2022,8.86,9.14,8.74,8.91,1475388.63
23/04/2022,8.91,9.22,8.83,8.9,995331.67
24/04/2022,8.91,9.16,8.68,8.71,1087081.66
25/04/2022,8.71,8.78,8.16,8.73,1836789.57
26/04/2022,8.74,8.82,7.91,8.01,1315422.73
27/04/2022,8.01,8.41,7.98,8.23,1036909.08
28/04/2022,8.23,8.36,8.02,8.16,1363059.67
29/04/2022,8.17,8.23,7.51,7.61,1635435.76
30/04/2022,7.62,7.79,6.35,6.75,2622825.358
01/05/2022,6.76,7.24,6.53,7.12,2287673.78
02/05/2022,7.12,7.2,6.64,6.94,1762024.29
03/05/2022,6.94,7.13,6.69,6.85,1239669.15
04/05/2022,6.86,7.97,6.83,7.93,2536415.52
05/05/2022,7.93,8.11,6.96,7.34,2925514.8
06/05/2022,7.35,7.7,6.85,7.59,2686760.07
07/05/2022,7.59,7.65,6.97,7.18,2468567.96
08/05/2022,7.18,7.34,6.85,7.09,2402992.12
09/05/2022,7.1,7.22,5.9,5.95,5910358.919
10/05/2022,5.95,6.66,5.75,6.07,5405883.36
11/05/2022,6.08,6.22,4.65,4.91,9587421.08
12/05/2022,4.92,5.2,3.73,4.67,8726581.3
13/05/2022,4.67,5.47,4.6,5.13,4218652.85
14/05/2022,5.14,5.38,4.72,5.17,3157543.73
15/05/2022,5.18,5.47,4.98,5.46,2656164.5
16/05/2022,5.46,5.46,4.89,5.06,2815061.2
17/05/2022,5.06,5.51,5.04,5.47,3218048.3
18/05/2022,5.47,5.55,4.87,4.89,2512634.31
19/05/2022,4.9,5.35,4.73,5.19,3074014.69
20/05/2022,5.2,5.52,4.92,5.1,3301934.51
21/05/2022,5.1,5.38,4.98,5.24,1909543.26
22/05/2022,5.24,5.54,5.12,5.48,2259806.45
23/05/2022,5.49,6.08,5.36,5.62,4457774.11
24/05/2022,5.63,5.83,5.28,5.6,3734107.58
25/05/2022,5.6,5.8,5.38,5.62,3072355.39
26/05/2022,5.63,5.77,4.77,4.95,4505027.86
27/05/2022,4.95,5.09,4.59,4.69,5120258.03
28/05/2022,4.7,5.03,4.61,4.98,2470893.6
29/05/2022,4.99,5.03,4.77,4.95,2160832.05
30/05/2022,4.95,5.7,4.89,5.66,3675000.23
