Fecha,Precio,Capitalizacion_de_Mercado,Volumen_24h,Volatilidad_a_30_dias
17-10-18,0.027,696021404.308,2351678.122,0
17-10-19,0.027,695622018.256,2815155.970,0
17-10-20,0.030,785580027.642,8883473.082,0
17-10-21,0.029,741202123.880,5308856.917,0
17-10-22,0.028,720669848.472,2901876.122,0
17-10-23,0.026,675273816.053,3505126.543,0
17-10-24,0.027,710852942.362,7822397.544,0
17-10-25,0.027,707013105.460,2513886.638,0
17-10-26,0.027,689437113.714,2369400.241,0
17-10-27,0.027,687316826.404,2569633.779,0
17-10-28,0.026,673492286.122,1729975.273,0
17-10-29,0.028,735085222.784,4636164.256,0
17-10-30,0.028,735950462.439,3794753.020,0
17-10-31,0.030,784322281.603,7251416.950,0
17-11-01,0.023,598812560.981,7901021.254,0
17-11-02,0.021,552780115.687,5955251.346,0
17-11-03,0.023,590863052.917,3029089.736,0
17-11-04,0.022,565264037.988,2455852.838,0
17-11-05,0.022,571077843.813,2245833.516,0
17-11-06,0.022,578266095.092,4843621.341,0
17-11-07,0.022,577877214.211,2527154.866,0
17-11-08,0.025,651971147.331,6534368.134,0
17-11-09,0.033,849617009.771,20628139.787,0
17-11-10,0.027,707628644.404,6563683.784,0
17-11-11,0.027,712956034.570,5632137.891,0
17-11-12,0.025,635774572.752,7550744.664,0
17-11-13,0.025,651139900.507,4284485.972,0
17-11-14,0.026,680023121.192,3183479.973,0
17-11-15,0.026,674481157.868,6362414.672,0
17-11-16,0.027,702786226.653,4825255.353,0.520
17-11-17,0.026,671945487.479,3514321.278,0.523
17-11-18,0.027,687786073.939,2984199.949,0.507
17-11-19,0.028,718729791.326,4652800.377,0.505
17-11-20,0.030,777883050.122,15546079.395,0.510
17-11-21,0.029,741467951.325,5910630.576,0.508
17-11-22,0.029,744924903.207,4912298.824,0.506
17-11-23,0.028,724419632.812,5222693.560,0.507
17-11-24,0.029,739231013.335,5653201.556,0.506
17-11-25,0.031,793751757.584,6199363.765,0.510
17-11-26,0.039,999433438.691,30963775.996,0.567
17-11-27,0.050,1308514307.566,81568060.725,0.634
