Fecha,Precio,Capitalizacion_de_Mercado,Volumen_24h,Volatilidad_a_30_dias
13-08-28,0.006,49634297.000,0.000,0
13-08-29,0.006,45500275.000,0.000,0
13-08-30,0.006,47259300.000,0.000,0
13-08-31,0.006,45838868.000,0.000,0
13-09-01,0.006,45348764.000,0.000,0
13-09-02,0.006,43992204.000,0.000,0
13-09-03,0.006,44351827.000,0.000,0
13-09-04,0.006,43600371.000,0.000,0
13-09-05,0.006,45645766.000,0.000,0
13-09-06,0.006,46212328.000,0.000,0
13-09-07,0.006,48377102.000,0.000,0
13-09-08,0.006,48020450.000,0.000,0
13-09-09,0.006,48383435.000,0.000,0
13-09-10,0.006,45765614.000,0.000,0
13-09-11,0.006,47544184.000,0.000,0
13-09-12,0.006,50239558.000,0.000,0
13-09-13,0.007,51511294.000,0.000,0
13-09-14,0.006,49575975.000,0.000,0
13-09-15,0.006,50264341.000,0.000,0
13-09-16,0.007,55062805.000,0.000,0
13-09-17,0.010,75130077.000,0.000,0
13-09-18,0.011,84795960.000,0.000,0
13-09-19,0.011,86948225.000,0.000,0
13-09-20,0.010,79067792.000,0.000,0
13-09-21,0.010,76186743.000,0.000,0
13-09-22,0.010,81312308.000,0.000,0
13-09-23,0.010,78329783.000,0.000,0
13-09-24,0.010,81564044.000,0.000,0
13-09-25,0.011,82790671.000,0.000,0
13-09-26,0.012,91281681.000,0.000,0.449
13-09-28,0.014,112162483.000,0.000,0.479
13-09-29,0.014,110548871.000,0.000,0.482
13-09-30,0.011,86316539.000,0.000,0.541
13-10-01,0.012,93320587.000,0.000,0.542
13-10-02,0.009,72752735.000,0.000,0.595
13-10-03,0.008,65677467.000,0.000,0.607
13-10-04,0.009,74011103.000,0.000,0.615
13-10-05,0.009,72546108.000,0.000,0.616
13-10-06,0.010,81112952.000,0.000,0.623
13-10-07,0.009,72946619.000,0.000,0.635
13-10-08,0.010,75980351.000,0.000,0.635
13-10-09,0.009,73814014.000,0.000,0.637
13-10-10,0.010,78874690.000,0.000,0.634
13-10-11,0.009,70884650.000,0.000,0.646
13-10-12,0.009,69705556.000,0.000,0.646
13-10-13,0.009,69521601.000,0.000,0.646
13-10-14,0.009,66755710.000,0.000,0.646
13-10-15,0.008,62441408.000,0.000,0.652
13-10-16,0.008,59296583.000,0.000,0.649
13-10-17,0.008,60702162.000,0.000,0.536
13-10-18,0.008,60722254.000,0.000,0.518
13-10-19,0.007,57015167.000,0.000,0.520
13-10-20,0.008,58871212.000,0.000,0.515
13-10-21,0.007,52705946.000,0.000,0.523
13-10-22,0.007,53040786.000,0.000,0.518
13-10-23,0.007,58085358.000,0.000,0.527
13-10-24,0.009,68235793.000,0.000,0.556
13-10-25,0.007,54255686.000,0.000,0.591
13-10-26,0.006,49308291.000,0.000,0.586
13-10-27,0.007,51948627.000,0.000,0.534
13-10-28,0.006,49468479.000,0.000,0.535
13-10-29,0.006,46396518.000,0.000,0.496
13-10-30,0.006,47359916.000,0.000,0.488
13-10-31,0.006,46886543.000,0.000,0.441
13-11-01,0.006,48338638.000,0.000,0.434
13-11-02,0.007,51059576.000,0.000,0.416
13-11-03,0.007,55918082.000,0.000,0.429
13-11-04,0.007,56213598.000,0.000,0.410
13-11-05,0.007,54675976.000,0.000,0.400
13-11-06,0.008,60664089.000,0.000,0.414
13-11-07,0.009,69521914.000,0.000,0.439
13-11-08,0.011,82554571.000,0.000,0.473
13-11-09,0.009,68903675.000,0.000,0.492
13-11-11,0.008,65473107.000,0.000,0.494
13-11-12,0.009,69784361.000,0.000,0.498
13-11-13,0.011,82165240.000,0.000,0.525
13-11-14,0.010,77199942.000,0.000,0.524
13-11-15,0.010,75282370.000,0.000,0.522
13-11-16,0.010,78037707.000,0.000,0.522
13-11-17,0.010,80733784.000,0.000,0.523
13-11-18,0.011,85713780.000,0.000,0.519
13-11-19,0.008,64843923.000,0.000,0.581
13-11-20,0.007,56960051.000,0.000,0.584
13-11-22,0.009,68437807.000,0.000,0.615
13-11-23,0.010,77850468.000,0.000,0.622
13-11-25,0.013,105374209.000,0.000,0.691
13-11-26,0.023,180402498.000,0.000,0.941
13-11-27,0.023,183624250.000,0.000,0.930
13-11-29,0.030,232688545.000,0.000,0.953
13-11-30,0.036,279696734.000,0.000,0.955
13-12-01,0.053,412246710.000,0.000,1.023
13-12-02,0.058,449652186.000,0.000,1.021
13-12-03,0.049,384615942.000,0.000,1.044
13-12-04,0.054,425268969.000,0.000,1.042
13-12-05,0.054,423388767.000,0.000,1.046
13-12-06,0.047,366820862.000,0.000,1.070
13-12-07,0.035,271090019.000,0.000,1.121
13-12-08,0.034,269240307.000,0.000,1.120
13-12-09,0.039,302299035.000,0.000,1.120
13-12-10,0.044,342013915.000,0.000,1.119
13-12-11,0.038,297559049.000,0.000,1.131
13-12-12,0.035,270233179.000,0.000,1.118
13-12-13,0.034,268560150.000,0.000,1.114
13-12-14,0.032,251808758.000,0.000,1.122
13-12-15,0.029,227192568.000,0.000,1.127
13-12-16,0.023,183055108.000,0.000,1.148
13-12-17,0.018,143581800.000,0.000,1.177
13-12-18,0.017,131700953.000,0.000,1.183
13-12-19,0.021,162481549.000,0.000,1.199
13-12-20,0.021,167514706.000,0.000,1.199
13-12-21,0.022,168495070.000,0.000,1.163
13-12-22,0.022,172092081.000,0.000,1.149
13-12-23,0.023,181073273.000,0.000,1.139
13-12-24,0.023,176169892.000,0.000,1.139
13-12-25,0.022,171703532.000,0.000,1.095
13-12-26,0.024,190267893.000,0.000,0.846
13-12-27,0.026,206730023.000,133863.000,0.850
13-12-28,0.027,213705145.000,139954.000,0.809
13-12-29,0.027,213132093.000,51404.000,0.784
13-12-30,0.028,216307720.000,69671.000,0.612
13-12-31,0.027,214508042.000,63399.000,0.602
14-01-01,0.027,211420757.000,55836.000,0.588
14-01-02,0.029,226695350.000,118745.000,0.582
14-01-03,0.028,216510985.000,89287.000,0.583
14-01-04,0.028,219582634.000,60288.000,0.571
14-01-05,0.025,194819468.000,195215.000,0.521
14-01-06,0.026,199436714.000,180323.000,0.522
14-01-07,0.024,185860167.000,75928.000,0.508
14-01-08,0.023,181102981.000,79840.000,0.485
14-01-09,0.023,176759361.000,98533.000,0.471
14-01-10,0.023,176386448.000,62956.000,0.465
14-01-11,0.024,187173572.000,69314.000,0.470
14-01-12,0.022,173546208.000,42787.000,0.472
14-01-13,0.022,169301094.000,15322.000,0.463
14-01-14,0.021,165848714.000,41972.000,0.421
14-01-15,0.022,173986356.000,25227.000,0.359
14-01-16,0.021,164694012.000,57725.000,0.353
14-01-17,0.020,159779686.000,72247.000,0.267
14-01-18,0.021,165467201.000,23502.000,0.268
14-01-19,0.021,166862694.000,17951.000,0.268
14-01-20,0.021,162344736.000,69046.000,0.269
14-01-21,0.020,155769109.000,65473.000,0.266
14-01-22,0.020,156143586.000,80476.000,0.265
14-01-23,0.019,149447563.000,81644.000,0.267
14-01-24,0.018,142953242.000,111662.000,0.243
14-01-25,0.019,145042182.000,108301.000,0.224
14-01-26,0.019,149936181.000,84073.000,0.224
14-01-27,0.020,159585021.000,66064.000,0.236
14-01-28,0.021,163813717.000,132292.000,0.238
14-01-29,0.020,159683526.000,82655.000,0.238
14-01-30,0.020,159019006.000,29239.000,0.238
14-01-31,0.020,158993206.000,82570.000,0.223
14-02-01,0.021,161307302.000,110279.000,0.222
14-02-02,0.021,163225030.000,121498.000,0.222
14-02-03,0.021,167803968.000,92102.000,0.197
14-02-04,0.021,168001761.000,82358.000,0.195
14-02-05,0.021,162739539.000,51553.000,0.186
14-02-06,0.020,156568879.000,91009.000,0.188
14-02-07,0.018,143439515.000,94078.000,0.203
14-02-08,0.018,144233812.000,137345.000,0.203
14-02-09,0.017,135455886.000,46602.000,0.198
14-02-10,0.018,138684674.000,78993.000,0.190
14-02-11,0.018,142648344.000,135739.000,0.192
14-02-12,0.017,134838272.000,84918.000,0.198
14-02-13,0.017,131333512.000,64686.000,0.190
14-02-14,0.016,123261541.000,104394.000,0.193
14-02-15,0.016,124406862.000,158770.000,0.192
14-02-16,0.016,126562254.000,81918.000,0.189
14-02-17,0.015,119371359.000,84985.000,0.194
14-02-18,0.015,119799780.000,115312.000,0.194
14-02-19,0.015,118967174.000,191498.000,0.191
14-02-20,0.015,120057770.000,223546.000,0.192
14-02-21,0.015,113991087.000,188522.000,0.193
14-02-22,0.015,115185661.000,93763.000,0.191
14-02-23,0.016,122188927.000,88774.000,0.201
14-02-24,0.015,116986121.000,63366.000,0.200
14-02-25,0.011,88675197.000,122708.000,0.297
14-02-26,0.014,107357608.000,175388.000,0.373
14-02-27,0.014,108227739.000,151039.000,0.373
14-02-28,0.014,110457401.000,29209.000,0.375
14-03-01,0.014,107889224.000,164650.000,0.375
14-03-02,0.014,106974531.000,79966.000,0.374
14-03-03,0.014,108787500.000,85549.000,0.374
14-03-04,0.016,122404700.000,231513.000,0.397
14-03-05,0.016,123633673.000,84658.000,0.397
14-03-06,0.016,125198032.000,137670.000,0.397
14-03-07,0.015,119283017.000,165546.000,0.398
14-03-08,0.015,115141099.000,108130.000,0.391
14-03-09,0.015,113559540.000,12954.000,0.391
14-03-10,0.014,113274969.000,17615.000,0.386
14-03-11,0.015,115277130.000,107847.000,0.386
14-03-12,0.014,112339949.000,239703.000,0.385
14-03-13,0.014,112275061.000,48143.000,0.382
14-03-14,0.014,111482327.000,120309.000,0.381
