Fecha,Precio,Capitalizacion_de_Mercado,Volumen_24h,Volatilidad_a_30_dias
2020-08-20,22.308,3302382351.278,240981711.802,0.0
2020-08-21,23.073,3414255884.600,253331918.212,0.0
2020-08-22,22.095,3260640031.860,262582143.534,0.0
2020-08-23,22.176,3277780668.586,207704017.557,0.0
2020-08-24,21.838,3233813725.379,191951846.560,0.0
2020-08-25,22.571,3336417081.555,198567502.875,0.0
2020-08-26,21.452,3176756104.727,246965279.255,0.0
2020-08-27,22.226,3295697167.218,265829129.098,0.0
2020-08-28,23.072,3411961399.989,298087776.590,0.0
2020-08-29,23.065,3413764685.102,275873858.951,0.0
2020-08-30,22.992,3408734637.119,224020180.566,0.0
2020-08-31,23.623,3486695535.750,242465281.073,0.0
2020-09-01,23.163,3429200221.900,226364373.296,0.0
2020-09-02,24.667,3678647220.136,464622720.864,0.0
2020-09-03,24.646,3644800878.597,598973209.744,0.0
2020-09-04,20.517,3057090063.011,610440504.736,0.0
2020-09-05,20.967,3101433925.402,513886862.984,0.0
2020-09-06,19.407,2870047729.538,418830419.468,0.0
2020-09-07,23.236,3441897088.208,755431632.908,0.0
2020-09-08,22.315,3289616682.453,565967822.669,0.0
2020-09-09,23.009,3391729400.820,569283063.035,0.0
2020-09-10,24.486,3606231301.624,467657915.786,0.0
2020-09-11,24.414,3603704433.992,480864281.379,0.0
2020-09-12,25.389,3752802265.119,443497208.274,0.0
2020-09-13,28.453,4189027940.767,722048008.602,0.0
2020-09-14,31.117,4578726414.546,1204406182.071,0.0
2020-09-15,31.213,4512125844.064,1073196306.902,0.0
2020-09-16,27.176,4009700860.494,935693765.160,0.0
2020-09-17,27.855,4122357757.564,711704644.221,0.0
2020-09-18,26.792,3959528315.056,425105137.024,0.375
2020-09-19,27.095,3976466685.155,406378803.909,0.374
2020-09-20,27.203,4024066272.657,350612365.607,0.371
2020-09-21,26.429,3891106120.858,370273177.603,0.373
2020-09-22,23.533,3493931691.130,423273273.271,0.390
2020-09-23,24.027,3535552468.393,378103488.006,0.390
2020-09-24,22.810,3373414662.270,347342769.967,0.390
2020-09-25,24.518,3626151929.258,373755511.943,0.395
2020-09-26,24.626,3635723607.875,353550737.405,0.394
2020-09-27,26.179,3874918801.864,360614333.507,0.398
2020-09-28,26.194,3864067179.654,346164386.639,0.398
2020-09-29,26.849,3964694603.568,409745128.155,0.398
2020-09-30,28.784,4253400066.790,470569222.743,0.402
2020-10-01,29.241,4325855176.035,443200921.297,0.398
2020-10-02,27.459,4036519254.144,443482779.605,0.404
2020-10-03,27.248,4021625433.982,476985560.963,0.362
2020-10-04,28.220,4184514172.409,388752523.406,0.363
2020-10-05,28.974,4283270102.312,396194635.612,0.351
2020-10-06,28.603,4235422294.425,340780200.769,0.298
2020-10-07,27.673,4081175972.411,395033652.704,0.297
2020-10-08,27.674,4093867354.474,316761178.073,0.296
2020-10-09,27.692,4090366937.163,344379052.546,0.290
2020-10-10,28.390,4198511785.696,338942258.572,0.291
2020-10-11,28.262,4178281516.429,327974396.036,0.289
2020-10-12,28.506,4216513538.638,306144831.548,0.263
2020-10-13,30.676,4529414810.437,501643095.281,0.257
2020-10-14,30.686,4536387303.785,406898662.767,0.257
2020-10-15,30.876,4566346921.866,340246039.762,0.219
2020-10-16,31.223,4615821052.678,377660568.150,0.218
2020-10-17,29.980,4436816337.993,407813529.038,0.219
2020-10-18,30.235,4471124012.698,281729618.254,0.219
2020-10-19,30.644,4528416810.274,305775892.064,0.219
2020-10-20,29.909,4422322858.350,292131231.633,0.218
2020-10-21,28.774,4241175299.495,366817435.259,0.189
2020-10-22,29.641,4374680295.690,378415820.349,0.190
2020-10-23,30.569,4520768370.052,363601027.966,0.181
2020-10-24,30.599,4521344664.328,310854925.172,0.169
2020-10-25,30.555,4517960819.151,230330957.951,0.169
2020-10-26,30.068,4446242745.625,213890436.168,0.161
2020-10-27,31.111,4603816454.738,347858958.916,0.163
2020-10-28,31.580,4683647247.106,418613518.226,0.162
2020-10-29,30.383,4484041908.979,344046319.375,0.153
2020-10-30,29.822,4420211966.049,274519364.774,0.154
2020-10-31,28.497,4216701943.862,374739907.450,0.148
2020-11-01,28.386,4195740161.801,256734113.187,0.147
2020-11-02,28.383,4189298124.874,237009570.978,0.143
2020-11-03,27.902,4129579048.055,280531334.259,0.142
2020-11-04,26.860,3964658696.983,315141928.442,0.146
2020-11-05,26.850,3967025116.099,268356799.917,0.142
2020-11-06,27.660,4094007654.912,319732745.841,0.146
