Fecha,Precio,Capitalizacion_de_Mercado,Volumen_24h,Volatilidad_a_30_dias
2020-08-20,11733.279,216660276172.505,23384200655.889,0.0
2020-08-21,11861.837,219044968220.888,20353349054.591,0.0
2020-08-22,11515.124,212896669545.750,23406354443.011,0.0
2020-08-23,11676.385,215641597239.981,19572783953.579,0.0
2020-08-24,11647.928,215347356765.461,18467219109.184,0.0
2020-08-25,11758.828,217410678530.358,20061559392.103,0.0
2020-08-26,11350.753,209658632328.370,23423332918.937,0.0
2020-08-27,11465.003,211778947737.224,20869928785.801,0.0
2020-08-28,11300.398,208747591910.155,21595917446.044,0.0
2020-08-29,11519.118,212799723684.947,19271253870.830,0.0
2020-08-30,11481.482,212114842611.543,18415439613.539,0.0
2020-08-31,11701.004,216179629567.180,19909556666.601,0.0
2020-09-01,11672.324,215921598551.330,21077276617.866,0.0
2020-09-02,11895.225,221315690777.345,25232603061.535,0.0
2020-09-03,11418.255,210746091569.714,26038738388.799,0.0
2020-09-04,10197.460,188438095255.460,49411126240.519,0.0
2020-09-05,10484.470,194040447575.931,27623487077.069,0.0
2020-09-06,10177.790,188092098308.353,56430042198.692,0.0
2020-09-07,10260.018,189621410257.035,28801019507.333,0.0
2020-09-08,10359.445,191501904758.687,26560146962.233,0.0
2020-09-09,10125.015,186825391248.726,47780699209.092,0.0
2020-09-10,10230.155,188757938083.843,21357083446.313,0.0
2020-09-11,10342.159,191180566587.059,77545788530.614,0.0
2020-09-12,10378.223,192111562749.934,20796810115.948,0.0
2020-09-13,10439.385,192997988416.481,19955498078.251,0.0
2020-09-14,10328.866,190922719938.231,21057424433.480,0.0
2020-09-15,10661.096,197010021430.240,23526143436.490,0.0
2020-09-16,10787.580,199044338127.626,23802088944.397,0.0
2020-09-17,10952.250,202524001250.493,24459086808.777,0.0
2020-09-18,10937.996,202358479464.185,23547167125.342,0.147
2020-09-19,10927.150,202091264904.969,20681771888.399,0.147
2020-09-20,11083.998,204994315602.987,18334274060.300,0.145
2020-09-21,10923.327,202032519471.269,20161733906.963,0.145
2020-09-22,10439.522,193677795064.085,23757059692.357,0.151
2020-09-23,10527.588,194731087415.290,19866578108.978,0.151
2020-09-24,10223.784,189120580778.463,19981974722.351,0.149
2020-09-25,10726.530,198514026300.179,21348447554.092,0.158
2020-09-26,10681.994,197616950282.067,19119761059.476,0.157
2020-09-27,10743.193,198687083452.043,16886146730.050,0.156
2020-09-28,10765.301,199236216251.436,17639951627.949,0.156
2020-09-29,10672.029,197720212770.895,19869963340.485,0.155
2020-09-30,10837.517,200532996047.586,18308943800.639,0.156
2020-10-01,10770.881,199310441688.836,18558607662.685,0.154
2020-10-02,10627.976,196617081790.519,20889752499.959,0.150
2020-10-03,10572.675,195660035179.733,21258724984.476,0.104
2020-10-04,10546.656,195188285650.346,16039831144.937,0.100
2020-10-05,10670.701,197494664453.793,16029160487.559,0.096
2020-10-06,10784.949,199530129891.088,17853484006.269,0.096
2020-10-07,10605.958,196314284797.013,19419734685.096,0.097
2020-10-08,10668.011,197575523784.584,17222472599.606,0.094
2020-10-09,10888.667,201518932273.679,19767968267.463,0.096
2020-10-10,11063.252,204809205392.180,19254933802.106,0.096
2020-10-11,11286.542,209268690952.585,19496631246.271,0.098
2020-10-12,11377.815,210799352797.138,16270141989.733,0.098
2020-10-13,11543.184,213726225963.205,20957733313.865,0.098
2020-10-14,11426.106,211576163357.665,19556025069.397,0.094
2020-10-15,11435.572,211756280001.141,20441486195.024,0.094
2020-10-16,11495.585,212878404236.874,20511481706.664,0.093
2020-10-17,11319.098,209993205751.023,20436703034.239,0.094
2020-10-18,11365.814,210421523306.691,15650920221.100,0.094
2020-10-19,11495.900,212752326976.492,15569792414.423,0.094
