Fecha,Precio,MarketCap,Volumen24h,Volatilidad30Dias
2020-08-20,0.129,4031820062.150,490727213.114,0.0
2020-08-21,0.134,4121466418.821,410697982.499,0.0
2020-08-22,0.123,3804306212.973,472861750.939,0.0
2020-08-23,0.125,3895011240.501,436863558.431,0.0
2020-08-24,0.122,3785715669.018,393530785.777,0.0
2020-08-25,0.124,3855071339.437,406394741.184,0.0
2020-08-26,0.113,3504233317.879,498886621.440,0.0
2020-08-27,0.114,3561449684.143,448522382.034,0.0
2020-08-28,0.107,3318730028.135,445998081.721,0.0
2020-08-29,0.109,3399180375.133,372495384.206,0.0
2020-08-30,0.117,3627847118.266,361328837.396,0.0
2020-08-31,0.117,3644289688.977,380535420.595,0.0
2020-09-01,0.122,3800068624.575,462276340.226,0.0
2020-09-02,0.124,3897283726.850,492424473.287,0.0
2020-09-03,0.115,3592445420.136,403602179.371,0.0
2020-09-04,0.095,2964196395.470,447179060.007,0.0
2020-09-05,0.103,3212415575.196,432365099.040,0.0
2020-09-06,0.090,2813755887.748,316776337.675,0.0
2020-09-07,0.093,2892505366.738,333667094.665,0.0
2020-09-08,0.093,2899784537.511,322785626.066,0.0
2020-09-09,0.091,2834060081.179,513444901.658,0.0
2020-09-10,0.093,2900610470.197,522884301.892,0.0
2020-09-11,0.097,3017276701.546,673573014.185,0.0
2020-09-12,0.097,3021670767.466,658363819.706,0.0
2020-09-13,0.098,3035646274.927,616070407.823,0.0
2020-09-14,0.095,2958040571.654,640311191.925,0.0
2020-09-15,0.097,3009809612.977,734506817.171,0.0
2020-09-16,0.093,2907122714.220,678077442.777,0.0
2020-09-17,0.091,2842675715.258,681410813.868,0.0
2020-09-18,0.094,2926254190.288,655152123.786,0.312
2020-09-19,0.091,2816775563.135,585526141.405,0.309
2020-09-20,0.092,2849152837.374,551088156.834,0.300
2020-09-21,0.089,2788163196.050,560728729.511,0.298
2020-09-22,0.080,2513123717.741,504270732.834,0.311
2020-09-23,0.081,2528466247.774,359254513.480,0.311
2020-09-24,0.077,2387518228.776,339256966.555,0.304
2020-09-25,0.083,2577652813.893,404377685.795,0.316
2020-09-26,0.097,2988519166.609,591858440.464,0.359
2020-09-27,0.096,2980675759.244,444216426.152,0.358
2020-09-28,0.101,3144513591.459,483494711.897,0.356
2020-09-29,0.100,3120734575.135,518815539.503,0.356
2020-09-30,0.101,3152600659.393,483215932.462,0.353
2020-10-01,0.101,3144236576.385,419980897.912,0.353
2020-10-02,0.098,3040403789.158,461060573.779,0.347
2020-10-03,0.093,2885309499.171,500670142.146,0.302
2020-10-04,0.093,2907434494.326,367633066.876,0.289
2020-10-05,0.097,3028016017.705,377484663.207,0.264
2020-10-06,0.097,3029338348.926,392793305.820,0.262
2020-10-07,0.093,2881941763.166,413991398.260,0.267
2020-10-08,0.094,2911910358.548,366881297.851,0.266
2020-10-09,0.096,2980626238.306,439008699.112,0.267
2020-10-10,0.102,3171112779.309,501320948.736,0.270
2020-10-11,0.105,3266374618.986,591635072.981,0.271
2020-10-12,0.106,3309735191.892,497461943.029,0.271
2020-10-13,0.110,3415553093.565,564323082.763,0.271
2020-10-14,0.109,3395519136.055,577952326.461,0.271
2020-10-15,0.108,3345133523.041,505567704.735,0.268
2020-10-16,0.106,3314465964.197,387251336.263,0.267
2020-10-17,0.104,3242001672.536,391236816.545,0.268
2020-10-18,0.106,3299812046.191,345640059.134,0.265
2020-10-19,0.107,3341653969.435,330911336.042,0.265
2020-10-20,0.109,3394722568.405,321415067.347,0.263
2020-10-21,0.102,3169112634.179,343169733.259,0.249
2020-10-22,0.106,3272372921.754,367380015.642,0.250
2020-10-23,0.110,3436167992.531,462511505.598,0.242
2020-10-24,0.108,3357855075.647,519972088.279,0.235
2020-10-25,0.108,3365354295.574,421211790.687,0.165
2020-10-26,0.106,3307344837.317,356841711.585,0.165
2020-10-27,0.103,3213691939.611,424406451.709,0.158
