Fecha,Precio,Capitalizacion_de_Mercado,Volumen_24h,Volatilidad_a_30_dias
2020-08-20,0.025,93387821.045,32365643.622,0.0
2020-08-21,0.027,100555689.907,22158468.474,0.0
2020-08-22,0.025,94178529.299,31427836.439,0.0
2020-08-23,0.026,98421781.903,19624219.562,0.0
2020-08-24,0.025,95409236.895,10661072.213,0.0
2020-08-25,0.028,105559169.424,26518018.735,0.0
2020-08-26,0.026,97917129.587,21324995.387,0.0
2020-08-27,0.027,101354260.402,21554527.747,0.0
2020-08-28,0.026,96856471.161,18313345.731,0.0
2020-08-29,0.027,101246672.332,11552718.775,0.0
2020-08-30,0.028,104805853.890,18503185.492,0.0
2020-08-31,0.027,102737882.245,15997642.862,0.0
2020-09-01,0.027,100757219.513,14518132.973,0.0
2020-09-02,0.026,97730121.739,18268026.047,0.0
2020-09-03,0.024,89068305.513,23511217.297,0.0
2020-09-04,0.019,72282633.732,19712084.832,0.0
2020-09-05,0.019,73039273.531,20356501.589,0.0
2020-09-06,0.018,68226544.136,15872237.851,0.0
2020-09-07,0.019,71334309.873,10895932.214,0.0
2020-09-08,0.019,71393754.354,10491919.799,0.0
2020-09-09,0.018,69054173.539,8344260.574,0.0
2020-09-10,0.020,75947690.533,16887212.323,0.0
2020-09-11,0.020,77815809.664,12567263.694,0.0
2020-09-12,0.021,80816181.208,11236729.831,0.0
2020-09-13,0.021,79601629.409,9215642.777,0.0
2020-09-14,0.020,75278889.954,12776941.723,0.0
2020-09-15,0.020,76452153.562,9769581.178,0.0
2020-09-16,0.020,77608855.055,16804788.227,0.0
2020-09-17,0.020,75665228.172,11826080.934,0.0
2020-09-18,0.020,77605972.746,13948706.853,0.324
2020-09-19,0.021,80137724.966,18043812.963,0.317
2020-09-20,0.021,79389841.157,9509977.456,0.311
2020-09-21,0.022,84198926.728,16289429.309,0.312
2020-09-22,0.019,72166277.922,30331722.133,0.337
2020-09-23,0.020,74228663.070,8462496.378,0.321
2020-09-24,0.018,67399219.141,9968564.614,0.326
2020-09-25,0.019,72181734.843,10175194.654,0.332
2020-09-26,0.019,72618138.938,8582585.622,0.331
2020-09-27,0.019,71945074.904,6891469.901,0.327
2020-09-28,0.019,71413263.384,8521691.991,0.324
2020-09-29,0.019,71656617.259,16963440.179,0.324
2020-09-30,0.020,74807821.079,10872262.078,0.328
2020-10-01,0.020,76978925.682,9684105.777,0.328
2020-10-02,0.019,72254557.325,14736445.461,0.323
2020-10-03,0.018,69587909.226,9450359.841,0.270
2020-10-04,0.018,70708954.364,5371810.390,0.270
2020-10-05,0.019,70823617.107,5536939.733,0.260
2020-10-06,0.019,71883397.648,5653050.861,0.256
2020-10-07,0.017,65479097.010,8999098.818,0.271
2020-10-08,0.017,64626729.434,8588623.318,0.270
2020-10-09,0.017,63426985.254,12129400.797,0.247
2020-10-10,0.017,65269431.830,9914888.845,0.248
2020-10-11,0.017,65705736.709,8508100.198,0.244
2020-10-12,0.018,67930272.482,6216598.719,0.247
2020-10-13,0.018,68710236.803,9021148.978,0.242
2020-10-14,0.018,67718580.527,6440785.521,0.241
2020-10-15,0.017,65950052.591,5324181.759,0.241
2020-10-16,0.017,65864041.182,6026819.922,0.240
2020-10-17,0.016,62336549.732,6622879.184,0.244
2020-10-18,0.017,64142007.363,4935940.308,0.244
2020-10-19,0.017,64540865.435,4683431.844,0.244
2020-10-20,0.016,62063891.155,6330955.823,0.239
2020-10-21,0.016,59598806.918,23456470.862,0.204
2020-10-22,0.016,62447481.664,14396472.500,0.207
2020-10-23,0.017,66551346.296,12871073.282,0.196
2020-10-24,0.017,65183189.950,7177012.955,0.183
2020-10-25,0.018,67571590.348,6260818.107,0.187
2020-10-26,0.017,65905778.931,7179104.086,0.188
2020-10-27,0.017,63572991.739,8920967.160,0.192
2020-10-28,0.016,60783264.838,11956419.204,0.195
2020-10-29,0.015,64593361.285,8876005.159,0.193
2020-10-30,0.014,59287777.192,8799049.805,0.204
2020-10-31,0.014,59512065.181,10505146.991,0.199
2020-11-01,0.014,58765032.264,5718753.053,0.197
2020-11-02,0.014,60363334.226,5427039.748,0.199
2020-11-03,0.014,58714275.120,5990905.253,0.200
2020-11-04,0.013,54179650.568,8357623.351,0.207
2020-11-05,0.012,57833067.999,8133341.555,0.194
