Fecha,Precio,Capitalizacion_de_Mercado,Volumen_24h,Volatilidad_a_30_dias
2020-08-20,2.937,0.000,82413981.297,0.0
2020-08-21,2.899,0.000,49511744.885,0.0
2020-08-22,2.872,0.000,51233752.827,0.0
2020-08-23,4.481,4028277492.388,473920951.291,0.0
2020-08-24,3.966,3630430965.687,335685225.448,0.0
2020-08-25,4.577,4162344881.702,395502571.899,0.0
2020-08-26,5.494,4910960800.054,729611892.217,0.0
2020-08-27,6.068,5508438431.636,853376793.312,0.0
2020-08-28,5.639,5147685413.841,995432623.197,0.0
2020-08-29,6.162,5563188700.133,584978197.130,0.0
2020-08-30,6.149,5580674883.763,407313299.860,0.0
2020-08-31,5.902,5350103716.769,366896197.490,0.0
2020-09-01,6.299,5712939724.609,430398059.719,0.0
2020-09-02,6.230,5693335995.935,472601408.554,0.0
2020-09-03,6.159,5597505846.233,485766767.073,0.0
2020-09-04,5.683,5294708814.665,630783985.045,0.0
2020-09-05,5.134,4675680671.656,676657581.646,0.0
2020-09-06,4.130,3750820473.971,595268790.854,0.0
2020-09-07,4.790,4394131227.738,511543436.754,0.0
2020-09-08,4.595,4190737575.784,365705934.983,0.0
2020-09-09,4.283,3891004373.793,234920666.903,0.0
2020-09-10,4.703,4298181268.776,274399152.628,0.0
2020-09-11,4.578,4177237545.060,254092704.726,0.0
2020-09-12,4.626,4216287873.460,212155209.238,0.0
2020-09-13,5.139,4663414090.094,317307477.320,0.0
2020-09-14,5.295,4819470920.960,413410119.805,0.0
2020-09-15,5.339,4874640596.626,368584203.175,0.0
2020-09-16,5.114,4673343463.456,301361216.949,0.0
2020-09-17,5.075,4634502327.794,272070780.624,0.0
2020-09-18,5.323,4871310608.622,299530704.444,0.728
2020-09-19,5.242,4771593286.019,218845784.129,0.728
2020-09-20,4.924,4511663057.979,180793689.670,0.733
2020-09-21,4.674,4287331139.395,277405320.536,0.485
2020-09-22,4.090,3770969365.207,376122862.047,0.487
2020-09-23,4.168,3807699809.773,207312314.251,0.463
2020-09-24,4.016,3701917991.063,208272484.132,0.415
2020-09-25,4.390,4024415210.880,212165515.133,0.412
2020-09-26,4.413,4036996777.529,176573807.956,0.407
2020-09-27,4.340,3981431937.936,124028159.473,0.394
2020-09-28,4.306,3966805487.869,123873259.311,0.394
2020-09-29,4.420,4015168631.872,192688341.989,0.394
2020-09-30,4.492,4123709369.605,200465046.665,0.387
2020-10-01,4.347,3998481295.790,131549097.167,0.388
2020-10-02,4.339,3982054342.146,185800897.380,0.388
2020-10-03,4.123,3786983100.945,205627933.566,0.384
2020-10-04,4.067,3739978579.440,104601491.589,0.373
2020-10-05,4.177,3849818336.102,89731299.093,0.318
2020-10-06,4.160,3833319535.240,132019868.425,0.273
2020-10-07,3.749,3440251736.556,210625817.432,0.287
2020-10-08,3.853,3541978347.855,216001362.393,0.282
2020-10-09,4.102,3769762007.083,214716289.575,0.271
2020-10-10,4.259,3921415690.923,182371173.031,0.273
2020-10-11,4.254,3919459351.743,163446062.411,0.273
2020-10-12,4.250,3916199449.365,124735788.709,0.247
2020-10-13,4.316,3977129133.276,188455914.277,0.245
2020-10-14,4.249,3915494879.776,155609893.330,0.244
2020-10-15,4.195,3867261708.427,168709011.562,0.242
2020-10-16,4.095,3777390476.472,143464781.478,0.242
2020-10-17,3.902,3609407515.034,161294195.660,0.239
2020-10-18,3.964,3658072954.953,69398889.689,0.240
2020-10-19,4.107,3790640346.140,84816935.221,0.238
2020-10-20,3.992,3671134189.284,95007120.322,0.234
2020-10-21,3.907,3604225667.852,148089643.502,0.200
2020-10-22,4.131,3812512446.048,174236165.961,0.207
2020-10-23,4.265,3939180404.081,146291489.189,0.206
2020-10-24,4.256,3933812312.373,164831205.438,0.183
2020-10-25,4.350,4020658006.777,120332452.891,0.185
2020-10-26,4.334,4012939180.809,108292827.395,0.184
2020-10-27,4.688,4329655077.176,274074972.020,0.201
2020-10-28,4.683,4340749573.937,265898434.617,0.199
2020-10-29,4.360,4034473421.210,202108505.007,0.211
2020-10-30,4.054,3764515251.519,200320469.386,0.220
2020-10-31,4.091,3791580626.378,159228530.148,0.221
2020-11-01,4.178,3874741303.682,91136861.769,0.216
2020-11-02,4.202,3895006456.473,81646034.911,0.215
2020-11-03,4.025,3739887980.074,140951326.248,0.218
2020-11-04,4.025,3734301175.477,122070013.903,0.218
2020-11-05,4.081,3787360078.117,167238369.007,0.193
2020-11-06,4.233,3937088642.150,147107170.647,0.194
2020-11-07,4.570,4258511485.892,189796195.466,0.200
2020-11-08,4.237,3945482202.184,278868817.511,0.211
2020-11-09,4.363,4078246608.576,128160233.804,0.213
2020-11-10,4.340,4036915102.255,140530467.268,0.213
2020-11-11,4.410,4109275213.334,127503833.194,0.213
2020-11-12,4.449,4142055650.215,150334795.183,0.212
2020-11-13,4.388,4082668445.386,116847228.490,0.212
