Fecha,Precio,Capitalizacion_de_Mercado,Volumen_24h,Volatilidad_a_30_dias
2020-08-20,0.290,13039045107.718,2493335942.224,0.0
2020-08-21,0.292,13121088346.450,2370638516.831,0.0
2020-08-22,0.279,12559855812.783,2286851251.475,0.0
2020-08-23,0.285,12828364996.706,2079080814.463,0.0
2020-08-24,0.285,12847345400.405,1854462300.194,0.0
2020-08-25,0.289,12990310946.329,1854683294.351,0.0
2020-08-26,0.278,12481198829.121,2090806113.446,0.0
2020-08-27,0.277,12444058389.736,1722297777.187,0.0
2020-08-28,0.264,11892725357.024,2044208784.586,0.0
2020-08-29,0.271,12209429474.405,1662139152.053,0.0
2020-08-30,0.274,12327872181.022,1474071862.257,0.0
2020-08-31,0.282,12698936383.287,1797744333.943,0.0
2020-09-01,0.282,12734844410.008,1713133363.514,0.0
2020-09-02,0.295,13354060728.873,2200424987.252,0.0
2020-09-03,0.275,12382372183.464,2141694657.225,0.0
2020-09-04,0.245,11065297518.795,1905179784.400,0.0
2020-09-05,0.255,11509605205.141,2213832554.256,0.0
2020-09-06,0.237,10673276821.059,2295524358.512,0.0
2020-09-07,0.239,10779606840.160,1877164435.466,0.0
2020-09-08,0.242,10890870593.009,1999444569.442,0.0
2020-09-09,0.236,10612102851.322,1836240274.307,0.0
2020-09-10,0.239,10762935066.234,1664634671.019,0.0
2020-09-11,0.243,10937780219.208,1707722753.416,0.0
2020-09-12,0.242,10913243278.057,1582869715.059,0.0
2020-09-13,0.246,11065127814.291,1419186192.165,0.0
2020-09-14,0.242,10882899642.999,1590391766.851,0.0
2020-09-15,0.246,11089299566.068,1606167309.680,0.0
2020-09-16,0.243,10924989830.669,1656784495.165,0.0
2020-09-17,0.247,11135223431.649,1770612287.326,0.0
2020-09-18,0.252,11385313831.485,2004021133.614,0.190
2020-09-19,0.250,11264465645.812,1869517172.490,0.190
2020-09-20,0.252,11350057025.953,1705001457.958,0.186
2020-09-21,0.246,11108885769.402,1633405640.589,0.185
2020-09-22,0.232,10487928992.668,2007044758.688,0.193
2020-09-23,0.233,10492066944.173,1595971759.294,0.192
2020-09-24,0.221,9962004555.544,1403281426.560,0.195
2020-09-25,0.233,10494131135.670,1649632989.814,0.205
2020-09-26,0.241,10889835408.524,1460716986.212,0.205
2020-09-27,0.241,10890187788.561,1333243982.283,0.203
2020-09-28,0.242,10923070031.637,1195058238.218,0.202
2020-09-29,0.242,10909450364.665,1470905663.839,0.199
2020-09-30,0.243,10971187241.150,1401216766.162,0.200
2020-10-01,0.241,10899063751.069,1349173492.013,0.193
2020-10-02,0.238,10764337318.910,1415368386.555,0.183
2020-10-03,0.234,10556863497.819,1493443327.183,0.149
2020-10-04,0.233,10514196298.522,1145307260.036,0.143
2020-10-05,0.248,11199587834.606,1473868105.171,0.140
2020-10-06,0.250,11307554311.792,1595356340.661,0.140
2020-10-07,0.245,11084643136.207,2034209028.979,0.141
2020-10-08,0.248,11218818700.669,1492371196.007,0.139
2020-10-09,0.251,11334024210.085,1472564328.772,0.139
2020-10-10,0.253,11430599247.425,1554527896.585,0.139
2020-10-11,0.254,11480057649.970,1490278457.419,0.139
2020-10-12,0.255,11528592963.206,1296567088.113,0.138
2020-10-13,0.256,11547933259.808,1604712335.901,0.137
2020-10-14,0.256,11579458886.393,1614693932.092,0.136
2020-10-15,0.250,11289545967.208,1443292568.183,0.138
2020-10-16,0.246,11112767380.446,1255528005.874,0.138
2020-10-17,0.240,10874858493.815,1284609568.431,0.138
2020-10-18,0.241,10900012046.551,1001465502.683,0.138
