Fecha,Precio,Capitalizacion_de_Mercado,Volumen_24h,Volatilidad_a_30_dias
2020-08-20,2.896,91194729.762,15448650.497,0.0
2020-08-21,3.207,101186302.293,13595404.010,0.0
2020-08-22,2.933,92576368.085,12006369.820,0.0
2020-08-23,3.022,95149797.261,10159244.745,0.0
2020-08-24,3.330,104838610.420,11705563.477,0.0
2020-08-25,3.340,105025071.744,15583655.537,0.0
2020-08-26,3.261,103504610.605,12533596.205,0.0
2020-08-27,3.551,114219136.449,22112806.024,0.0
2020-08-28,3.431,110491240.216,21498130.289,0.0
2020-08-29,4.011,129651597.858,26740109.116,0.0
2020-08-30,3.972,128816760.881,14534080.231,0.0
2020-08-31,4.437,144468272.841,22083311.985,0.0
2020-09-01,4.794,157231078.235,19476155.185,0.0
2020-09-02,4.304,144080731.169,16073140.848,0.0
2020-09-03,4.176,137747076.792,23121094.981,0.0
2020-09-04,3.514,119105104.970,27187766.957,0.0
2020-09-05,3.541,118962336.474,17857611.368,0.0
2020-09-06,2.595,87193154.315,25742235.854,0.0
2020-09-07,3.087,103754712.659,18512975.691,0.0
2020-09-08,2.906,99103615.301,15992080.627,0.0
2020-09-09,2.474,85338829.216,10503232.092,0.0
2020-09-10,3.634,121438753.717,46180176.273,0.0
2020-09-11,3.453,118759154.828,31817980.376,0.0
2020-09-12,3.446,121133286.767,16519855.116,0.0
2020-09-13,3.333,116947704.579,10193775.122,0.0
2020-09-14,3.225,112654349.574,15375145.937,0.0
2020-09-15,3.262,118721263.471,21853783.609,0.0
2020-09-16,2.932,107150010.948,12635260.000,0.0
2020-09-17,2.549,94070098.597,24795333.688,0.0
2020-09-18,2.919,107329192.560,21791980.632,0.739
2020-09-19,3.084,115398247.167,22533255.903,0.734
2020-09-20,3.015,113066182.942,10943760.458,0.729
2020-09-21,2.868,107485223.209,9294739.741,0.731
2020-09-22,2.774,105132421.825,19270693.969,0.725
2020-09-23,2.940,110996725.682,18874481.496,0.727
2020-09-24,2.836,107801478.997,14564763.145,0.728
2020-09-25,3.130,118878878.682,16633162.874,0.730
2020-09-26,3.191,122238331.593,13618464.796,0.729
2020-09-27,3.135,121477645.401,8801854.278,0.709
2020-09-28,3.166,124163454.946,7557998.444,0.709
2020-09-29,2.956,115671366.641,9309539.827,0.701
2020-09-30,2.945,117794737.823,6850416.404,0.696
2020-10-01,2.896,116997169.794,5787535.353,0.689
2020-10-02,2.866,116446343.764,8826242.176,0.689
2020-10-03,2.629,107373602.622,14212990.243,0.675
2020-10-04,2.554,104629198.181,5964945.749,0.676
2020-10-05,2.523,104629072.112,7148795.366,0.619
2020-10-06,2.653,109983903.680,8274088.031,0.591
2020-10-07,2.175,90510593.136,12053371.150,0.615
2020-10-08,2.290,96626244.227,14026928.603,0.599
2020-10-09,2.363,100361073.087,18962028.194,0.358
2020-10-10,2.539,108143704.999,14326709.103,0.366
2020-10-11,2.406,102263473.325,10183145.725,0.368
2020-10-12,2.418,102599664.112,7287675.814,0.368
2020-10-13,2.584,109398780.834,15148498.563,0.375
2020-10-14,2.402,104349414.798,13892838.741,0.380
2020-10-15,2.319,100630989.389,10350998.489,0.369
2020-10-16,2.269,98861299.730,8122715.969,0.346
2020-10-17,2.141,93684534.758,15223420.220,0.315
2020-10-18,2.204,95604758.795,6335659.684,0.310
2020-10-19,2.212,96201418.299,5687385.029,0.310
2020-10-20,2.057,89483911.147,8565815.857,0.314
2020-10-21,1.886,82488167.140,15641566.709,0.321
2020-10-22,1.881,82144490.259,23297280.722,0.313
2020-10-23,1.954,86559361.414,13454997.576,0.316
2020-10-24,1.957,86992250.293,11186213.356,0.294
2020-10-25,1.913,85097119.416,6919606.692,0.292
2020-10-26,1.791,80166567.408,9185870.300,0.295
2020-10-27,1.685,76352252.524,13591649.241,0.297
