Fecha,Precio,Capitalizacion_de_Mercado,Volumen_24h,Volatilidad_a_30_dias
2020-08-20,0.999,12605339229.678,36401433567.628,0.0
2020-08-21,1.001,12660117156.639,33184899863.669,0.0
2020-08-22,1.000,12762557153.568,39741010255.029,0.0
2020-08-23,1.000,12812234222.112,33313211681.415,0.0
2020-08-24,1.000,12830042987.311,30892345717.984,0.0
2020-08-25,1.001,12895083175.922,31753309180.467,0.0
2020-08-26,1.000,12865507393.595,37747754072.579,0.0
2020-08-27,1.000,12858452038.927,34806112585.194,0.0
2020-08-28,1.001,13028548270.095,34566522790.591,0.0
2020-08-29,1.001,13129348616.633,30966170779.181,0.0
2020-08-30,1.000,13302097287.882,31856478490.168,0.0
2020-08-31,1.000,13324009301.441,34995843752.215,0.0
2020-09-01,1.000,13325296846.575,35149377246.822,0.0
2020-09-02,1.000,13442714263.559,43238751763.633,0.0
2020-09-03,1.000,13625399575.189,43203111185.570,0.0
2020-09-04,0.995,13682958085.891,42325734952.031,0.0
2020-09-05,1.001,13944291389.990,46189183373.409,0.0
2020-09-06,1.005,14146895238.991,53094244103.058,0.0
2020-09-07,1.001,14156780887.936,47558729226.992,0.0
2020-09-08,1.000,14155492387.098,43620239193.985,0.0
2020-09-09,1.003,14249894735.416,41522196713.780,0.0
2020-09-10,1.000,14336176672.989,35189730702.500,0.0
2020-09-11,1.000,14437687573.570,43935764280.590,0.0
2020-09-12,1.000,14583424053.574,35346029129.333,0.0
2020-09-13,1.000,14699656953.528,34624098988.292,0.0
2020-09-14,1.001,14726592942.135,36241617624.532,0.0
2020-09-15,1.001,14728080925.358,39656336899.972,0.0
2020-09-16,1.000,14927227967.751,38756861577.180,0.0
2020-09-17,1.000,14957143001.423,39579829043.509,0.0
2020-09-18,1.001,15065278641.962,40146468289.580,0.011
2020-09-19,1.001,15138915464.972,39379267435.854,0.011
2020-09-20,1.000,15212009140.545,33335946545.546,0.011
2020-09-21,1.002,15210458847.423,33781763220.981,0.011
2020-09-22,1.000,15210934526.999,41573547147.148,0.012
2020-09-23,1.001,15207247917.263,33999511557.304,0.012
2020-09-24,0.999,15239262469.187,32234446705.418,0.012
2020-09-25,1.000,15232006517.329,35072281090.775,0.012
2020-09-26,1.000,15198008748.330,31993619553.310,0.012
2020-09-27,1.000,15280949124.589,28820863359.593,0.012
2020-09-28,0.999,15354889137.337,29307720522.052,0.012
2020-09-29,1.000,15395506651.252,31026546672.739,0.012
2020-09-30,1.001,15466015671.651,30129035765.953,0.012
2020-10-01,1.001,15517416774.848,28716486086.136,0.012
2020-10-02,1.000,15506096329.969,32284651454.088,0.012
2020-10-03,1.001,15559126337.713,33247155372.130,0.010
2020-10-04,1.000,15593659413.545,25056972871.509,0.009
2020-10-05,1.000,15582073682.147,25078715306.006,0.007
2020-10-06,1.000,15613470199.425,26988928629.293,0.006
2020-10-07,1.001,15620630276.223,31332353954.908,0.006
2020-10-08,1.000,15615309939.132,27990241489.113,0.006
2020-10-09,1.000,15613856024.734,30899909592.808,0.005
2020-10-10,1.001,15629093673.391,31230457376.661,0.005
2020-10-11,0.999,15705291452.784,31103442135.115,0.005
2020-10-12,1.000,15726508389.190,26967741736.703,0.005
2020-10-13,0.999,15719081416.808,32385321214.272,0.005
2020-10-14,1.000,15749202701.244,31104948901.265,0.005
2020-10-15,1.000,15757276435.157,30922872467.019,0.005
2020-10-16,0.999,15765787578.750,30259351504.451,0.005
2020-10-17,1.001,15784964725.285,29426226651.733,0.006
2020-10-18,1.000,15818540295.025,23144276109.248,0.006
2020-10-19,1.001,15839841300.263,23155968889.669,0.006
2020-10-20,1.000,15836240611.319,24207650510.198,0.005
2020-10-21,1.001,15885590091.443,25885638598.759,0.005
2020-10-22,0.982,15988638518.268,31335051766.558,0.020
2020-10-23,0.998,16037428575.943,32926083270.942,0.026
2020-10-24,1.000,16147555998.346,29920135253.003,0.027
2020-10-25,1.000,16243349991.746,26528327915.084,0.027
2020-10-26,1.000,16280341319.822,25216008425.711,0.027
2020-10-27,1.000,16338115218.759,35365172506.108,0.027
2020-10-28,1.001,16394460871.673,30794835442.583,0.027
2020-10-29,1.000,16441266715.720,35017855627.957,0.027
2020-10-30,1.001,16516066040.110,30534072185.086,0.027
2020-10-31,1.000,16532183807.742,32067020214.576,0.027
2020-11-01,0.998,16623463029.311,28108751849.172,0.027
2020-11-02,0.997,16616270865.381,24738101276.266,0.027
2020-11-03,0.999,16660305272.041,30323951753.657,0.027
2020-11-04,1.000,16672806891.294,27767959284.919,0.027
2020-11-05,1.000,16761357255.529,32152003554.172,0.027
2020-11-06,1.002,16904673926.989,39163578587.228,0.027
2020-11-07,1.000,16997171288.753,43510835201.851,0.027
2020-11-08,1.002,17169790620.046,43124008602.436,0.027
2020-11-09,1.000,17204850806.799,31316950434.718,0.027
2020-11-10,1.001,17283048043.401,36209564647.816,0.027
2020-11-11,0.997,17296592567.499,30413028370.690,0.027
2020-11-12,0.999,17440423454.621,32189787692.863,0.027
2020-11-13,1.000,17556236317.806,32602360313.244,0.027
2020-11-14,1.001,17712127062.404,31742675284.644,0.027
2020-11-15,1.002,17860345298.664,28619602669.691,0.027
2020-11-16,1.003,17926838683.290,26040137067.850,0.027
2020-11-17,1.000,17856049825.032,31674188936.320,0.027
2020-11-18,1.002,17988127396.568,40078699659.266,0.027
2020-11-19,1.000,18029086889.282,49101779954.931,0.027
2020-11-20,1.000,18128126545.926,40154707935.653,0.019
2020-11-21,1.000,18189806446.575,40703813948.390,0.009
2020-11-22,0.998,18341344301.640,54698161931.413,0.009
2020-11-23,0.997,18423982370.799,59071231387.879,0.009
2020-11-24,0.998,18468867451.711,61758112032.467,0.009
2020-11-25,0.998,18624333606.503,74898919467.774,0.009
2020-11-26,0.997,18610597716.169,56164630316.223,0.009
2020-11-27,1.000,18979461069.236,81120761697.389,0.009
2020-11-28,1.003,19015542986.707,50716411874.178,0.009
2020-11-29,0.999,19028717336.151,43889167309.711,0.010
2020-11-30,1.001,19127804081.207,41391835037.531,0.010
2020-12-01,0.998,19100000432.317,56688978353.287,0.010
2020-12-02,0.995,19258843705.240,63527547983.130,0.011
2020-12-03,0.999,19392984903.151,47889212626.909,0.011
2020-12-04,1.001,19453232188.123,39841762132.096,0.012
2020-12-05,1.004,19616345384.530,43718444845.252,0.012
2020-12-06,1.002,19673710812.298,39025341308.242,0.012
2020-12-07,1.001,19692101876.953,34949028389.173,0.012
2020-12-08,1.000,19695202344.995,34758671978.831,0.011
2020-12-09,0.998,19756413070.607,38931773030.448,0.012
2020-12-10,1.001,19731593805.814,48478209602.073,0.011
2020-12-11,1.001,19775400467.620,36868153695.043,0.011
2020-12-12,1.000,19774158323.946,39300262409.135,0.011
2020-12-13,0.999,19799083140.567,33920748216.927,0.011
2020-12-14,0.999,19824289197.404,35716330657.272,0.011
2020-12-15,1.000,19832906051.156,31906308924.991,0.011
2020-12-16,1.000,19756381667.631,34912750509.053,0.011
2020-12-17,0.999,19757024760.133,50622191918.899,0.011
2020-12-18,0.997,19949736008.004,80217750873.363,0.010
2020-12-19,0.999,20022296286.663,55476232083.699,0.011
2020-12-20,0.998,20082054875.250,50813884203.485,0.011
2020-12-21,1.003,20363396933.753,50642166155.979,0.011
2020-12-22,1.002,20352568043.264,56045236102.619,0.011
2020-12-23,1.002,20473741651.360,56285751885.758,0.011
2020-12-24,1.004,20559034245.214,65223503054.459,0.012
2020-12-25,1.002,20588104977.862,58339107535.242,0.012
2020-12-26,1.003,20750908441.708,55538895732.661,0.011
2020-12-27,1.002,20763290844.737,56722879090.859,0.011
2020-12-28,1.001,20803077157.078,72620203805.898,0.010
2020-12-29,1.002,20856035046.274,59541015354.865,0.010
2020-12-30,1.001,20873380059.778,57716128688.253,0.010
2020-12-31,1.002,20920738588.994,56031648977.854,0.009
2021-01-01,1.000,20934027063.041,50122642446.091,0.009
2021-01-02,1.002,21123644615.386,46908184579.779,0.009
2021-01-03,1.003,21202977966.967,65600559358.048,0.008
2021-01-04,1.001,21350523809.281,88050410443.816,0.008
2021-01-05,1.000,21808226475.326,107933689971.927,0.008
2021-01-06,1.003,21938753509.125,94209342878.683,0.009
2021-01-07,1.008,22300090404.109,102226578773.981,0.010
2021-01-08,1.001,22825440973.459,112491987599.549,0.012
2021-01-09,1.003,23523147664.187,116098707019.927,0.012
2021-01-10,1.005,23789558136.591,88843690833.957,0.012
2021-01-11,1.002,24279872324.784,113187178994.255,0.012
2021-01-12,1.009,24476886629.584,151288274893.902,0.014
2021-01-13,1.002,24294673600.944,98641615847.472,0.015
2021-01-14,1.004,24337321169.826,88304528335.444,0.015
2021-01-15,0.998,24213693580.927,83470865703.925,0.016
2021-01-16,1.001,24266793529.261,96992240843.629,0.017
2021-01-17,1.002,24315907744.205,94463862958.581,0.017
2021-01-18,0.998,24325253500.349,89790741770.631,0.017
2021-01-19,1.000,24361784336.098,75752435427.729,0.017
2021-01-20,0.997,24298711592.613,95230363079.669,0.017
2021-01-21,0.998,24773996062.936,98400901337.330,0.017
2021-01-22,1.007,25008394352.594,98500138249.879,0.019
2021-01-23,1.000,24801327622.792,109499932960.654,0.020
2021-01-24,0.999,24747246253.756,74584935867.305,0.020
2021-01-25,1.000,24813122584.889,75389392521.679,0.020
2021-01-26,1.001,24943473422.734,81887567858.680,0.020
2021-01-27,1.003,25059561869.016,77742955151.286,0.020
2021-01-28,1.002,25255177033.611,77086984667.788,0.020
2021-01-29,0.999,25378936181.757,82157957940.687,0.021
2021-01-30,0.995,25228959196.063,140262643568.021,0.021
2021-01-31,0.997,26260606337.887,87677250379.134,0.021
2021-02-01,1.001,26460152363.207,77589141304.685,0.021
2021-02-02,0.997,26539965348.818,87376525506.668,0.022
2021-02-03,1.001,26737565393.607,86161399686.690,0.022
2021-02-04,1.000,27040294469.113,80620809731.109,0.022
2021-02-05,1.001,27464486048.165,96063694555.143,0.021
2021-02-06,1.002,27816326085.946,88244095697.455,0.020
2021-02-07,0.999,28318232688.704,88304160292.664,0.020
2021-02-08,0.999,28564384006.707,100586645553.919,0.020
2021-02-09,1.003,28863249466.014,119093931026.513,0.020
2021-02-10,0.996,29758402439.414,120396047618.691,0.020
2021-02-11,0.998,30256118930.225,127287128355.979,0.020
2021-02-12,0.998,30750705243.031,105042899243.655,0.020
2021-02-13,0.997,31064574294.367,107178685500.873,0.019
2021-02-14,0.999,31539493807.170,108239708913.827,0.019
2021-02-15,0.996,31950061617.477,98377990878.407,0.019
2021-02-16,1.000,32119872729.897,115699648181.293,0.019
2021-02-17,1.001,32322580880.822,101810739531.320,0.019
2021-02-18,1.001,32391466873.779,103048013177.706,0.018
2021-02-19,1.000,33157947105.034,97785999949.231,0.018
2021-02-20,1.006,33750136267.936,118559600571.531,0.017
2021-02-21,1.005,34371952648.258,136195625535.184,0.016
2021-02-22,1.004,34386570525.724,114500959703.864,0.016
2021-02-23,1.005,34756738533.764,170201717747.032,0.016
2021-02-24,1.004,34896050919.737,194421864595.466,0.016
2021-02-25,1.010,35055733490.145,130287922403.373,0.017
2021-02-26,1.004,34953515263.392,102931863403.140,0.018
2021-02-27,1.008,35297886361.617,130682746510.065,0.018
2021-02-28,0.994,35019017695.772,93002675832.326,0.023
2021-03-01,1.011,35168931968.609,114592683043.668,0.029
2021-03-02,1.008,35205221027.277,105652635751.608,0.029
2021-03-03,1.008,35648335234.615,95192365145.850,0.028
2021-03-04,0.999,35849578088.006,97874443745.565,0.030
2021-03-05,1.003,36436768966.714,106263564693.550,0.030
2021-03-06,0.998,36442357698.786,94999863454.568,0.030
2021-03-07,1.002,36505130743.971,76330557958.976,0.031
2021-03-08,1.003,36537451758.113,77905261747.055,0.030
2021-03-09,1.000,36485945568.005,93938027402.281,0.031
2021-03-10,1.003,36891976398.895,100527600052.337,0.030
2021-03-11,0.997,37294121249.337,102564465265.421,0.030
2021-03-12,1.002,37582370331.180,103544909716.368,0.030
2021-03-13,1.002,38189879216.689,104151500454.697,0.030
2021-03-14,1.002,38311238719.404,110974728095.687,0.030
2021-03-15,1.004,38391230641.183,89031352800.744,0.030
2021-03-16,1.003,38533359862.693,115152243544.516,0.030
2021-03-17,1.002,38715432782.027,103867884971.966,0.030
2021-03-18,1.004,38960558816.206,97566273638.419,0.030
2021-03-19,1.004,39026603881.104,89067622560.179,0.030
2021-03-20,1.004,39402122650.767,81485059573.297,0.030
2021-03-21,1.004,39691193064.477,82315556818.722,0.029
2021-03-22,1.003,39733383314.975,81063542767.860,0.029
