Fecha,Precio_Cierre,Volumen_24h,Cap_Mercado,Volatilidad_30d
20-11-29,0.16663,125044829.839457,20836219.99614872,0.0
20-11-30,0.17204,136237545.662967,23438307.355856843,0.0
20-12-01,0.15562,166639130.740545,25932381.525843617,0.0
20-12-02,0.15845,67918215.156586,10761641.191561053,0.0
20-12-03,0.16398,66943835.328521,10977450.117170872,0.0
20-12-04,0.14781,73072575.781053,10800857.426197445,0.0
20-12-05,0.15993,54873141.571896,8775861.531593326,0.0
20-12-06,0.15873,45667813.043876,7248851.964454438,0.0
20-12-07,0.15401,33055652.745858,5090901.079389591,0.0
20-12-08,0.1412,63198666.267354,8923651.676950384,0.0
20-12-09,0.14796,75432291.639205,11160961.870936772,0.0
20-12-10,0.14188,40687535.723939,5772747.568512466,0.0
20-12-11,0.13926,41561549.168474,5787861.337201689,0.0
20-12-12,0.14438,34221271.35396,4940867.1580847455,0.0
20-12-13,0.15406,49816857.994816,7674785.142681353,0.0
20-12-14,0.15877,40943801.060385,6500647.294357327,0.0
20-12-15,0.15381,42449979.300382,6529231.316191756,0.0
20-12-16,0.16814,79083716.819301,13297136.145997271,0.0
20-12-17,0.16336,129542865.737322,21162122.546848923,0.0
20-12-18,0.16502,66380846.142119,10954167.230372477,0.0
20-12-19,0.16433,57248498.404413,9407645.742797188,0.0
20-12-20,0.16201,55276607.608786,8955363.19869942,0.0
20-12-21,0.15278,67151902.256249,10259467.626709722,0.0
20-12-22,0.15646,73764999.875586,11541271.880534185,0.0
20-12-23,0.13635,118904127.931822,16212577.84350393,0.0
20-12-24,0.15304,104882009.455825,16051142.727119459,0.0
20-12-25,0.15761,93288393.378391,14703183.680368206,0.0
20-12-26,0.15839,87540978.45993,13865615.578268314,0.0
20-12-27,0.15467,126512838.100096,19567740.668941848,0.0
20-12-28,0.17627,147754102.867983,26044615.712539367,0.063
20-12-29,0.19067,273970430.802808,52237942.0411714,0.064
20-12-30,0.18389,122388423.333235,22506007.166748583,0.061
20-12-31,0.18134,80709170.33697,14635800.94890614,0.061
21-01-01,0.17509,82720467.010267,14483526.56882765,0.062
21-01-02,0.17742,117077280.526554,20771851.11102121,0.058
21-01-03,0.20615,230834619.4761728,47586556.80501302,0.063
21-01-04,0.22528,315299480.4914457,71030666.9651129,0.064
21-01-05,0.25873,349709110.7622226,90480238.22750986,0.068
21-01-06,0.33309,611715688.0606145,203756378.53611007,0.077
21-01-07,0.29928,453119832.6300348,135609703.5095168,0.081
21-01-08,0.30389,380368302.980941,115590123.59287816,0.08
21-01-09,0.33062,259644112.080644,85843536.33610253,0.08
21-01-10,0.30153,285668888.341356,86137739.90156907,0.083
21-01-11,0.2757,406838307.396773,112165321.34929031,0.085
21-01-12,0.28888,303626067.858419,87711498.4829401,0.086
21-01-13,0.3123,208192713.90953,65018584.55394623,0.086
21-01-14,0.31201,204581244.1367,63831393.98309177,0.085
21-01-15,0.30188,264651790.304994,79893082.45727158,0.085
21-01-16,0.35071,416047249.2075495,145911930.7695797,0.088
21-01-17,0.38081,529806343.1903753,201755553.55032682,0.088
21-01-18,0.37123,239548962.448159,88927761.32963008,0.089
21-01-19,0.3672,226285256.536489,83091946.20019877,0.087
21-01-20,0.37532,232444042.012948,87240897.84829964,0.087
21-01-21,0.30785,273840594.174471,84301826.91661091,0.092
21-01-22,0.34867,290516408.419131,101294356.1234984,0.092
21-01-23,0.34583,145267535.31274,50237871.73720488,0.093
21-01-24,0.35345,161447140.086898,57063491.663714096,0.093
21-01-25,0.34308,144604820.562655,49611021.838635676,0.093
21-01-26,0.3433,120457217.743562,41352962.851364836,0.091
21-01-27,0.31144,135320113.262216,42144096.07438455,0.093
21-01-28,0.34409,163965629.110074,56418933.32048537,0.093
21-01-29,0.34752,235094446.385988,81700022.00805855,0.093
21-01-30,0.364,181305666.293532,65995262.53084565,0.092
21-01-31,0.34475,141712986.454822,48855552.080299884,0.094
21-02-01,0.40876,315517729.2364468,128971027.00269,0.095
21-02-02,0.42498,635347397.5646352,270009937.0170187,0.094
21-02-03,0.44189,233609024.225337,103229491.71493417,0.091
21-02-04,0.43934,231296073.096734,101617616.75431912,0.08
21-02-05,0.53917,647988571.3729905,349375998.0271753,0.084
21-02-06,0.63444,735618983.1258681,466706107.65437573,0.088
21-02-07,0.66109,1031252551.2483164,681750749.1047494,0.088
21-02-08,0.67638,687200350.054749,464808572.7700311,0.085
21-02-09,0.70562,405545405.296007,286160948.88496846,0.082
21-02-10,0.93966,1404210349.2985792,1319480296.821903,0.094
21-02-11,0.92796,903411072.7533122,838329339.0721636,0.094
21-02-12,0.92426,593210760.200747,548280977.2231424,0.094
21-02-13,0.91299,527921465.849355,481987019.1058026,0.094
21-02-14,0.84364,464156537.89327,391581021.6282783,0.094
21-02-15,0.86143,773675700.779529,666467458.9225097,0.093
21-02-16,0.87,460384874.040459,400534840.4151993,0.093
21-02-17,0.89206,397664271.258751,354740389.81908137,0.093
21-02-18,0.91442,536478522.566534,490566690.60529,0.093
21-02-19,0.92581,503644913.654661,466279497.5106217,0.082
21-02-20,1.11568,1605889356.9768093,1791658637.7918866,0.085
21-02-21,1.09894,708941857.790058,779084565.1998063,0.085
21-02-22,1.09703,1356545593.491317,1488171212.4277794,0.085
21-02-23,0.96197,1563316092.760008,1503863181.752345,0.09
21-02-24,1.04902,959472420.871605,1006505758.9427311,0.09
21-02-25,1.07691,1053858750.542469,1134911027.0466905,0.087
21-02-26,1.24303,2078674172.965505,2583854357.2213116,0.088
21-02-27,1.31402,2726382795.3645725,3582521520.7649555,0.088
21-02-28,1.31203,2000892510.566343,2625231000.638359,0.088
21-03-01,1.29627,1262620102.616691,1636696560.4189382,0.087
21-03-02,1.2228,923673564.291133,1129468034.4151976,0.086
21-03-03,1.21311,563382389.440149,683444810.453739,0.086
21-03-04,1.11239,859720613.297925,956344613.0264788,0.089
21-03-05,1.15908,934727653.731029,1083424128.8865612,0.089
21-03-06,1.129,442918849.669389,500055381.2767402,0.083
21-03-07,1.13042,365845333.635412,413558882.0481424,0.079
21-03-08,1.11848,450421643.827803,503787600.1885211,0.079
21-03-09,1.1972,718499784.323591,860187941.7922032,0.08
21-03-10,1.13261,446671691.449935,505904824.4531109,0.081
21-03-11,1.1243,338688320.679779,380787278.94027555,0.062
21-03-12,1.03207,453536801.751492,468081726.98366237,0.065
21-03-13,1.1,707355593.966,778091153.3626,0.065
21-03-14,1.05243,328663726.916662,345895566.11890256,0.066
21-03-15,1.03103,415080286.214873,427960227.49612045,0.064
21-03-16,1.24924,1458646287.627065,1822199288.3552344,0.073
21-03-17,1.377,1409057696.603295,1940272448.2227373,0.074
21-03-18,1.22925,1975037678.43161,2427815066.2120566,0.078
21-03-19,1.29474,1032218858.172991,1336455044.4308984,0.078
21-03-20,1.20046,505497684.765714,606829750.653849,0.08
21-03-21,1.18561,367461613.305998,435666163.3517243,0.072
21-03-22,1.1015,444196527.44626,489282474.9820553,0.074
21-03-23,1.11639,421114122.163967,470127594.8426311,0.074
21-03-24,1.06902,396335857.035275,423690957.8878497,0.07
21-03-25,1.0956,583470178.633326,639249927.710672,0.068
21-03-26,1.2142,808936818.203217,982211084.6623461,0.071
21-03-27,1.17678,322586528.664919,379613375.2023034,0.066
21-03-28,1.18983,237375345.954581,282436307.8771391,0.065
21-03-29,1.20239,316725719.73974,380827838.157866,0.065
21-03-30,1.21189,312766027.238293,379038020.74981487,0.065
21-03-31,1.19191,360032787.858607,429126680.1765523,0.064
21-04-01,1.18377,253654449.282147,300268527.4267271,0.064
21-04-02,1.18998,379078109.523662,451095368.7709673,0.062
21-04-03,1.16238,379294245.014183,440884044.519586,0.062
21-04-04,1.18206,240843734.867574,284691745.23756456,0.062
21-04-05,1.2118,379800451.568576,460242187.21080035,0.062
21-04-06,1.252,913715698.979972,1143972055.122925,0.062
21-04-07,1.17359,493054710.480349,578644077.6726327,0.062
21-04-08,1.21926,258822131.024978,315571471.4735147,0.062
21-04-09,1.20201,189628515.591865,227935372.02657765,0.062
21-04-10,1.21747,355203232.326933,432449279.26107115,0.059
21-04-11,1.26355,563044444.403651,711434807.7262332,0.059
21-04-12,1.31431,730491709.395321,960092558.5753645,0.058
21-04-13,1.41246,827121787.857676,1168276440.4774532,0.059
21-04-14,1.45092,1535013338.694213,2227181553.378207,0.048
21-04-15,1.4782,603652219.001693,892318710.1283026,0.045
21-04-16,1.40989,797336703.01528,1124157044.2142131,0.041
21-04-17,1.36802,456752579.9214,624846664.3840736,0.04
21-04-18,1.27693,984038054.809239,1256547713.3275614,0.04
21-04-19,1.1945,594173873.637402,709740692.0598767,0.042
21-04-20,1.26689,564969805.947589,715754597.4569411,0.041
21-04-21,1.20358,504722890.008973,607474375.9569998,0.042
21-04-22,1.144,628558727.834622,719071184.6428075,0.042
21-04-23,1.15866,1054521883.392403,1221832325.4114418,0.042
21-04-24,1.10287,494679064.790401,545566700.1853895,0.038
21-04-25,1.0913,333834052.8768905,364313101.90455055,0.038
21-04-26,1.2375,568714660.970525,703784392.9510248,0.045
21-04-27,1.3063,504918084.184202,659574493.3698231,0.046
21-04-28,1.3379,505426307.532775,676209856.8480997,0.046
21-04-29,1.3063,777246168.058427,1015316669.3347231,0.046
21-04-30,1.3532,413990419.810156,560211836.087103,0.046
21-05-01,1.3516,279891124.595575,378300844.0033791,0.046
21-05-02,1.3267,290399347.536045,385272814.3760709,0.046
21-05-03,1.3622,367143914.773384,500123440.7043037,0.046
21-05-04,1.2698,549879320.534174,698236761.2142941,0.048
21-05-05,1.4798,809182895.296619,1197428848.4599369,0.055
21-05-06,1.6491,2120775489.369731,3497370859.5196233,0.057
21-05-07,1.653,1301803083.5122,2151880497.0456667,0.056
21-05-08,1.6211,633842537.10449,1027522136.9000888,0.057
21-05-09,1.7663,1536088014.649721,2713192260.275802,0.058
21-05-10,1.6423,1220328155.185192,2004144929.260641,0.06
21-05-11,1.7632,888681876.913921,1566923885.3746257,0.061
21-05-12,1.5694,1034165276.431951,1623018984.8323038,0.064
21-05-13,1.9296,2830787027.328203,5462286647.932501,0.074
21-05-14,2.0069,1330783387.916312,2670749181.209246,0.074
21-05-15,2.1744,3028162677.857561,6584436926.73348,0.074
21-05-16,2.3002,2680581605.663523,6165873809.347236,0.074
21-05-17,2.0307,2387549270.075037,4848396302.741378,0.077
21-05-18,2.0036,1258577627.76608,2521686134.992118,0.076
21-05-19,1.4663,3616451442.958993,5302802750.810771,0.096
21-05-20,1.8006,2253383023.851363,4057441472.7467647,0.102
21-05-21,1.5493,1851576033.778438,2868646749.132934,0.106
21-05-22,1.4629,1195051726.840747,1748241171.195329,0.107
21-05-23,1.3139,1839005520.816469,2416269353.800759,0.108
21-05-24,1.55,1503761177.410839,2330829824.9868007,0.112
21-05-25,1.5532,1239076344.28471,1924533377.9430113,0.11
21-05-26,1.7791,1472382792.514478,2619516226.1625075,0.112
21-05-27,1.6552,998105646.132127,1652064465.4778967,0.113
21-05-28,1.5133,1262486208.239076,1910520378.9281936,0.114
21-05-29,1.4029,831031429.597334,1165853992.5821,0.115
21-05-30,1.5751,1205767972.908711,1899205134.1285105,0.117
21-05-31,1.7373,975900758.702139,1695432388.0932262,0.118
21-06-01,1.7363,912156549.518218,1583777416.928482,0.118
21-06-02,1.7534,763167515.813421,1338137922.2272525,0.117
21-06-03,1.8453,758107289.094903,1398935380.5668244,0.114
21-06-04,1.7077,1016313544.257178,1735558639.5279827,0.114
21-06-05,1.6551,627802619.935866,1039076116.2558519,0.114
21-06-06,1.6771,321777694.702927,539653371.7862788,0.114
21-06-07,1.5659,568701714.627111,890530014.9345931,0.113
21-06-08,1.5819,926353837.475304,1465399135.5021834,0.113
21-06-09,1.6279,738213512.45641,1201737776.92779,0.112
21-06-10,1.5328,488331366.508162,748514318.5837107,0.11
21-06-11,1.4371,482059658.00754,692767934.5226357,0.104
21-06-12,1.4789,517749782.787853,765700153.7649559,0.104
21-06-13,1.5566,490536333.040584,763568856.0109731,0.103
21-06-14,1.5769,435453250.96621,686666231.4486165,0.102
21-06-15,1.5552,340383009.234608,529363655.96166235,0.1
21-06-16,1.4851,309694677.494059,459927565.5464271,0.1
21-06-17,1.4826,247086065.757767,366329801.09246534,0.082
21-06-18,1.4163,316537834.823891,448312535.4610768,0.073
21-06-19,1.3839,206002750.664394,285087206.64445484,0.068
21-06-20,1.4263,373024182.419864,532044391.385452,0.067
21-06-21,1.174,661793161.740104,776945171.882882,0.074
21-06-22,1.1567,1030804095.181762,1192331096.8967443,0.067
21-06-23,1.2512,607806302.675244,760487245.9072653,0.068
21-06-24,1.3604,568197037.840652,772975250.278423,0.065
21-06-25,1.2521,722838979.191731,905066685.8459663,0.066
21-06-26,1.2521,380549653.1848,476486220.7526881,0.064
21-06-27,1.338,310315583.603679,415202250.8617225,0.064
21-06-28,1.326,292756074.248376,388194554.4533466,0.06
21-06-29,1.373,394907812.3152,542208426.3087696,0.057
21-06-30,1.3853,354446349.120819,491014527.4370705,0.057
21-07-01,1.3313,262447755.020643,349396696.258982,0.057
21-07-02,1.3946,315348818.276434,439785461.9683149,0.057
21-07-03,1.4045,277572501.536617,389850578.40817857,0.056
21-07-04,1.4615,267332413.152222,390706321.8219725,0.056
21-07-05,1.4039,297312194.319899,417396589.6057062,0.057
21-07-06,1.4157,246828693.185177,349435380.9422551,0.055
21-07-07,1.404,178159850.134744,250136429.58918056,0.055
21-07-08,1.327,239803654.940297,318219450.1057741,0.056
21-07-09,1.3504,213730318.843104,288621422.56572765,0.055
21-07-10,1.3356,124946490.527551,166878532.7485971,0.054
21-07-11,1.3485,96252011.616564,129795837.66493656,0.054
21-07-12,1.3126,149660876.224631,196444866.13245067,0.053
21-07-13,1.265,160715456.020041,203305051.86535183,0.053
21-07-14,1.2635,205613918.958764,259793186.6043983,0.053
21-07-15,1.2258,165010923.472387,202270389.99245197,0.053
21-07-16,1.1708,190852629.775681,223450258.94136733,0.053
21-07-17,1.1721,145637408.242852,170701606.20144683,0.053
21-07-18,1.1813,129455682.08151,152925997.24288777,0.053
21-07-19,1.1225,158333071.389083,177728872.63424566,0.053
21-07-20,1.0539,300482457.343934,316678461.7947721,0.041
21-07-21,1.1711,329529795.803851,385912343.8658899,0.045
21-07-22,1.1856,187077128.52968,221798643.58478862,0.043
21-07-23,1.2077,154913279.789284,187088768.00151828,0.04
21-07-24,1.2327,173727524.714364,214153919.71539646,0.037
21-07-25,1.2284,131208367.065119,161176358.10279217,0.037
21-07-26,1.2551,547924739.597529,687700340.6688588,0.035
21-07-27,1.2799,293884771.121409,376143118.5582914,0.036
21-07-28,1.2875,258967798.015617,333421039.9451069,0.035
21-07-29,1.2856,167250046.586504,215016659.89160958,0.035
21-07-30,1.3108,233481881.179908,306048049.8506234,0.034
21-07-31,1.3193,160008038.697923,211098605.4541698,0.033
21-08-01,1.3142,271363427.546652,356625816.4818101,0.033
21-08-02,1.3083,164663710.84494,215429532.89843503,0.032
21-08-03,1.3696,333462860.830757,456710734.1938048,0.033
21-08-04,1.3765,248779803.387754,342445399.3632434,0.033
21-08-05,1.3859,220584468.752681,305708015.24434054,0.033
21-08-06,1.4025,230083804.205757,322692535.3985742,0.031
21-08-07,1.4727,355799070.318375,523985290.8578708,0.032
21-08-08,1.4255,292240465.61758,416588783.73786026,0.033
21-08-09,1.4745,296965727.222494,437875964.7895674,0.033
21-08-10,1.678,560730912.241496,940906470.7412302,0.04
21-08-11,1.7934,878006229.53126,1574616372.0413618,0.04
