Fecha,Precio_Cierre,Volumen_24h,Cap_Mercado,Volatilidad_30d
20-11-29,30.1045,84748920.1725558,2551323867.3347063,0.0
20-11-30,31.4935,91534747.055381,2882749556.388642,0.0
20-12-01,30.1996,96681205.6214727,2919733737.286227,0.0
20-12-02,30.2875,71525356.850704,2166324245.6156974,0.0
20-12-03,30.7065,58447530.6808109,1794719100.8503199,0.0
20-12-04,29.0231,61840679.7646827,1794808232.8783624,0.0
20-12-05,29.728,53893876.3625983,1602157156.5073223,0.0
20-12-06,29.5026,39419545.0689589,1162979070.351467,0.0
20-12-07,29.37,35795857.6573833,1051324339.3973476,0.0
20-12-08,27.6705,52562094.3021941,1454419430.388862,0.0
20-12-09,28.1452,45454697.5386896,1279331553.1659265,0.0
20-12-10,27.6926,37402211.1035569,1035764471.2063597,0.0
20-12-11,27.3419,33839924.1542774,925247822.2338371,0.0
20-12-12,28.1603,36058480.5872906,1015417630.8822795,0.0
20-12-13,29.1571,47146012.390196,1374640997.8621838,0.0
20-12-14,30.0338,59668479.1810639,1792071170.0282369,0.0
20-12-15,29.5053,48398355.2235207,1428007990.3765454,0.0
20-12-16,30.5577,64494864.3794064,1970814717.246587,0.0
20-12-17,30.2255,100846680.8674189,3048141352.55817,0.0
20-12-18,30.9882,62443342.4142675,1935006783.4018042,0.0
20-12-19,33.3167,134985674.648901,4497277226.575039,0.0
20-12-20,34.3148,153515421.8136417,5267850996.450752,0.0
20-12-21,32.05,152823799.8311665,4898002784.588886,0.0
20-12-22,33.5151,115167307.8079382,3859843837.9138293,0.0
20-12-23,31.1843,128877133.6917357,4018943200.1831937,0.0
20-12-24,32.4895,94739220.627289,3078029908.570306,0.0
20-12-25,33.1996,84844896.3175845,2816816619.785278,0.0
20-12-26,33.6361,80768632.4381237,2716741797.5519724,0.0
20-12-27,33.674,126569474.2263928,4262100475.099551,0.0
20-12-28,35.951,145163638.0339237,5218777950.95759,0.038
20-12-29,39.0667,266651443.8007531,10417191959.53088,0.039
20-12-30,38.1558,91497596.0416403,3491163975.0456185,0.039
20-12-31,37.3588,70486125.9625969,2633277082.611465,0.039
21-01-01,37.7762,92358608.1130839,3488957251.8014803,0.039
21-01-02,38.2331,114060050.8496281,4360869330.138916,0.037
21-01-03,41.2575,195224916.820531,8054492005.723059,0.039
21-01-04,41.1333,214835112.0872519,8836877116.018559,0.039
21-01-05,41.8219,141831731.9587631,5931672510.806194,0.039
21-01-06,42.2417,156404649.3163699,6606798275.027303,0.037
21-01-07,43.5728,216717611.7697121,9442993154.11931,0.037
21-01-08,42.356,149951576.8513453,6351348989.1155815,0.037
21-01-09,43.8479,116290473.5386175,5099093054.673947,0.037
21-01-10,42.4031,185165251.1320646,7851580660.278049,0.038
21-01-11,38.1674,244587641.4693523,9335274347.017357,0.043
21-01-12,38.2541,125897888.047957,4816110399.175352,0.043
21-01-13,40.1114,135791180.057457,5446774339.756681,0.044
21-01-14,41.8723,135085613.30355,5656345325.930237,0.044
21-01-15,40.8668,140633163.6256023,5747227371.254764,0.044
21-01-16,43.142,138015822.2312169,5954278602.699161,0.045
21-01-17,45.8675,169754085.7227767,7786195526.889461,0.044
21-01-18,45.3412,139399114.1553898,6320523114.742359,0.044
21-01-19,42.5241,229455474.2432518,9757387532.267464,0.044
21-01-20,42.6069,154503844.311202,6582929844.182953,0.044
21-01-21,38.6343,140161330.8816159,5415034905.679614,0.045
21-01-22,40.8936,122212901.7638495,4997725519.570156,0.046
21-01-23,40.9109,103044289.6364261,4215634628.8868647,0.046
21-01-24,41.8263,97017133.5978513,4057867735.0038085,0.046
21-01-25,41.8347,117399838.4063164,4911387019.776725,0.046
21-01-26,41.8396,113401083.8483374,4744655987.780897,0.045
21-01-27,40.8826,108149178.3593736,4421419599.194926,0.042
21-01-28,42.5254,125825473.6606247,5350778597.60753,0.043
21-01-29,42.8618,147364483.4547029,6316307016.938786,0.042
21-01-30,44.7849,121803577.410981,5454961033.993043,0.043
21-01-31,44.3292,107955886.1665317,4785598069.053417,0.043
21-02-01,51.4781,294440153.8956684,15157219686.256607,0.049
21-02-02,51.0071,237619391.9434699,12120276086.799765,0.049
21-02-03,52.12,150776117.8031686,7858451259.901147,0.049
21-02-04,55.9599,215002299.8179948,12031507197.585007,0.05
21-02-05,67.7005,306515082.6292277,20751224351.54003,0.06
21-02-06,72.8356,595983260.0097728,43408798332.76781,0.06
21-02-07,68.3542,413359634.3580308,28254867118.835712,0.062
21-02-08,79.8374,573806461.5287858,45811215991.65829,0.066
21-02-09,107.3469,1222317019.460554,131211942856.33014,0.079
21-02-10,128.9711,2139218096.5096064,275897311046.7501,0.083
21-02-11,124.085,737374300.5875953,91497090088.41176,0.085
21-02-12,136.6139,740055607.987079,101101882823.98602,0.085
21-02-13,133.3496,497454132.3754869,66335309570.61823,0.085
21-02-14,135.8623,588209671.8743159,79915518903.08986,0.085
21-02-15,130.303,617209050.2792228,80424190878.53357,0.086
21-02-16,130.183,423640104.8636006,55150739771.458115,0.086
21-02-17,165.3233,1540919651.6330936,254749921842.8334,0.092
21-02-18,195.6,2093727364.879095,409533072570.351,0.094
21-02-19,333.111,5528652618.860825,1841655002521.3481,0.124
21-02-20,253.0,3803591547.4482107,962308661504.3973,0.14
21-02-21,295.2597,3016515097.5884132,890655342759.4257,0.14
21-02-22,267.5147,3304868176.0392327,884100818652.6825,0.143
21-02-23,231.3646,3533975184.114267,817636754882.5237,0.148
21-02-24,254.5056,2968825220.6605544,755582644079.3468,0.148
21-02-25,234.9146,1718504824.0212388,403701873333.0197,0.149
21-02-26,221.717,1673740236.8863392,371096664101.7285,0.151
21-02-27,225.3853,956073854.7960742,215484992585.3696,0.151
21-02-28,210.2138,1188324867.5736897,249802286047.16208,0.152
21-03-01,254.9637,1909672582.7119243,486897187476.7882,0.154
21-03-02,239.6841,1322863990.4305172,317069464968.74713,0.155
21-03-03,240.5701,1055004494.1174927,253802536650.29462,0.154
21-03-04,229.6369,951344257.2707064,218463746072.44748,0.155
21-03-05,225.4714,816218663.6047622,184033964789.09476,0.156
21-03-06,226.3814,600491090.2031841,135940013687.72311,0.154
21-03-07,240.11,825683976.966841,198254979709.5082,0.154
21-03-08,240.5509,717450084.5848948,172583263551.97256,0.153
21-03-09,293.2052,2125830116.6707406,623304444524.4678,0.154
21-03-10,278.4499,1691967448.9887078,471128166974.1608,0.147
21-03-11,290.0301,1921178267.9669902,557199525176.293,0.144
21-03-12,263.2201,1595966693.3539188,420090512621.28784,0.146
21-03-13,276.2822,1064357365.4788338,294062994520.6962,0.145
21-03-14,263.238,656730954.5609341,172876543016.71115,0.146
21-03-15,254.5144,865778780.1144474,220353166753.5605,0.146
21-03-16,258.5352,759878684.5077829,196455387674.95654,0.145
21-03-17,269.7896,734538705.6010387,198170903568.622,0.145
21-03-18,261.4816,849612650.8889891,222158075334.6943,0.14
21-03-19,262.935,598172787.5127919,157280561884.67593,0.137
21-03-20,264.3023,637249236.4276834,168426438861.0805,0.095
21-03-21,264.6513,520164482.6716413,137662206552.87735,0.08
21-03-22,254.7976,867393890.9961793,221009881680.4881,0.075
21-03-23,255.4646,667040263.824583,170405174181.84158,0.073
21-03-24,248.5236,842490109.3031726,209378674928.41794,0.068
21-03-25,233.9466,831361532.2659026,194494203844.39822,0.067
21-03-26,255.2105,650316857.7394375,165967690422.1107,0.067
21-03-27,269.2234,804732179.3560841,216652733415.6548,0.067
21-03-28,268.4263,888837689.742223,238587412358.05292,0.067
21-03-29,275.2991,743818283.8759371,204772504114.59,0.065
21-03-30,311.2962,1633393562.8013515,508469209204.5221,0.059
21-03-31,302.3724,1432519744.2660227,433154433121.1036,0.058
21-04-01,334.7991,1403784882.8732836,469985915379.5808,0.061
21-04-02,338.2932,1449673755.0076194,490414773537.5436,0.06
21-04-03,321.9497,1044647379.113692,336323910311.43945,0.061
21-04-04,348.8617,930046907.3464288,324457745176.6176,0.062
21-04-05,368.0263,1251830835.7298312,460706670699.55756,0.062
21-04-06,403.3648,1741879509.9979262,702612880174.4115,0.063
21-04-07,375.5538,2382943130.3336415,894923347780.6945,0.055
21-04-08,418.7048,1657671967.081196,694075209442.3387,0.057
21-04-09,453.9937,1585030394.379519,719593813356.817,0.058
21-04-10,471.2975,2200226600.9799323,1036961296475.3397,0.054
21-04-11,525.9275,1776698304.8045454,934414497700.0925,0.057
21-04-12,596.7104,5344661902.251941,3189215341557.5166,0.058
21-04-13,551.6442,3061385296.102707,1688795442560.3408,0.06
21-04-14,550.0182,2356734422.954988,1296246825191.7412,0.06
21-04-15,541.8824,1261789670.8404372,683741615130.2261,0.061
21-04-16,508.2743,2179386782.467181,1107726291287.7588,0.062
21-04-17,514.6861,1548814458.1705544,797153273099.4158,0.062
21-04-18,481.4367,2101748555.7606797,1011858888915.1876,0.064
21-04-19,504.0322,2572857437.0160513,1296802994265.5618,0.064
21-04-20,586.3635,3065802468.2334905,1797674665582.0283,0.067
21-04-21,543.6327,3302743900.049621,1795479583792.5056,0.07
21-04-22,505.2411,3453990005.3750396,1745097709704.691,0.071
21-04-23,526.5357,3382941422.360556,1781239429881.611,0.07
21-04-24,496.992,1520666084.6393692,755758878737.0895,0.07
21-04-25,505.0,1244888360.1544836,628668621878.0142,0.07
21-04-26,535.33,1646103488.0288882,881208580246.5048,0.07
21-04-27,568.78,1565140057.705096,890220362021.5045,0.071
21-04-28,562.78,1333087930.86344,750235225731.3268,0.068
21-04-29,599.7,2536924856.305376,1521393836326.3342,0.068
21-04-30,622.65,2095245536.8241105,1304604633503.5325,0.067
21-05-01,620.0,1516905856.2444093,940481630871.5338,0.067
21-05-02,621.78,1273435369.898067,791796644295.2201,0.066
21-05-03,676.15,1872406454.7114546,1266027624353.15,0.066
21-05-04,609.3,2400359921.759795,1462539300328.2432,0.069
21-05-05,651.1,1454478376.495745,947010870936.3795,0.069
21-05-06,633.99,1318819283.775989,836118237721.1393,0.067
21-05-07,624.3,1238889450.405969,773438683888.4463,0.065
21-05-08,646.1,1395957617.959335,901928216963.5265,0.064
21-05-09,661.74,1543794428.062309,1021590524825.9524,0.064
21-05-10,631.1,2022592640.9284978,1276458215689.975,0.062
21-05-11,671.91,1721298080.868251,1156557393516.1865,0.059
21-05-12,594.65,1822055485.228645,1083485294291.2137,0.061
21-05-13,571.1,3209105953.134293,1832720409834.9949,0.062
21-05-14,602.61,1301240937.051233,784140801076.4436,0.062
21-05-15,563.41,1322248759.387284,744968173526.3896,0.063
21-05-16,564.32,1678652421.17639,947297134318.2605,0.063
21-05-17,512.07,2087711760.249724,1069054561071.0762,0.064
21-05-18,507.88,1404143922.109876,713136615161.1638,0.063
21-05-19,334.8,4527448944.4894495,1515789906615.0676,0.094
21-05-20,391.17,2937633738.121213,1149114189340.875,0.099
21-05-21,326.01,3021752642.8292913,985121579088.7772,0.103
21-05-22,299.76,1646566206.389925,493574686027.4439,0.103
21-05-23,260.72,2229226334.873157,581203890028.1295,0.105
21-05-24,345.64,2371630247.307144,819730278679.2413,0.119
21-05-25,343.18,2568468246.869039,881446932960.5168,0.118
21-05-26,379.16,1962829110.773636,744226285640.9319,0.119
21-05-27,369.67,1564221587.83169,578245794373.7408,0.119
21-05-28,328.82,1767981944.157346,581347822877.8185,0.12
21-05-29,305.04,1207409894.689486,368308314276.0809,0.12
21-05-30,325.57,1204069134.173924,392008788013.0044,0.121
21-05-31,353.33,1377416607.541584,486682609942.66785,0.122
21-06-01,362.39,1284873991.761273,465625485874.3677,0.121
21-06-02,401.54,1713451718.593527,688019403084.0449,0.122
21-06-03,428.48,1752346450.735721,750845407211.2418,0.122
21-06-04,390.7,1916201817.164444,748660049966.1482,0.123
21-06-05,390.08,1595813798.745922,622495046614.8092,0.123
21-06-06,393.73,729084366.503952,287062387623.6011,0.122
21-06-07,357.96,1170669919.32938,419053004323.14484,0.123
21-06-08,352.5,1719924713.883863,606273461644.0616,0.123
21-06-09,375.54,1249840132.937438,469364963523.3255,0.123
21-06-10,351.94,872882198.949866,307202161098.41583,0.122
21-06-11,345.75,785929588.814169,271735155332.49896,0.121
21-06-12,343.7,699907058.519639,240558056013.19992,0.121
21-06-13,365.8,679668875.246562,248622874565.19238,0.121
21-06-14,370.19,723637001.375154,267883181539.06827,0.121
21-06-15,366.48,573156968.63816,210050565866.51288,0.12
21-06-16,347.22,543418325.492729,188685710977.58536,0.121
21-06-17,352.85,439111935.571411,154940646466.37238,0.093
21-06-18,337.16,543765122.851648,183335848820.66165,0.089
21-06-19,334.01,361192951.851484,120642057847.91417,0.083
21-06-20,339.08,529131275.110113,179417832764.33713,0.081
21-06-21,270.76,1134169839.109733,307087825637.3513,0.088
21-06-22,262.1,1445168751.327064,378778729722.82355,0.07
21-06-23,296.25,956389175.501215,283330293242.2349,0.074
21-06-24,308.62,793593075.997634,244918695114.38983,0.072
21-06-25,280.81,791189610.009283,222173954386.70676,0.073
21-06-26,279.65,622268680.140945,174017436401.41525,0.071
21-06-27,290.87,431044973.383061,125378051407.93095,0.07
21-06-28,290.0,548496790.262426,159064069176.10355,0.069
21-06-29,300.79,646844599.029175,194564386941.98557,0.067
21-06-30,303.71,606540123.129403,184212300795.63098,0.067
21-07-01,287.43,401830865.476267,115498245663.84341,0.064
21-07-02,287.17,282959964.051108,81257612876.55669,0.063
21-07-03,298.13,299594862.737075,89318216427.80415,0.062
21-07-04,307.62,401277889.880716,123441104485.10587,0.062
21-07-05,302.02,421248886.193342,127225588608.11313,0.062
21-07-06,319.92,650273531.159916,208035508088.68036,0.061
21-07-07,327.51,590298135.792665,193328542453.45572,0.061
21-07-08,310.14,519961296.569241,161260796517.9844,0.06
21-07-09,317.09,343735624.263496,108995129097.71193,0.06
21-07-10,316.12,258075549.819215,81582842808.85025,0.06
21-07-11,322.16,256199711.968271,82537299207.69818,0.06
21-07-12,316.12,426623454.937474,134864206574.83429,0.058
21-07-13,308.94,289436636.719732,89418554548.194,0.058
21-07-14,309.4,432901624.170642,133939762518.39664,0.058
21-07-15,316.11,683580014.966445,216086478531.04294,0.058
21-07-16,302.88,452125371.767348,136939732600.89436,0.058
21-07-17,300.52,309811109.644366,93104434670.32487,0.058
21-07-18,302.1,248310442.280799,75014584613.02939,0.058
21-07-19,280.54,380236625.464024,106671582907.6773,0.059
21-07-20,264.44,477330480.08544,126225272153.79375,0.044
21-07-21,293.26,493675666.918788,144775326080.60376,0.047
21-07-22,293.36,344239131.743979,100985991688.41368,0.042
21-07-23,299.27,479004113.189418,143351560954.1971,0.041
21-07-24,301.56,433812986.340374,130820644160.80318,0.037
21-07-25,302.56,324189704.048681,98086836856.96893,0.037
21-07-26,304.0,814831876.350239,247708890410.47266,0.036
21-07-27,313.48,516987151.379439,162065132214.42654,0.037
21-07-28,313.8,410191599.793607,128718124015.23389,0.036
21-07-29,317.03,313547925.46514,99404098810.21332,0.036
21-07-30,322.58,409615592.86199,132133797945.42072,0.035
21-07-31,332.38,457403870.688032,152031898539.28806,0.035
21-08-01,332.59,514454683.275946,171102483110.7469,0.034
21-08-02,330.55,338323320.513389,111832773595.70073,0.034
21-08-03,323.43,343038810.017112,110949042323.83455,0.034
21-08-04,334.77,318558568.225493,106643851884.8483,0.033
21-08-05,337.91,419560178.096515,141773579780.59338,0.033
21-08-06,342.39,429722920.938203,147132830900.0313,0.031
21-08-07,356.18,542603720.121595,193264593032.90973,0.032
21-08-08,341.79,445920620.983132,152411209045.8247,0.033
