Fecha,Precio_Cierre,Volumen_24h,Cap_Mercado,Volatilidad_30d
20-11-29,18184.99,996743798.8649217,18125776014920.613,0.0
20-11-30,19695.87,2205929119.5053363,43447693166991.56,0.0
20-12-01,18764.96,2446070334.828799,45900411990249.016,0.0
20-12-02,19204.09,1436895344.8259494,27594267522618.566,0.0
20-12-03,19421.9,1286548310.8267057,24987212638045.195,0.0
20-12-04,18650.52,1358079975.0254982,25328897735812.555,0.0
20-12-05,19147.66,813445434.1308142,15575576601289.227,0.0
20-12-06,19359.4,709558933.5829058,13736635218804.906,0.0
20-12-07,19166.9,793517668.683946,15209273803898.326,0.0
20-12-08,18324.11,1160658077.404659,21268026282751.49,0.0
20-12-09,18541.28,1450130664.0645843,26887278679007.395,0.0
20-12-10,18254.63,966149529.0006071,17636702176580.355,0.0
20-12-11,18036.53,1301081647.3079002,23466998164118.36,0.0
20-12-12,18808.69,915552835.9061834,17220349469180.271,0.0
20-12-13,19174.99,1083520569.0948539,20776496077188.133,0.0
20-12-14,19273.14,906101687.739595,17463424682041.498,0.0
20-12-15,19426.43,1196361527.9258018,23241033476943.633,0.0
20-12-16,21335.52,2325135958.6418414,49607984748322.18,0.0
20-12-17,22797.16,4196645567.425877,95671600463898.5,0.0
20-12-18,23107.39,1820875361.2945976,42075677114825.17,0.0
20-12-19,23821.61,2018969878.8868675,48095113056590.195,0.0
20-12-20,23455.52,1810862074.730308,42474711611078.234,0.0
20-12-21,22719.71,2035446293.928971,46244749518640.984,0.0
20-12-22,23810.79,2010758620.243527,47877751247308.37,0.0
20-12-23,23232.76,2797688007.0718794,64998014023179.27,0.0
20-12-24,23729.2,1602394244.0767715,38023533496546.53,0.0
20-12-25,24712.47,1919766316.6677368,47442167507661.945,0.0
20-12-26,26493.39,2496533065.1755805,66141624143592.07,0.0
20-12-27,26281.66,4028928683.882025,105886933834034.86,0.0
20-12-28,27079.41,2151806808.5743527,58269658810176.414,0.036
20-12-29,27385.0,1851617219.7682345,50706537563353.1,0.034
20-12-30,28875.54,2683953237.460271,77500599066413.55,0.033
20-12-31,28923.63,2173600125.420074,62868405795603.82,0.033
21-01-01,29331.69,1582526989.1618726,46418191062729.41,0.033
21-01-02,32178.33,4073842163.671541,131089437510536.88,0.034
21-01-03,33000.05,4057598425.4920163,133900950921157.83,0.034
21-01-04,31988.71,4429010349.695345,141678327663402.97,0.035
21-01-05,33949.53,3743617144.6469154,127094042560704.8,0.036
21-01-06,36769.36,4431954248.519614,162960121267347.16,0.035
21-01-07,39432.28,5062569943.383371,199628675527077.25,0.036
21-01-08,40582.81,5568443208.731365,225983072735735.3,0.035
21-01-09,40088.22,3054779029.1617765,122460653772423.72,0.035
21-01-10,38150.02,4604034729.507071,175644017011389.3,0.038
21-01-11,35404.47,8497730017.898506,300857627486787.1,0.042
21-01-12,34051.24,4651302423.484117,158382615134639.28,0.043
21-01-13,37371.38,4322876606.419626,161551864351618.28,0.045
21-01-14,39144.5,3974826638.1450887,155592601336870.44,0.043
21-01-15,36742.22,4371588898.681637,160621881064918.4,0.045
21-01-16,35994.98,3178840336.1492844,114422294322886.78,0.045
21-01-17,35828.61,2843103040.240664,101864430018597.06,0.046
