Fecha,Precio_Cierre,Volumen_24h,Cap_Mercado,Volatilidad_30d
20-11-29,0.01888,2264430.024636,42752.43886512768,0.0
20-11-30,0.0196,3625341.454199,71056.6925023004,0.0
20-12-01,0.01863,4148021.647927,77277.64330088002,0.0
20-12-02,0.01932,1993176.544992,38508.17084924544,0.0
20-12-03,0.02078,4033365.11515,83813.327092817,0.0
20-12-04,0.01885,5076944.490054,95700.4036375179,0.0
20-12-05,0.01968,1877700.972935,36953.1551473608,0.0
20-12-06,0.01956,2380290.302885,46558.4783244306,0.0
20-12-07,0.01915,1227608.533052,23508.7034079458,0.0
20-12-08,0.0176,2371491.008029,41738.2417413104,0.0
20-12-09,0.01808,2271687.950113,41072.118138043035,0.0
20-12-10,0.0177,1287869.323495,22795.2870258615,0.0
20-12-11,0.01744,1548357.338217,27003.35197850448,0.0
20-12-12,0.01785,1325440.523416,23659.1133429756,0.0
20-12-13,0.01817,1320293.405817,23989.731183694887,0.0
20-12-14,0.01839,1512981.285262,27823.72583596818,0.0
20-12-15,0.01945,4851163.866333,94355.13720017685,0.0
20-12-16,0.0195,3743993.509594,73007.87343708299,0.0
20-12-17,0.01896,6135503.52764,116329.14688405441,0.0
20-12-18,0.02055,4261298.392222,87569.6819601621,0.0
20-12-19,0.0199,3885516.408097,77321.7765211303,0.0
20-12-20,0.01918,2853501.591344,54730.160521977916,0.0
20-12-21,0.01808,3007220.171186,54370.54069504288,0.0
20-12-22,0.01861,1849887.780901,34426.41160256761,0.0
20-12-23,0.01522,3629722.499618,55244.37644418595,0.0
20-12-24,0.01641,2655690.010468,43579.87307177988,0.0
20-12-25,0.01662,2686959.538418,44657.26752850716,0.0
20-12-26,0.01926,4614401.067014,88873.36455068964,0.0
20-12-27,0.01832,6799466.077013,124566.21853087815,0.0
20-12-28,0.01887,4004429.591297,75563.5863877744,0.064
20-12-29,0.01845,2871227.449107,52974.14643602416,0.064
20-12-30,0.01808,2305683.744359,41686.76209801072,0.064
20-12-31,0.01758,2640940.979216,46427.74241461728,0.063
21-01-01,0.01777,2491923.138648,44281.474173774965,0.062
21-01-02,0.01904,5022307.06244,95624.7264688576,0.061
21-01-03,0.01997,5591426.969304,111660.79657700089,0.061
21-01-04,0.02468,14533136.559447,358677.81028715195,0.072
21-01-05,0.0244,22784374.650383,555938.7414693452,0.072
21-01-06,0.03555,54685668.188428,1944075.5040986154,0.096
21-01-07,0.03297,40186264.729131,1324941.148119449,0.098
21-01-08,0.03159,22057658.900865,696801.4446783253,0.098
21-01-09,0.03346,11556014.341383,386664.2398626752,0.098
21-01-10,0.03024,17518575.537691,529761.7242597758,0.101
21-01-11,0.02593,13571867.481411,351918.5237929873,0.106
21-01-12,0.02609,8140350.314385,212381.73970230462,0.106
21-01-13,0.02992,8879113.08919,265663.0636285648,0.108
21-01-14,0.03286,10351766.707561,340159.05401045445,0.109
21-01-15,0.03402,16806136.071601,571744.749155866,0.109
21-01-16,0.03271,13976062.032026,457156.98906757054,0.108
21-01-17,0.03416,11630350.075062,397292.75856411795,0.108
21-01-18,0.03612,13656846.234094,493285.2859754753,0.108
21-01-19,0.03229,11789349.390855,380678.0918307079,0.11
21-01-20,0.03443,12710366.58819,437617.92163138173,0.11
21-01-21,0.0286,13216920.639074,378003.93027751637,0.109
21-01-22,0.03119,9358892.639548,291903.8614275021,0.109
21-01-23,0.03403,15099357.521527,513831.1364575638,0.11
21-01-24,0.0331,8761032.869801,289990.18799041305,0.108
21-01-25,0.03273,11620254.232355,380330.9210249792,0.107
21-01-26,0.0433,56009138.750055,2425195.7078773812,0.117
21-01-27,0.04175,54881319.183616,2291295.075915968,0.117
21-01-28,0.03856,24939338.432058,961660.8899401564,0.119
21-01-29,0.04016,26921724.13742,1081176.4413587872,0.118
21-01-30,0.03999,26574756.526833,1062724.5135080516,0.118
21-01-31,0.03831,12394924.608023,474849.5617333611,0.119
21-02-01,0.0409,13431616.920381,549353.1320435829,0.119
21-02-02,0.04105,8710366.730486,357560.5542864503,0.114
21-02-03,0.04382,12329564.075968,540281.4978089177,0.114
21-02-04,0.04737,23747384.456797,1124913.601718474,0.093
21-02-05,0.05481,32663607.90696,1790292.3493804776,0.094
21-02-06,0.0525,24931191.247154,1308887.540475585,0.094
21-02-07,0.06646,43586298.723382,2896745.4131559683,0.102
21-02-08,0.07118,70007982.489593,4983168.193609229,0.1
21-02-09,0.09864,97273744.242395,9595082.132069843,0.107
21-02-10,0.11585,227908122.540705,26403155.996340673,0.109
21-02-11,0.12333,86832273.614364,10709024.304859512,0.108
21-02-12,0.12071,55895187.62876,6747108.09866762,0.108
21-02-13,0.1115,51314618.898415,5721580.007173273,0.111
21-02-14,0.10002,45667668.790241,4567680.232399905,0.113
21-02-15,0.10717,82506590.795423,8842231.335545484,0.113
21-02-16,0.10899,49852533.026016,5433427.574505484,0.113
21-02-17,0.11213,55580969.615358,6232294.122970092,0.11
21-02-18,0.12214,72899482.38134,8903942.778056867,0.11
21-02-19,0.15327,100661952.60314,15428457.475483267,0.106
21-02-20,0.14443,260674198.813026,37649174.534565344,0.108
21-02-21,0.16231,130498648.788733,21181235.684899256,0.108
21-02-22,0.15217,119623098.647653,18203046.921213355,0.11
21-02-23,0.13672,111437491.102894,15235733.783587668,0.113
21-02-24,0.1602,117288403.028254,18789602.165126294,0.106
21-02-25,0.17564,242639835.753785,42617260.7517948,0.105
21-02-26,0.19036,202067225.498042,38465517.04580727,0.103
21-02-27,0.1971,208931402.462902,41180379.42543799,0.103
21-02-28,0.2329,210981964.835501,49137699.61018818,0.104
21-03-01,0.2501,215985392.639073,54017946.69903216,0.102
21-03-02,0.23264,114357176.045126,26604053.435138114,0.105
21-03-03,0.22302,75490900.235816,16835980.570591684,0.106
21-03-04,0.19877,84972595.814114,16890002.86997144,0.111
21-03-05,0.21233,81395835.766771,17282777.808358487,0.111
21-03-06,0.21215,48647334.271694,10320531.965739882,0.11
21-03-07,0.21235,34473453.710397,7320437.895402803,0.109
21-03-08,0.21746,38718700.156949,8419768.536130128,0.103
21-03-09,0.299,239121021.413724,71497185.40270348,0.115
21-03-10,0.28678,268081812.897381,76880502.30271092,0.103
21-03-11,0.40884,533201917.570428,217994271.97949377,0.116
21-03-12,0.41354,493355769.683061,204022344.99473307,0.117
21-03-13,0.42474,232342988.170044,98685360.79534449,0.116
21-03-14,0.38043,150295334.369009,57176854.05400209,0.117
21-03-15,0.3911,168502735.105084,65901419.69959836,0.114
21-03-16,0.37275,115546473.16643,43069947.87278678,0.115
21-03-17,0.40081,168482060.243385,67529294.56615114,0.115
21-03-18,0.38919,90677544.41281,35290793.51002152,0.116
21-03-19,0.40991,71614401.323021,29355459.246319536,0.116
21-03-20,0.38276,60078732.714238,22995735.733701736,0.112
21-03-21,0.38016,58216415.402444,22131552.47939311,0.111
21-03-22,0.34594,55067401.561853,19050016.896307427,0.112
