Fecha,Precio_Cierre,Volumen_24h,Cap_Mercado,Volatilidad_30d
20-11-29,1.9153,1640192.465796,3141460.629739079,0.0
20-11-30,1.9665,2153816.628444,4235480.3998351265,0.0
20-12-01,1.9738,4264962.987415,8418183.944559727,0.0
20-12-02,2.1209,4622524.291342,9803911.769507246,0.0
20-12-03,2.0967,6879026.850462,14423255.597363673,0.0
20-12-04,1.8535,2831580.005419,5248333.540044117,0.0
20-12-05,1.9795,2064360.949696,4086402.499923232,0.0
20-12-06,1.8505,2103758.729584,3893005.529095192,0.0
20-12-07,1.8272,1782235.426144,3256500.5706503163,0.0
20-12-08,1.6631,3952989.975303,6574217.6279264195,0.0
20-12-09,1.6592,3356724.798495,5569477.785662904,0.0
20-12-10,1.5683,1690563.374839,2651310.5407600035,0.0
20-12-11,1.4389,2118546.038527,3048375.8948365008,0.0
20-12-12,1.4912,2138974.439021,3189638.6834681155,0.0
20-12-13,1.5701,2750609.24284,4318731.572183084,0.0
20-12-14,1.5946,2364778.817184,3770876.301881606,0.0
20-12-15,1.7586,6137279.761818,10793020.189133134,0.0
20-12-16,1.7829,5244157.926672,9349809.16746351,0.0
20-12-17,1.68,4361515.596146,7327346.201525279,0.0
20-12-18,1.7014,1881531.610429,3201237.881983901,0.0
20-12-19,1.6707,2284718.058379,3817078.4601337956,0.0
20-12-20,1.5635,2205354.887547,3448072.366679734,0.0
20-12-21,1.5331,1962929.509565,3009367.231114101,0.0
20-12-22,1.49,3101990.178312,4621965.36568488,0.0
20-12-23,1.198,5671452.635849,6794400.257747102,0.0
20-12-24,1.3612,2284843.158139,3110128.506858807,0.0
20-12-25,1.4464,1960791.34808,2836088.605862912,0.0
20-12-26,1.3258,1249352.525031,1656391.5776860998,0.0
20-12-27,1.3037,2890460.602484,3768293.487458391,0.0
20-12-28,1.5172,3054831.73762,4634790.712317064,0.077
20-12-29,1.6704,7729613.894394,12911547.049195739,0.079
20-12-30,1.535,3448579.364743,5293569.324880505,0.08
20-12-31,1.5073,3244558.10504,4890522.431726792,0.078
