Fecha,Precio_Cierre,Volumen_24h,Cap_Mercado,Volatilidad_30d
20-11-29,0.60543,524064378.113816,317284296.4414477,0.0
20-11-30,0.66417,753345635.265384,500349570.5742101,0.0
20-12-01,0.61088,686847842.126497,419581609.79823446,0.0
20-12-02,0.62972,365585853.26122,230216723.51565543,0.0
20-12-03,0.63046,246271840.092999,155264544.30503216,0.0
20-12-04,0.55367,389782264.85841,215810746.58415586,0.0
20-12-05,0.58517,250932396.48905,146838110.45349738,0.0
20-12-06,0.62107,387889035.538819,240906243.30209434,0.0
20-12-07,0.60818,235094193.699529,142979586.72417957,0.0
20-12-08,0.5589,293197052.256611,163867832.50621986,0.0
20-12-09,0.58265,510964260.483071,297713326.37046134,0.0
20-12-10,0.57267,319869975.206341,183179938.70141533,0.0
20-12-11,0.54945,529070040.377017,290697533.685152,0.0
20-12-12,0.50658,515199855.292531,260989942.69409037,0.0
20-12-13,0.51365,307920815.128821,158163526.69091892,0.0
20-12-14,0.4974,188157111.950966,93589347.4844105,0.0
20-12-15,0.46793,247959761.427087,116027811.16457683,0.0
20-12-16,0.56941,618850157.504063,352379468.1843885,0.0
20-12-17,0.5769,1061411734.895644,612328429.861297,0.0
20-12-18,0.58337,562936094.726901,328400029.5808323,0.0
20-12-19,0.57666,358870636.706041,206946341.36290556,0.0
20-12-20,0.55586,310455066.216071,172569553.10686523,0.0
20-12-21,0.51445,317815563.941486,163500216.86969745,0.0
20-12-22,0.44642,702363072.807373,313548922.96266747,0.0
20-12-23,0.2605,1486807317.120062,387313306.1097762,0.0
20-12-24,0.33863,1078318896.969619,365151128.08082205,0.0
20-12-25,0.31768,1115617187.970133,354409268.2743519,0.0
20-12-26,0.29481,514901209.79865,151798025.66074002,0.0
20-12-27,0.28407,422815733.678889,120109265.46616198,0.0
20-12-28,0.24845,427264401.087717,106153840.4502433,0.13
20-12-29,0.22142,912641375.416483,202077053.34471768,0.129
20-12-30,0.21138,545797740.259575,115370726.33606897,0.128
20-12-31,0.21959,302605100.002844,66449053.90962451,0.129
21-01-01,0.23746,351730366.621461,83521892.85793212,0.13
21-01-02,0.22064,256890338.077948,56680284.193518445,0.129
21-01-03,0.2254,263559996.334464,59406423.17378818,0.128
21-01-04,0.23565,355687350.480361,83817724.14069706,0.128
21-01-05,0.22573,271653748.912711,61320400.74206626,0.128
21-01-06,0.24854,429156673.649992,106662599.66896902,0.13
21-01-07,0.32389,1218860817.912378,394776830.3136402,0.14
21-01-08,0.32032,642118744.307826,205683476.17668283,0.14
21-01-09,0.32419,378279817.306759,122634533.97267818,0.14
21-01-10,0.31491,567099789.194815,178585394.61533922,0.14
21-01-11,0.28743,553944535.047912,159220277.70882136,0.14
21-01-12,0.29254,323719332.688381,94700853.584659,0.14
21-01-13,0.30582,227883371.965583,69691292.81451459,0.14
21-01-14,0.29642,262513956.21671,77814386.90175718,0.135
21-01-15,0.27991,240600936.030388,67346608.0042659,0.135
21-01-16,0.27924,213356467.698998,59577660.0402682,0.135
21-01-17,0.27746,150338386.635075,41712888.75576791,0.135
21-01-18,0.28528,151122037.34263,43112094.81310549,0.135
21-01-19,0.29396,385029745.38853,113183343.95441228,0.135
21-01-20,0.29539,247845672.785467,73211133.28409909,0.133
21-01-21,0.26802,261379757.938529,70055002.72268455,0.09
21-01-22,0.27217,212058886.99997,57716067.27478184,0.076
21-01-23,0.27167,122131855.331534,33179561.137917843,0.075
21-01-24,0.27339,96574389.387948,26402472.31477111,0.074
21-01-25,0.26757,133188951.448691,35637367.73912624,0.074
21-01-26,0.26834,101956457.832435,27358995.89475561,0.069
21-01-27,0.25039,119454680.469665,29910257.44279942,0.067
21-01-28,0.26407,128796097.246275,34011185.399823844,0.067
21-01-29,0.2829,482447395.073534,136484368.06630278,0.068
21-01-30,0.44372,2280599179.36687,1011947467.8686675,0.105
21-01-31,0.49507,2080703862.129768,1030094061.0245842,0.104
21-02-01,0.37106,4589983778.525757,1703159380.8597674,0.119
21-02-02,0.37254,784141246.925064,292123980.1294633,0.119
