time1,prices,market_cap,total_volumes
2017-09-16,0.11,10725062.436515387,1.0512233074868058
2017-09-17,0.15,15404129.090981247,14.678587222975718
2017-09-18,0.17,17349123.907271635,6.001766937705406
2017-09-19,0.17,16833419.05826789,3.878927406543514
2017-09-20,0.17,16662792.485643603,40.68761859734107
2017-09-21,0.1,9581702.729678905,20.56770180249738
2017-09-22,0.09,9421298.085257275,135.88034679041334
2017-09-23,0.09,8828963.159130229,0.7930862653511168
2017-09-24,0.09,8545453.920539133,0.7690987855933964
2017-09-25,0.1,10250635.359918352,9.105908242854628
2017-09-26,0.09,8965780.221748918,18.19319371023182
2017-09-27,0.12,11505513.150836991,59.554010277035594
2017-09-28,0.14,13955236.709152265,305.1864817562295
2017-09-29,0.13,13217328.787209408,2.619859439046117
2017-09-30,0.17,17191164.68013488,204.6420957603784
2017-10-01,0.1,10116815.717399877,123.59107846328659
2017-10-02,0.11,10787364.049011648,14.443285103994638
2017-10-03,0.12,12443238.401115727,42.0851710960265
2017-10-04,0.13,12880576.98534014,7.21632856702682
2017-10-05,0.13,13059917.950937042,3.0872511129145233
2017-10-06,0.14,13564347.38726733,3.129625354824145
2017-10-07,0.13,12937532.581472054,0.7178009459996548
2017-10-08,0.13,12993885.109848468,0.7209275003038341
2017-10-10,0.14,14007954.967446368,8.46500718682784
2017-10-11,0.22,21645282.378830932,183.74126357748295
2017-10-12,0.24,23970960.381587386,3266.9173942033
2017-10-13,0.23,22988972.432827994,55.335049430308516
2017-10-14,0.11,11216452.03777135,22.472336958482153
2017-10-15,0.11,10973221.368088957,1.8654476325751226
2017-10-16,0.18,18386163.398446437,1302.8934556494728
2017-10-17,0.11,10929078.576844648,27.431970516994223
2017-10-18,0.11,10849999.581293626,5.967510520540022
2017-10-19,0.04,3981769.7187992255,57.41791124621551
2017-10-20,0.1,10014036.879397638,0.8091006830870494
2017-10-21,0.1,9754528.347499501,0.8866499194810381
2017-10-22,0.04,4357149.810097096,16.388411602299
2017-10-23,0.06,5907118.82542005,20.270269541538465
2017-10-25,0.09,8614152.729896264,27.945035042350813
2017-10-26,0.05,4549361.144736407,9.40198248237758
2017-10-27,0.05,4626323.18742883,4.15928022923269
2017-10-28,0.05,4628094.609923487,3.693454616152237
2017-10-29,0.05,4888738.900007344,2.362117554112693
2017-10-30,1.3,128621027.051878,2366136.909424559
2017-10-31,1.29,127642112.83486268,3364798.05303072
2017-11-01,1.26,124362891.80009219,2105110.8644101056
2017-11-02,1.3,128415994.1310528,3545674.600832379
2017-11-03,1.47,145324589.61855084,3208792.7785417736
2017-11-04,1.63,160991265.41234583,4666853.022526658
2017-11-05,1.54,152178506.46334484,2709302.5542377727
2017-11-06,1.61,158948749.47016165,4669237.560842866
2017-11-07,1.81,179475107.11354542,6148040.166284179
2017-11-08,2.03,201365016.4572739,13176873.458877586
2017-11-09,2.03,201460232.20321235,11367249.922029044
2017-11-10,1.81,178919972.00425422,7770039.2443435555
2017-11-11,1.69,167488453.06212497,5531033.5239018835
2017-11-12,1.52,150991373.7338803,9288920.952425143
2017-11-13,1.67,165744855.11906666,6612122.249519327
2017-11-14,1.58,156686364.647931,743952.339261882
2017-11-15,1.52,150742563.641147,4445617.40197932
2017-11-16,1.6,157996419.777573,5430129.00683232
2017-11-17,1.51,149961271.382931,4107948.52848623
2017-11-18,1.67,165591759.101192,4749664.50591603
2017-11-19,1.6,158550630.577414,4583141.58979331
2017-11-20,1.62,160472834.989452,3663548.04936528
2017-11-21,1.57,155622212.354081,3126575.47257824
2017-11-22,1.61,159396955.930594,4314236.94523044
2017-11-23,1.56,154461164.409639,6363226.93306694
2017-11-24,1.69,167434757.921205,9006421.31730949
2017-11-25,1.85,183230814.759749,9876816.02655487
2017-11-26,1.84,182503043.3614,5023436.49846158
2017-11-27,1.97,195050034.564593,5335874.68436242
2017-11-28,1.99,196928662.860015,4920545.99883393
2017-11-29,1.79,177042598.100423,14477217.1639228
2017-11-30,2.0,198350010.167143,10636605.0771692
2017-12-01,2.09,207284814.077617,7664189.33141666
2017-12-02,2.12,209800144.60457,3512076.32838115
2017-12-03,2.26,224059470.79661,7977301.98189213
2017-12-04,2.57,254913860.512531,11434113.281441
2017-12-05,2.66,263124719.35299,11769440.8704404
2017-12-06,2.35,232422532.202719,66.7141305131646
2017-12-07,3.0,297086617.267054,13305689.2586023
2017-12-08,2.95,292293248.433827,13897185.668649
2017-12-09,2.67,264491465.058563,7365209.8860576
2017-12-10,2.57,254681413.05008,5362096.64027372
2017-12-11,2.78,275491318.996752,7373520.41793812
2017-12-12,2.7,267426821.367015,8214362.46996416
2017-12-13,2.82,279049549.830425,10658715.9066992
2017-12-14,3.2,316546825.081114,20455343.5796604
2017-12-15,4.04,400085905.973992,31262864.448455
2017-12-16,4.68,463748632.750434,33269923.4160523
2017-12-17,5.97,590889258.862828,67378649.5477165
2017-12-18,5.64,558733495.454083,37999471.4288594
2017-12-19,5.94,588418049.116838,52886025.9862608
2017-12-20,5.34,528971427.95703,30623659.4055798
2017-12-21,5.45,539885696.300886,35118788.5962329
2017-12-22,4.53,448300384.032448,26720980.3630454
2017-12-23,5.12,507266057.374528,23690367.0204994
2017-12-24,5.54,548348055.456675,34952629.7539317
