time1,prices,market_cap,total_volumes
2013-08-24,0.01,43217138.0,0.0
2013-08-25,0.01,47687017.0,0.0
2013-08-26,0.01,50549694.0,0.0
2013-08-27,0.01,50190696.0,0.0
2013-08-28,0.01,49634297.0,0.0
2013-08-29,0.01,45500275.0,0.0
2013-08-30,0.01,47259300.0,0.0
2013-08-31,0.01,45838868.0,0.0
2013-09-01,0.01,45348764.0,0.0
2013-09-02,0.01,43992204.0,0.0
2013-09-03,0.01,44351827.0,0.0
2013-09-04,0.01,43600371.0,0.0
2013-09-05,0.01,45645766.0,0.0
2013-09-06,0.01,46212328.0,0.0
2013-09-07,0.01,48377102.0,0.0
2013-09-08,0.01,48020450.0,0.0
2013-09-09,0.01,48383435.0,0.0
2013-09-10,0.01,45765614.0,0.0
2013-09-11,0.01,47544184.0,0.0
2013-09-12,0.01,50239558.0,0.0
2013-09-13,0.01,51511294.0,0.0
2013-09-14,0.01,49575975.0,0.0
2013-09-15,0.01,50264341.0,0.0
2013-09-16,0.01,55062805.0,0.0
2013-09-17,0.01,75130077.0,0.0
2013-09-18,0.01,84795960.0,0.0
2013-09-19,0.01,86948225.0,0.0
2013-09-20,0.01,79067792.0,0.0
2013-09-21,0.01,76186743.0,0.0
2013-09-22,0.01,81312308.0,0.0
2013-09-23,0.01,78329783.0,0.0
2013-09-24,0.01,81564044.0,0.0
2013-09-25,0.01,82790671.0,0.0
2013-09-26,0.01,91281681.0,0.0
2013-09-28,0.01,112162483.0,0.0
2013-09-29,0.01,110548871.0,0.0
2013-09-30,0.01,86316539.0,0.0
2013-10-01,0.01,93320587.0,0.0
2013-10-02,0.01,72752735.0,0.0
2013-10-03,0.01,65677467.0,0.0
2013-10-04,0.01,74011103.0,0.0
2013-10-05,0.01,72546108.0,0.0
2013-10-06,0.01,81112952.0,0.0
2013-10-07,0.01,72946619.0,0.0
2013-10-08,0.01,75980351.0,0.0
2013-10-09,0.01,73814014.0,0.0
2013-10-10,0.01,78874690.0,0.0
2013-10-11,0.01,70884650.0,0.0
2013-10-12,0.01,69705556.0,0.0
2013-10-13,0.01,69521601.0,0.0
2013-10-14,0.01,66755710.0,0.0
2013-10-15,0.01,62441408.0,0.0
2013-10-16,0.01,59296583.0,0.0
2013-10-17,0.01,60702162.0,0.0
2013-10-18,0.01,60722254.0,0.0
2013-10-19,0.01,57015167.0,0.0
2013-10-20,0.01,58871212.0,0.0
2013-10-21,0.01,52705946.0,0.0
2013-10-22,0.01,53040786.0,0.0
2013-10-23,0.01,58085358.0,0.0
2013-10-24,0.01,68235793.0,0.0
2013-10-25,0.01,54255686.0,0.0
2013-10-26,0.01,49308291.0,0.0
2013-10-27,0.01,51948627.0,0.0
2013-10-28,0.01,49468479.0,0.0
2013-10-29,0.01,46396518.0,0.0
2013-10-30,0.01,47359916.0,0.0
