time1,prices,market_cap,total_volumes
2020-12-22,617.16,0.0,137563.02655658743
2020-12-23,617.16,0.0,137563.02655658743
2020-12-24,596.77,4424223.373088122,67102.2592157251
2020-12-25,611.5,5651612.707359494,54336.794214655325
2020-12-26,624.8,7284743.945718903,45933.06454052944
2020-12-27,629.07,7530256.10332518,10300.366418282534
2020-12-28,678.1,8034076.269339776,89087.13807428456
2020-12-29,730.42,11392116.720485743,2319.238431710206
2020-12-30,722.77,11493376.39775885,116741.44432478557
2020-12-31,722.28,11905413.948918724,95848.21482803432
2021-01-01,733.32,12333635.441624038,81813.99824695727
2021-01-02,723.53,12123442.78038427,5104.645519294309
2021-01-03,772.06,13205950.414439877,34572.923549638675
2021-01-04,977.57,15836679.44998422,35395.449102019724
2021-01-05,966.9,17475397.472125165,277333.65778191475
2021-01-06,1113.9,19381852.747256536,442577.97055314423
2021-01-07,1173.33,21396653.5960448,38065.92353668953
2021-01-08,1223.45,22986311.18507738,33380.0662837602
2021-01-09,1224.78,24866161.52233301,61432.89308072859
2021-01-10,1247.31,27038338.911400873,16621.725032768987
2021-01-11,1279.36,32744969.53311306,29187.711162359734
2021-01-12,1087.21,28497872.511435106,45761.95916254789
2021-01-13,1051.11,29435948.93378641,23342.195552821166
2021-01-14,1137.36,53336069.24367899,65350.07202209887
2021-01-15,1215.03,76486156.1462544,20891.856492975992
2021-01-16,1160.64,77773706.44238818,23973.27157269267
2021-01-17,1219.38,86367412.5894856,27560.443657135864
2021-01-18,1193.83,84463316.17207983,7698.1161483334145
2021-01-19,1246.25,83549641.03804947,3633.065062628682
2021-01-20,1374.72,94727223.03282714,8909.006666654137
2021-01-21,1328.39,101801923.66360264,5907.759644804566
2021-01-22,1110.66,84924379.65320097,77.4220678573587
2021-01-23,1207.53,93051751.08442973,8820.211015767438
2021-01-24,1241.67,110162894.87456314,7089.779960007589
2021-01-25,1332.32,119999757.95428069,4435.088453083787
2021-01-26,1323.3,121253879.31507112,2866.7722452686894
2021-01-27,1360.21,129743647.98528455,94.95040845503998
2021-01-28,1243.6,121610639.34405212,62.17976120852506
2021-01-29,1368.34,136214636.33095643,1491.77000781867
2021-01-30,1304.47,130336576.17264885,275.43900370497744
2021-01-31,1273.12,128423916.80874236,815.8411847110183
2021-02-01,1329.01,140184744.40388563,13164.315981702022
2021-02-02,1346.73,145276753.70925808,28536.077238119775
2021-02-03,1545.67,180735971.2775028,54038.052707870615
2021-02-04,1624.43,203744610.56824762,19158.14964757375
2021-02-05,1594.55,201186682.44525746,1830.7141839224532
2021-02-06,1731.48,222268505.5315105,44490.71735453355
2021-02-07,1682.13,220914601.53389928,56381.27978942274
2021-02-08,1613.66,219932936.52136672,7027.011425889591
2021-02-09,1743.12,239165407.7590784,81848.05308774955
2021-02-10,1737.41,250012542.4738221,15729.270769604953
2021-02-11,1678.91,242295834.2448262,153624.73796377442
2021-02-12,1798.09,259833191.43432248,168109.01404994968
2021-02-13,1808.99,261280877.970859,59804.46827307374
2021-02-14,1802.51,262939728.22138736,19653.96551087039
2021-02-15,1803.13,294711629.881902,46387.71027098389
2021-02-16,1791.37,294958586.7323307,7792.46014843974
2021-02-17,1767.65,291523195.17178017,112519.65140813809
2021-02-18,1817.08,300622581.17733866,143817.45187675042
2021-02-19,1875.9,333787841.51512885,494114.06289582636
2021-02-20,1914.17,344370114.12837386,1256535.0275572485
2021-02-21,1894.53,339928292.8660936,328342.46006478777
2021-02-22,1879.96,340343362.4612324,259935.78072799474
2021-02-23,1732.04,312701522.3541799,102069.60546073441
2021-02-24,1549.7,271660314.8449398,411399.3448702868
2021-02-25,1613.95,292656427.0856388,257054.520149334
2021-02-26,1485.54,271158609.08605045,171245.77058968096
2021-02-27,1445.75,263018409.71946073,157171.00950529528
2021-02-28,1461.06,264637341.59895805,130538.31208685029
2021-03-01,1409.65,257558423.01740965,142945.47115716257
2021-03-02,1551.56,283798158.03327113,268536.6998083374
2021-03-03,1483.36,273014655.5435863,428948.3910080055
2021-03-04,1502.86,276033518.0087915,465191.31893736
2021-03-05,1511.78,277102273.6344691,284001.9699187666
2021-03-06,1519.58,278866082.87590307,321660.9941076904
2021-03-07,1593.87,293038723.4337979,111495.00453677667
2021-03-08,1627.94,299263259.7582876,256675.641460964
2021-03-09,1728.06,317176961.6313772,133486.0450609236
2021-03-10,1781.79,329182604.3752913,33508.16314640721
2021-03-11,1778.53,329898559.39568394,61083.94042226839
2021-03-12,1781.88,333299923.5620808,107490.76294933699
2021-03-13,1740.26,324313855.69440186,51357.06344329668
2021-03-14,1891.08,352839315.0936329,72495.58549016133
2021-03-15,1813.45,337871232.21925175,5742.0862941128635
2021-03-16,1744.36,327760427.14815843,111250.95871980334
2021-03-17,1759.37,328378342.5222747,58752.291976144326
2021-03-18,1731.46,321599551.3513637,130013.13370337324
2021-03-19,1699.73,318143497.9496602,30388.06509264729
2021-03-20,1772.26,331655174.3892655,585.2698849659126
2021-03-21,1732.19,324579083.4998464,59628.56202441884
2021-03-22,1699.82,318975718.50393784,67276.31837229582
2021-03-23,1588.62,298103060.5698864,67902.2750178018
2021-03-24,1579.59,296240548.8227197,109868.83229236247
2021-03-25,1493.24,282328022.2358038,32320.77161494161
